"externalPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_package_usage_overall.cypher"
"javax.annotation",76,342,374,1731,114,1440,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",66,142,255,718,114,1440,"LoggerFactory,Logger",""
"javax.persistence",15,27,82,311,114,1440,"IdClass,Id,MappedSuperclass,Index,Entity,Table,Query,TypedQuery,EntityManager",""
"com.fasterxml.jackson.annotation",13,23,57,87,114,1440,"JsonTypeInfo$Id,JsonTypeInfo,JsonGetter,JsonProperty,JsonTypeInfo$As,JsonCreator,JsonIgnore",""
"jakarta.persistence",10,25,73,299,114,1440,"Id,MappedSuperclass,IdClass,Table,Entity,Index,Query,EntityManager,TypedQuery",""
"io.axoniq.axonserver.grpc",7,30,55,273,114,1440,"ErrorMessage,ErrorMessage$Builder,InstructionAck$Builder,InstructionAck,MetaDataValue,FlowControl,FlowControl$Builder,ProcessingInstruction,ProcessingKey",""
"io.axoniq.axonserver.connector",6,21,30,126,114,1440,"AxonServerConnectionFactory$Builder,AxonServerConnectionFactory,AxonServerConnection,ResultStream,ReplyChannel,FlowControl,ResultStreamPublisher,Registration",""
"org.hamcrest",5,27,59,370,114,1440,"Description,StringDescription,Matcher,CoreMatchers,BaseMatcher,TypeSafeMatcher,Matchers",""
"io.grpc",4,12,50,94,114,1440,"ManagedChannelBuilder,Channel,MethodDescriptor,Metadata$AsciiMarshaller,Metadata,ClientCall,CallOptions,ClientInterceptor,Metadata$Key",""
"reactor.core.publisher",4,27,49,198,114,1440,"Flux,Mono,BaseSubscriber,SignalType,FluxSink,Sinks,FluxSink$OverflowStrategy,Sinks$MulticastReplaySpec,Sinks$ManySpec",""
"com.github.kagkarlsson.scheduler",3,5,8,49,114,1440,"Scheduler,ScheduledExecution,SchedulerState",""
"com.github.kagkarlsson.scheduler.task",3,5,11,44,114,1440,"TaskInstance,TaskWithDataDescriptor,Task,ExecutionContext,TaskInstanceId",""
"io.grpc.stub",3,6,7,27,114,1440,"StreamObserver,ClientResponseObserver,ClientCallStreamObserver",""
"org.jobrunr.scheduling",3,5,7,34,114,1440,"JobBuilder,JobScheduler",""
"org.springframework.boot.actuate.health",3,4,7,24,114,1440,"Status,AbstractHealthIndicator,Health$Builder,SimpleStatusAggregator",""
"org.springframework.boot.autoconfigure",3,24,54,55,114,1440,"AutoConfigurationPackages,AutoConfiguration,AutoConfigureBefore,AutoConfigureAfter",""
"org.springframework.boot.autoconfigure.condition",3,32,65,152,114,1440,"ConditionOutcome,SpringBootCondition,ConditionalOnClass,ConditionalOnMissingBean,ConditionalOnBean,ConditionalOnProperty,AnyNestedCondition,ConditionalOnExpression,ConditionalOnMissingClass",""
"org.springframework.context.annotation",3,30,41,135,114,1440,"Conditional,ImportBeanDefinitionRegistrar,Import,ConfigurationCondition$ConfigurationPhase,ConditionContext,ConfigurationCondition,Bean,Configuration,Primary",""
"com.fasterxml.jackson.databind",2,9,17,75,114,1440,"JsonDeserializer,DeserializationContext,ObjectMapper,JsonNode,ObjectReader,ObjectWriter,ObjectMapper$DefaultTyping,DeserializationFeature",""
"com.thoughtworks.xstream.io",2,4,9,39,114,1440,"HierarchicalStreamWriter,HierarchicalStreamReader,HierarchicalStreamDriver",""
"io.axoniq.axonserver.connector.event",2,13,20,91,114,1440,"AppendEventsTransaction,EventChannel,AggregateEventStream,PersistentStreamSegment,EventQueryResultEntry,PersistentStreamProperties,PersistentStreamCallbacks,PersistentStream,EventStream",""
"io.axoniq.axonserver.connector.query",2,3,5,36,114,1440,"QueryChannel,QueryDefinition,QueryHandler,QueryHandler$UpdateHandler,SubscriptionQueryResult",""
"io.axoniq.axonserver.grpc.control",2,4,10,66,114,1440,"NodeInfo,NodeInfo$Builder,EventProcessorInfo,EventProcessorInfo$SegmentStatus,EventProcessorInfo$Builder,EventProcessorInfo$SegmentStatus$Builder",""
"io.axoniq.axonserver.grpc.event",2,6,12,69,114,1440,"Event$Builder,EventWithToken,EventWithToken$Builder,Event,Confirmation",""
