"artifactName","dependentArtifactName","dependentPackages","dependentArtifactPackages","packageUsagePercentage","dependentFullQualifiedPackageNames","dependentPackageNames","Source Cypher File: Internal_Dependencies/How_many_packages_compared_to_all_existing_are_used_by_dependent_artifacts.cypher"
"axon-modelling-4.9.1","axon-modelling-4.9.1",6,10,0.6,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository,org.axonframework.modelling.saga.repository.jpa,org.axonframework.modelling.saga.metamodel,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","saga,repository,jpa,metamodel,command,inspection",""
"axon-test-4.9.1","axon-test-4.9.1",5,8,0.625,"org.axonframework.test.deadline,org.axonframework.test.utils,org.axonframework.test.eventscheduler,org.axonframework.test.matchers,org.axonframework.test","deadline,utils,eventscheduler,matchers,test",""
"axon-messaging-4.9.1","axon-messaging-4.9.1",41,64,0.640625,"org.axonframework.serialization,org.axonframework.eventhandling,org.axonframework.eventhandling.tokenstore,org.axonframework.common,org.axonframework.common.jdbc,org.axonframework.common.transaction,org.axonframework.messaging.unitofwork,org.axonframework.messaging,org.axonframework.queryhandling,org.axonframework.messaging.responsetypes,org.axonframework.messaging.annotation,org.axonframework.tracing,org.axonframework.deadline,org.axonframework.lifecycle,org.axonframework.monitoring,org.axonframework.common.stream,org.axonframework.common.io,org.axonframework.messaging.correlation,org.axonframework.commandhandling,org.axonframework.commandhandling.distributed,org.axonframework.serialization.upcasting.event,org.axonframework.eventhandling.replay,org.axonframework.eventhandling.async,org.axonframework.commandhandling.callbacks,org.axonframework.common.jpa,org.axonframework.messaging.deadletter,org.axonframework.util,org.axonframework.messaging.interceptors,org.axonframework.common.annotation,org.axonframework.common.lock,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.common.digest,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.common.legacyjpa,org.axonframework.eventhandling.scheduling,org.axonframework.deadline.jobrunr,org.axonframework.queryhandling.registration,org.axonframework.serialization.xml,org.axonframework.common.property,org.axonframework.serialization.upcasting,org.axonframework.eventhandling.tokenstore.jpa","serialization,eventhandling,tokenstore,common,jdbc,transaction,unitofwork,messaging,queryhandling,responsetypes,annotation,tracing,deadline,lifecycle,monitoring,stream,io,correlation,commandhandling,distributed,event,replay,async,callbacks,jpa,deadletter,util,interceptors,lock,commandfilter,digest,legacyjpa,scheduling,jobrunr,registration,xml,property,upcasting",""
"axon-eventsourcing-4.9.1","axon-eventsourcing-4.9.1",7,9,0.7777777777777778,"org.axonframework.eventsourcing.eventstore,org.axonframework.eventsourcing,org.axonframework.eventsourcing.snapshotting,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore.jdbc","eventstore,eventsourcing,snapshotting,statements,jpa,conflictresolution,jdbc",""
