"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",4,35,111,167,4,68,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<BrowserRouter> of module <react-router-dom> imports <React.JSX.Element> from external namespace <@types>,<BrowserRouter> of module <react-router-dom> imports <React.MutableRefObject.current> from external namespace <@types>,<BrowserRouter> of module <react-router-dom> imports <React.useState> from external namespace <@types>",""
"@ungap",1,2,2,4,4,68,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>,<useSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
