"artifactName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Package_Dependencies.cypher"
"axon-configuration-4.9.3","org.axonframework.config",10226,43714,242,93,46,4,""
"axon-test-4.9.3","org.axonframework.test.aggregate",2223,9766,92,34,16,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling",1565,8066,160,57,16,0,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling",1487,7444,85,31,14,3,""
"axon-test-4.9.3","org.axonframework.test.saga",1487,5146,82,27,17,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc",1340,8129,51,27,11,2,""
"axon-messaging-4.9.3","org.axonframework.queryhandling",1141,7105,86,30,11,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing",1009,4309,95,33,16,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled",892,5306,56,24,12,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.command",847,4243,94,34,15,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection",781,4141,73,28,10,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed",738,2842,74,27,12,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling",691,2432,74,30,9,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore",615,2542,65,26,16,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc",581,4165,49,20,8,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler",488,2642,40,17,9,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz",453,2099,40,18,10,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway",443,1608,56,11,10,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga",432,1954,62,23,9,1,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr",419,1803,37,17,10,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter",391,2162,30,13,7,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa",389,1927,48,18,15,1,""
