"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Get_Incoming_Java_Package_Dependencies.cypher"
"axon-messaging-4.9.3","org.axonframework.messaging","messaging",8706,35171,329,66,53,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","eventhandling",5417,34593,302,57,46,4,""
"axon-messaging-4.9.3","org.axonframework.commandhandling","commandhandling",1641,7998,126,19,18,5,""
"axon-messaging-4.9.3","org.axonframework.serialization","serialization",1240,6854,138,15,33,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation","annotation",1057,5648,151,19,25,5,""
"axon-messaging-4.9.3","org.axonframework.common","common",926,2235,338,12,78,5,""
"axon-messaging-4.9.3","org.axonframework.tracing","tracing",516,2865,93,13,18,3,""
"axon-messaging-4.9.3","org.axonframework.common.transaction","transaction",314,1182,76,5,28,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.command","command",270,1055,79,8,10,4,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","saga",258,1531,60,12,10,2,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork","unitofwork",256,1406,82,5,36,5,""
"axon-messaging-4.9.3","org.axonframework.deadline","deadline",238,1845,42,9,12,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",218,1404,26,14,2,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling","queryhandling",218,1107,55,12,9,1,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter","deadletter",200,1548,35,8,6,1,""
"axon-messaging-4.9.3","org.axonframework.monitoring","monitoring",188,640,39,6,10,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore","eventstore",169,816,60,5,10,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing","eventsourcing",145,701,44,6,5,3,""
"axon-configuration-4.9.3","org.axonframework.config","config",119,1560,35,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway","gateway",97,395,33,1,3,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","inspection",84,383,43,4,7,4,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","responsetypes",78,477,21,4,4,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","tokenstore",73,387,27,3,8,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository","repository",72,259,28,5,7,2,""
"axon-messaging-4.9.3","org.axonframework.lifecycle","lifecycle",71,217,23,3,14,2,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc","jdbc",65,377,29,0,9,3,""
"axon-test-4.9.3","org.axonframework.test.matchers","matchers",61,247,23,2,4,0,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","commandhandling",55,269,21,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","pooled",55,461,16,1,2,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","distributed",50,282,24,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.common.lock","lock",46,226,21,2,7,3,""
"axon-test-4.9.3","org.axonframework.test.saga","saga",43,197,15,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","async",41,130,18,2,3,1,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event","event",38,146,23,3,8,2,""
"axon-messaging-4.9.3","org.axonframework.common.caching","caching",37,195,22,0,5,4,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc","jdbc",34,345,12,0,1,0,""
"axon-test-4.9.3","org.axonframework.test.aggregate","aggregate",31,263,14,0,1,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",30,99,5,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.common.stream","stream",29,143,15,2,7,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa","jpa",25,294,11,2,2,0,""
