"artifactName","fullQualifiedPackageName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-4.9.3","org.axonframework.messaging","messaging",7692,34146,328,81,52,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","eventhandling",3139,18167,143,59,27,4,""
"axon-messaging-4.9.3","org.axonframework.common","common",1269,3934,360,19,70,5,""
"axon-messaging-4.9.3","org.axonframework.serialization","serialization",1076,6084,92,16,28,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation","annotation",938,5202,106,19,24,5,""
"axon-messaging-4.9.3","org.axonframework.commandhandling","commandhandling",784,4609,57,19,13,5,""
"axon-messaging-4.9.3","org.axonframework.tracing","tracing",466,2627,72,13,16,3,""
"axon-messaging-4.9.3","org.axonframework.common.transaction","transaction",308,1166,73,5,27,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork","unitofwork",219,1143,71,5,35,5,""
"axon-messaging-4.9.3","org.axonframework.monitoring","monitoring",178,604,34,6,9,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter","deadletter",167,1382,20,8,5,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command","command",160,607,37,8,7,3,""
"axon-messaging-4.9.3","org.axonframework.deadline","deadline",114,1079,19,9,8,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing","eventsourcing",105,505,14,7,3,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore","eventstore",85,313,23,5,5,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","saga",75,247,18,12,3,1,""
"axon-messaging-4.9.3","org.axonframework.lifecycle","lifecycle",65,197,19,3,13,2,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","responsetypes",61,436,14,4,3,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling","queryhandling",57,192,8,11,6,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","tokenstore",47,207,21,3,3,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","inspection",42,195,24,4,6,4,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc","jdbc",37,265,20,0,8,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository","repository",32,98,11,4,2,1,""
"axon-test-4.9.3","org.axonframework.test.matchers","matchers",30,169,10,2,3,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",27,91,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.lock","lock",25,141,12,2,6,3,""
"axon-messaging-4.9.3","org.axonframework.common.stream","stream",24,132,12,2,6,2,""
"axon-messaging-4.9.3","org.axonframework.messaging.correlation","correlation",22,59,7,3,3,1,""
"axon-messaging-4.9.3","org.axonframework.common.annotation","annotation",21,38,21,0,9,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.snapshotting","snapshotting",20,71,9,2,5,1,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting","upcasting",18,88,12,3,7,2,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event","event",18,88,12,3,7,2,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway","gateway",13,43,6,1,2,1,""
"axon-messaging-4.9.3","org.axonframework.common.jpa","jpa",13,80,12,0,6,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","async",12,42,5,2,2,1,""
"axon-messaging-4.9.3","org.axonframework.common.caching","caching",11,59,9,0,4,3,""
"axon-messaging-4.9.3","org.axonframework.common.legacyjpa","legacyjpa",11,58,10,0,5,2,""
"axon-messaging-4.9.3","org.axonframework.common.io","io",10,21,10,0,8,1,""
"axon-messaging-4.9.3","org.axonframework.common.property","property",10,25,6,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa","jpa",9,118,4,2,1,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.xml","xml",9,12,8,0,7,3,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks","callbacks",8,24,7,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors","interceptors",7,12,6,0,4,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel","metamodel",7,47,5,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",6,12,2,1,1,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa","jpa",6,39,3,0,3,1,""
"axon-test-4.9.3","org.axonframework.test.deadline","deadline",6,48,4,0,2,0,""
"axon-test-4.9.3","org.axonframework.test.utils","utils",5,17,4,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.gateway","gateway",4,12,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling","scheduling",4,9,3,2,2,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa","jpa",4,60,2,0,2,1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",4,16,2,0,2,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory","inmemory",4,13,4,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.util","util",4,12,4,0,3,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter","deadletter",3,29,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","pooled",3,31,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay","replay",3,5,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration","registration",3,7,2,0,1,0,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler","eventscheduler",3,19,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.digest","digest",2,2,2,0,2,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution","conflictresolution",2,7,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr","jobrunr",1,1,1,0,1,0,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","commandhandling",1,7,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",1,1,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation","annotation",1,3,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","distributed",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org.axonframework.config","config",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation","annotation",0,0,0,0,0,-1,""
