"artifactName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-4.9.3","org.axonframework.messaging",7692,34146,328,81,52,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling",3139,18167,143,59,27,4,""
"axon-messaging-4.9.3","org.axonframework.common",1269,3934,360,19,70,5,""
"axon-messaging-4.9.3","org.axonframework.serialization",1076,6084,92,16,28,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation",938,5202,106,19,24,5,""
"axon-messaging-4.9.3","org.axonframework.commandhandling",784,4609,57,19,13,5,""
"axon-messaging-4.9.3","org.axonframework.tracing",466,2627,72,13,16,3,""
"axon-messaging-4.9.3","org.axonframework.common.transaction",308,1166,73,5,27,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork",219,1143,71,5,35,5,""
"axon-messaging-4.9.3","org.axonframework.monitoring",178,604,34,6,9,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter",167,1382,20,8,5,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command",160,607,37,8,7,3,""
"axon-messaging-4.9.3","org.axonframework.deadline",114,1079,19,9,8,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing",105,505,14,7,3,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore",85,313,23,5,5,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga",75,247,18,12,3,1,""
"axon-messaging-4.9.3","org.axonframework.lifecycle",65,197,19,3,13,2,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes",61,436,14,4,3,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling",57,192,8,11,6,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore",47,207,21,3,3,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection",42,195,24,4,6,4,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc",37,265,20,0,8,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository",32,98,11,4,2,1,""
"axon-test-4.9.3","org.axonframework.test.matchers",30,169,10,2,3,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements",27,91,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.lock",25,141,12,2,6,3,""
"axon-messaging-4.9.3","org.axonframework.common.stream",24,132,12,2,6,2,""
"axon-messaging-4.9.3","org.axonframework.messaging.correlation",22,59,7,3,3,1,""
"axon-messaging-4.9.3","org.axonframework.common.annotation",21,38,21,0,9,2,""
