"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-configuration-4.9.3","org.axonframework.config","config",10226,43714,242,93,46,4,""
"axon-test-4.9.3","org.axonframework.test.aggregate","aggregate",2223,9766,92,34,16,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","eventhandling",1565,8066,160,57,16,0,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","commandhandling",1487,7444,85,31,14,3,""
"axon-test-4.9.3","org.axonframework.test.saga","saga",1487,5146,82,27,17,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",1340,8129,51,27,11,2,""
"axon-messaging-4.9.3","org.axonframework.queryhandling","queryhandling",1141,7105,86,30,11,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing","eventsourcing",1009,4309,95,33,16,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","pooled",892,5306,56,24,12,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.command","command",847,4243,94,34,15,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","inspection",781,4141,73,28,10,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","distributed",738,2842,74,27,12,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling","commandhandling",691,2432,74,30,9,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore","eventstore",615,2542,65,26,16,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc","jdbc",581,4165,49,20,8,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler","dbscheduler",488,2642,40,17,9,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz","quartz",453,2099,40,18,10,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway","gateway",443,1608,56,11,10,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","saga",432,1954,62,23,9,1,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr","jobrunr",419,1803,37,17,10,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter","deadletter",391,2162,30,13,7,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",389,1927,48,18,15,1,""
"axon-messaging-4.9.3","org.axonframework.deadline","deadline",338,1340,46,22,8,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",330,2651,36,15,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa","jpa",317,2185,39,15,8,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation","annotation",301,1126,67,13,7,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",236,1300,32,11,11,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository","repository",231,1545,36,14,8,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",214,1267,27,11,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",209,836,23,11,10,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz","quartz",202,698,27,12,10,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation","annotation",199,790,22,13,6,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",195,2299,28,9,6,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event","event",188,735,26,11,6,0,""
"axon-messaging-4.9.3","org.axonframework.serialization","serialization",176,625,46,7,9,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.legacyjpa","legacyjpa",164,791,20,11,9,1,""
"axon-test-4.9.3","org.axonframework.test.deadline","deadline",138,711,20,11,7,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jdbc","jdbc",136,1103,25,8,8,1,""
"axon-messaging-4.9.3","org.axonframework.messaging","messaging",133,406,35,15,6,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork","unitofwork",123,655,20,7,5,0,""
"axon-messaging-4.9.3","org.axonframework.tracing","tracing",122,817,27,12,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa","jpa",119,678,21,6,6,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors","interceptors",119,366,14,8,7,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",106,819,20,6,7,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter","deadletter",105,380,23,8,5,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution","conflictresolution",99,315,18,13,9,2,""
"axon-messaging-4.9.3","org.axonframework.serialization.json","json",87,331,24,6,4,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa","jpa",86,444,18,7,7,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",81,471,17,6,8,1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",80,775,9,6,5,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","async",76,347,20,7,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.java","java",76,231,19,8,8,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",75,646,11,7,4,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay","replay",72,150,22,8,5,0,""
"axon-test-4.9.3","org.axonframework.test.utils","utils",70,372,12,8,5,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel","metamodel",67,255,15,7,4,1,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","responsetypes",65,243,17,6,6,0,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc","jdbc",56,270,22,8,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.gateway","gateway",52,209,12,5,4,0,""
"axon-test-4.9.3","org.axonframework.test.matchers","matchers",51,111,25,4,6,1,""
"axon-messaging-4.9.3","org.axonframework.common.caching","caching",49,183,14,3,2,0,""
"axon-messaging-4.9.3","org.axonframework.tracing.attributes","attributes",43,93,6,5,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","tokenstore",42,202,13,4,4,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks","callbacks",39,141,4,3,1,0,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler","eventscheduler",38,146,10,5,5,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",34,172,7,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation","annotation",29,95,11,5,4,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.interceptors","interceptors",28,100,7,4,3,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.xml","xml",28,98,17,4,4,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",27,69,7,5,4,0,""
"axon-messaging-4.9.3","org.axonframework.common.lock","lock",25,93,12,2,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",25,129,9,3,5,0,""
"axon-messaging-4.9.3","org.axonframework.common","common",23,53,15,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.monitoring","monitoring",21,65,7,3,3,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.snapshotting","snapshotting",17,54,7,4,4,1,""
"axon-messaging-4.9.3","org.axonframework.common.property","property",15,28,8,1,2,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory","inmemory",15,61,5,3,3,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.correlation","correlation",14,40,3,2,2,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration","registration",13,35,7,2,4,0,""
"axon-test-4.9.3","org.axonframework.test","test",13,24,7,3,4,1,""
"axon-messaging-4.9.3","org.axonframework.lifecycle","lifecycle",10,27,7,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.converters","converters",7,9,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.jpa","jpa",6,18,5,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.common.legacyjpa","legacyjpa",6,18,5,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.common.transaction","transaction",6,16,4,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.util","util",6,7,6,0,6,0,""
"axon-messaging-4.9.3","org.axonframework.common.stream","stream",5,11,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting","upcasting",5,14,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.annotation","annotation",3,4,3,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling","scheduling",2,12,2,0,2,0,""
"axon-test-4.9.3","org.axonframework.test.server","server",2,3,2,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
