"p.fqn","p.name","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: Metrics/Calculate_and_set_Instability_Including_Subpackages.cypher"
"org.axonframework.common","common",0.003924646781789639,0.0136986301369863,0,0.027777777777777776,0,5,1269,5,360,0,19,2,70,0,5,""
"org.axonframework.messaging","messaging",0.023238095238095238,0.07605633802816901,0.4,0.13333333333333333,0,183,7692,27,328,54,81,8,52,0,5,""
"org.axonframework.monitoring","monitoring",0.043010752688172046,0.05555555555555555,0.45454545454545453,0.18181818181818182,0,8,178,2,34,5,6,2,9,0,3,""
"org.axonframework.serialization","serialization",0.04440497335701599,0.20689655172413793,0.2,0.2222222222222222,0,50,1076,24,92,4,16,8,28,0,3,""
"org.axonframework.lifecycle","lifecycle",0.057971014492753624,0.09523809523809523,0,0.13333333333333333,0,4,65,2,19,0,3,2,13,0,2,""
"org.axonframework.tracing","tracing",0.06613226452905811,0.16279069767441862,0.1875,0.3333333333333333,0,33,466,14,72,3,13,8,16,0,3,""
"org.axonframework.messaging.annotation","annotation",0.07495069033530571,0.15873015873015872,0.42424242424242425,0.2,0,76,938,20,106,14,19,6,24,0,5,""
"org.axonframework.common.annotation","annotation",0.08695652173913043,0.08695652173913043,0,0.1,0,2,21,2,21,0,0,1,9,0,2,""
"org.axonframework.common.lock","lock",0.10714285714285714,0.14285714285714285,0,0.14285714285714285,0,3,25,2,12,0,2,1,6,0,3,""
"org.axonframework.messaging.unitofwork","unitofwork",0.11336032388663968,0.10126582278481013,0.375,0.10256410256410256,0,28,219,8,71,3,5,4,35,0,5,""
"org.axonframework.eventhandling","eventhandling",0.15776764153474646,0.42570281124497994,0.4636363636363636,0.425531914893617,0,588,3139,106,143,51,59,20,27,0,4,""
"org.axonframework.common.property","property",0.16666666666666666,0.25,0,0.2,0,2,10,2,6,0,0,1,4,0,1,""
"org.axonframework.messaging.responsetypes","responsetypes",0.17567567567567569,0.4166666666666667,0,0.625,0,13,61,10,14,0,4,5,3,0,0,""
"org.axonframework.common.jdbc","jdbc",0.17777777777777778,0.25925925925925924,0,0.3333333333333333,0,8,37,7,20,0,0,4,8,0,3,""
"org.axonframework.common.jpa","jpa",0.1875,0.14285714285714285,0,0.25,0,3,13,2,12,0,0,2,6,0,3,""
"org.axonframework.messaging.deadletter","deadletter",0.18932038834951456,0.3103448275862069,0.4666666666666667,0.4444444444444444,0,39,167,9,20,7,8,4,5,0,1,""
"org.axonframework.commandhandling","commandhandling",0.19918283963227784,0.5403225806451613,0.5128205128205128,0.5,0,195,784,67,57,20,19,13,13,0,5,""
"org.axonframework.common.legacyjpa","legacyjpa",0.21428571428571427,0.16666666666666666,0,0.2857142857142857,0,3,11,2,10,0,0,2,5,0,2,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.23076923076923078,0.3076923076923077,0.5,0.375,0,6,20,4,9,2,2,3,5,0,1,""
"org.axonframework.messaging.correlation","correlation",0.26666666666666666,0.2222222222222222,0.5,0.25,0,8,22,2,7,3,3,1,3,0,1,""
"org.axonframework.test.matchers","matchers",0.2682926829268293,0.4117647058823529,0,0.625,1,11,30,7,10,0,2,5,3,1,0,""
"org.axonframework.common.digest","digest",0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,1,2,1,2,0,0,1,2,0,0,""
"org.axonframework.common.caching","caching",0.45,0.25,0,0.2,0,9,11,3,9,0,0,1,4,0,3,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.4807692307692308,0.8,0,0.8,1,25,27,8,2,0,0,4,1,1,0,""
"org.axonframework.eventhandling.async","async",0.5555555555555556,0.6153846153846154,0.3333333333333333,0.6666666666666666,0,15,12,8,5,1,2,4,2,0,1,""
"org.axonframework.modelling.command","command",0.5897435897435898,0.63,0.5294117647058824,0.6666666666666666,0,230,160,63,37,9,8,14,7,0,3,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.5948275862068966,0.5116279069767442,0.5,0.7,0,69,47,22,21,3,3,7,3,0,1,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.6,0.5,0,0.5,0,6,4,4,4,0,0,2,2,0,1,""
"org.axonframework.serialization.upcasting","upcasting",0.6,0.5384615384615384,0.25,0.36363636363636365,0,27,18,14,12,1,3,4,7,0,2,""
"org.axonframework.util","util",0.6,0.6,0,0.6666666666666666,0,6,4,6,4,0,0,6,3,0,1,""
"org.axonframework.commandhandling.callbacks","callbacks",0.6190476190476191,0.36363636363636365,0,0.2,0,13,8,4,7,0,0,1,4,0,1,""
"org.axonframework.deadline","deadline",0.625,0.7164179104477612,0.5,0.5789473684210527,0,190,114,48,19,9,9,11,8,0,3,""
"org.axonframework.serialization.xml","xml",0.64,0.5555555555555556,0,0.3,0,16,9,10,8,0,0,3,7,0,3,""
"org.axonframework.serialization.upcasting.event","event",0.6470588235294118,0.625,0.5,0.4166666666666667,0,33,18,20,12,3,3,5,7,0,2,""
"org.axonframework.modelling.saga","saga",0.6753246753246753,0.7631578947368421,0.42857142857142855,0.8333333333333334,0,156,75,58,18,9,12,15,3,0,1,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.6818181818181818,0.6875,0.6666666666666666,0.6,1,15,7,11,5,2,1,3,2,1,0,""
"org.axonframework.test.utils","utils",0.6875,0.7142857142857143,0.5,0.8,1,11,5,10,4,1,1,4,1,1,0,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.7,0.5,0.5,0.6666666666666666,0,14,6,2,2,1,1,2,1,0,0,""
"org.axonframework.queryhandling.registration","registration",0.7,0.6,0,0.75,0,7,3,3,2,0,0,3,1,0,0,""
"org.axonframework.modelling.command.inspection","inspection",0.7391304347826086,0.68,0.42857142857142855,0.6,0.2,119,42,51,24,3,4,9,6,1,4,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.743202416918429,0.7160493827160493,0.5454545454545454,0.7916666666666666,0.4,246,85,58,23,6,5,19,5,2,3,""
