"artifactName","fullQualifiedPackageName","packageName","distance","abstractness","instability","typesInPackage","Source Cypher File: Metrics/Calculate_distance_between_abstractness_and_instability.cypher"
"axon-messaging-4.9.3","org.axonframework.commandhandling","commandhandling",0.3286878216123499,0.375,0.29631217838765006,32,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel","metamodel",0.31707317073170715,0.5,0.8170731707317073,4,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.3128654970760234,0.4444444444444444,0.868421052631579,9,""
"axon-test-4.9.3","org.axonframework.test.saga","saga",0.30522875816993467,0.3333333333333333,0.9718954248366013,21,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors","interceptors",0.2974806201550386,0.375,0.9224806201550387,8,""
"axon-test-4.9.3","org.axonframework.test.utils","utils",0.2974358974358975,0.4,0.8974358974358975,5,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter","deadletter",0.28731665228645387,0.3684210526315789,0.3442622950819672,19,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","distributed",0.2827020695040998,0.34615384615384615,0.9365482233502538,26,""
"axon-messaging-4.9.3","org.axonframework.lifecycle","lifecycle",0.27654320987654324,0.6,0.12345679012345678,10,""
"axon-messaging-4.9.3","org.axonframework.common.property","property",0.27192982456140347,0.3333333333333333,0.39473684210526316,9,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.26086956521739135,0,0.7391304347826086,7,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory","inmemory",0.25,0,0.75,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","inspection",0.2490440195642507,0.34615384615384615,0.9028901734104047,26,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling","scheduling",0.24242424242424243,0.6666666666666666,0.09090909090909091,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.snapshotting","snapshotting",0.2416666666666667,0.3333333333333333,0.425,3,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr","jobrunr",0.2382075471698113,0.25,0.9882075471698113,4,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation","annotation",0.23029556650246308,0.25,0.9802955665024631,4,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation","annotation",0.22857142857142865,0.4,0.8285714285714286,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async","async",0.2170940170940171,0.13333333333333333,0.6495726495726496,15,""
"axon-messaging-4.9.3","org.axonframework.common.annotation","annotation",0.21333333333333337,0.6666666666666666,0.12,3,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler","eventscheduler",0.2085106382978723,0.4,0.8085106382978723,5,""
"axon-messaging-4.9.3","org.axonframework.common.stream","stream",0.18627450980392157,0.6666666666666666,0.14705882352941177,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.command","command",0.18420703604230915,0.42592592592592593,0.7582811101163832,54,""
"axon-test-4.9.3","org.axonframework.test.deadline","deadline",0.18243243243243246,0.25,0.9324324324324325,4,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled","pooled",0.18001709659576615,0.23809523809523808,0.941921858500528,21,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes","responsetypes",0.17045454545454541,0.375,0.45454545454545453,8,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks","callbacks",0.17021276595744683,0,0.8297872340425532,4,""
"axon-messaging-4.9.3","org.axonframework.common.caching","caching",0.16356589147286815,0.26666666666666666,0.5697674418604651,15,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing","eventsourcing",0.1600643723693982,0.2857142857142857,0.8743500866551126,42,""
