"artifactName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-4.9.3","org.axonframework.eventhandling",588,2506,106,51,20,0,""
"axon-configuration-4.9.3","org.axonframework.config",542,1866,202,11,45,3,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing",381,1735,95,10,22,1,""
"axon-test-4.9.3","org.axonframework.test",275,1022,100,4,17,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore",246,1203,58,6,19,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.command",230,990,63,9,14,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter",208,1215,57,4,10,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling",195,591,67,20,13,0,""
"axon-messaging-4.9.3","org.axonframework.deadline",190,800,48,9,11,0,""
"axon-messaging-4.9.3","org.axonframework.messaging",183,593,27,54,8,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling",175,746,51,12,9,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga",156,603,58,9,15,0,""
"axon-test-4.9.3","org.axonframework.test.aggregate",150,670,74,1,15,3,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling",131,607,63,0,13,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection",119,551,51,3,9,1,""
"axon-test-4.9.3","org.axonframework.test.saga",112,469,61,2,16,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled",106,597,35,1,11,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository",104,558,34,5,12,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed",93,319,48,3,10,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling",88,362,22,0,9,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway",82,279,22,1,9,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation",76,249,20,14,6,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc",71,421,36,1,7,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore",69,418,22,3,7,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa",62,281,38,0,14,1,""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz",52,243,36,0,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa",52,305,30,2,7,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler",51,265,34,0,8,0,""
"axon-messaging-4.9.3","org.axonframework.serialization",50,142,24,4,8,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa",47,340,30,0,8,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr",45,194,33,0,9,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc",45,321,31,0,9,2,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa",40,187,27,0,10,1,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter",39,104,9,7,4,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz",34,119,21,0,9,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event",33,117,20,3,5,0,""
"axon-messaging-4.9.3","org.axonframework.tracing",33,185,14,3,8,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors",32,89,11,0,6,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork",28,121,8,3,4,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay",27,56,15,0,4,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting",27,105,14,1,4,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jdbc",26,146,18,0,7,1,""
"axon-messaging-4.9.3","org.axonframework.serialization.json",26,82,17,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler",25,126,21,0,8,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements",25,140,8,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation",25,97,20,0,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr",24,91,20,0,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa",24,122,17,0,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jdbc",23,253,21,0,5,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa",23,100,12,0,6,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.legacyjpa",22,101,18,0,8,1,""
"axon-test-4.9.3","org.axonframework.test.deadline",22,100,17,0,6,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.legacyjpa",20,144,18,0,6,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution",20,64,12,2,8,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.java",19,57,15,0,7,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.legacyjpa",18,91,14,0,7,1,""
"axon-messaging-4.9.3","org.axonframework.serialization.xml",16,53,10,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.tracing.attributes",16,33,6,0,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async",15,77,8,1,4,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel",15,58,11,2,3,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter",14,81,2,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.gateway",14,53,7,1,3,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks",13,47,4,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes",13,42,10,0,5,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.inmemory",12,104,10,0,3,1,""
"axon-test-4.9.3","org.axonframework.test.matchers",11,21,7,0,5,1,""
"axon-test-4.9.3","org.axonframework.test.utils",11,50,10,1,4,1,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler",10,29,6,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.common.caching",9,18,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation",9,28,6,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc",8,42,7,0,4,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory",8,37,8,0,4,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.correlation",8,18,2,3,1,0,""
"axon-messaging-4.9.3","org.axonframework.monitoring",8,27,2,5,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.interceptors",7,25,7,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration",7,26,3,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.converters",7,9,2,0,1,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.snapshotting",6,29,4,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors.legacyvalidation",6,15,6,0,3,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory",6,21,4,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.util",6,7,6,0,6,0,""
"axon-messaging-4.9.3","org.axonframework.common",5,35,5,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.lifecycle",4,7,2,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.common.jpa",3,6,2,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.common.legacyjpa",3,6,2,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.common.lock",3,7,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.annotation",2,3,2,0,1,0,""
