"memberName","authority","hub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9c_Hyperlink_Induced_Topic_Search_HITS_Stream.cypher"
"org.axonframework.messaging.Message",0.4570863256448781,0.019912436020327648,189,3,""
"org.axonframework.eventhandling.EventMessage",0.32682980140508766,0.023561203567665286,133,1,""
"org.axonframework.common.transaction.TransactionManager",0.20832163955955638,0.00033761895861740353,64,1,""
"org.axonframework.common.BuilderUtils",0.19074058795109916,0.01579100328700678,84,3,""
"org.axonframework.common.AxonConfigurationException",0.18732543850588496,0.00030540503957702484,76,1,""
"org.axonframework.tracing.SpanFactory",0.1865774712283715,0.029229630564206677,52,3,""
"org.axonframework.serialization.Serializer",0.17863443432242743,0.007398997447516062,78,3,""
"org.axonframework.commandhandling.CommandMessage",0.17093320923887798,0.023561203567665286,103,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.16399456042688035,0.06057097298559134,54,11,""
"org.axonframework.messaging.MetaData",0.13539947808741334,1.8693362743486567e-05,67,2,""
"org.axonframework.monitoring.MessageMonitor",0.13420572003399933,0.025586597003570338,34,2,""
"org.axonframework.eventhandling.TrackingToken",0.12369091243813249,0,74,,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.12207546327198035,0.00264391337688797,47,1,""
"org.axonframework.messaging.annotation.HandlerDefinition",0.11974920361686786,0.011363939404883304,33,2,""
"org.axonframework.common.Assert",0.11656267955922671,0,55,,""
"org.axonframework.eventhandling.DomainEventMessage",0.10893752729818026,0.04040813827309684,56,2,""
"org.axonframework.eventhandling.GenericEventMessage",0.10863334078511604,0.050228342026526145,31,6,""
"org.axonframework.eventhandling.EventBus",0.10845700837299707,0.018268289508121132,30,3,""
"org.axonframework.messaging.MessageHandlerInterceptor",0.1004717740411252,0.03538182173649956,27,3,""
"org.axonframework.eventhandling.TrackedEventMessage",0.0985962844653019,0.023222769211776646,48,2,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.09838446749987806,0.023561203567665286,61,1,""
"org.axonframework.messaging.MessageDispatchInterceptor",0.09740845883074396,0.023561203567665286,33,1,""
"org.axonframework.common.Registration",0.09049903191341185,0,38,,""
"org.axonframework.tracing.Span",0.09008972484962643,0.0014596580579887555,26,1,""
"org.axonframework.commandhandling.CommandBus",0.0897684185068079,0.021109492134775504,25,6,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.08597563516426465,0.015432716956536542,32,2,""
"org.axonframework.eventsourcing.eventstore.EventStore",0.07827448335525959,0.02088422057148937,20,6,""
"org.axonframework.messaging.ScopeDescriptor",0.07737319618982792,0,32,,""
"org.axonframework.deadline.DeadlineMessage",0.07631775795225086,0.04040813827309684,26,2,""
"org.axonframework.modelling.command.Repository",0.07622987949822564,0.004528297130889645,22,2,""
"org.axonframework.eventhandling.tokenstore.TokenStore",0.07583422873384096,0.01121784201307665,22,5,""
