"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.common",0.7292037796629203,422,23,""
"org.axonframework.messaging",0.49252274111448696,543,77,""
"org.axonframework.serialization",0.2757886003221683,296,111,""
"org.axonframework.eventhandling",0.26406442759406723,709,442,""
"org.axonframework.messaging.unitofwork",0.14474173010094044,172,59,""
"org.axonframework.messaging.annotation",0.11352489548658455,336,184,""
"org.axonframework.commandhandling",0.07319555112595551,268,144,""
"org.axonframework.modelling.saga",0.06394837597967193,112,124,""
"org.axonframework.common.transaction",0.049997359281146556,85,6,""
"org.axonframework.queryhandling",0.04675921677388153,144,224,""
"org.axonframework.eventhandling.tokenstore",0.044713928150977966,47,19,""
"org.axonframework.tracing",0.04092794418195232,129,66,""
"org.axonframework.modelling.command",0.034609236185294615,209,219,""
"org.axonframework.common.annotation",0.033081117958263184,22,3,""
"org.axonframework.common.io",0.03188229217313224,10,0,""
"org.axonframework.eventsourcing.eventstore",0.030320343055429456,120,161,""
"org.axonframework.test",0.029993785787151825,16,8,""
"org.axonframework.monitoring",0.029641593300541294,61,14,""
"org.axonframework.deadline",0.029110341705480904,56,68,""
"org.axonframework.util",0.02809660885856248,3,6,""
"org.axonframework.eventsourcing.eventstore.jdbc",0.027498763262521504,36,83,""
"org.axonframework.common.jdbc",0.026625990754736834,49,26,""
"org.axonframework.messaging.deadletter",0.025952351210925848,86,60,""
"org.axonframework.commandhandling.distributed",0.02546481273934314,50,128,""
"org.axonframework.modelling.command.inspection",0.024042584558427726,80,157,""
"org.axonframework.common.stream",0.02376057940330234,17,5,""
"org.axonframework.serialization.upcasting.event",0.021873941092278987,38,53,""
"org.axonframework.messaging.responsetypes",0.021060035825841626,36,30,""
"org.axonframework.test.matchers",0.020995120978841597,51,42,""
"org.axonframework.modelling.saga.metamodel",0.020415522607661718,15,20,""
"org.axonframework.eventhandling.tokenstore.jpa",0.020254826668877696,9,29,""
"org.axonframework.messaging.correlation",0.019991951252062778,11,9,""
"org.axonframework.modelling.saga.repository.jpa",0.0196298927085347,12,29,""
"org.axonframework.eventhandling.deadletter.jpa",0.019513443649503866,22,66,""
"org.axonframework.eventsourcing",0.019261186547162766,113,211,""
"org.axonframework.lifecycle",0.01893149580037773,42,10,""
"org.axonframework.commandhandling.callbacks",0.01840045289675946,8,13,""
"org.axonframework.eventhandling.scheduling",0.018358510849529913,16,2,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements",0.018032225472731027,30,28,""
"org.axonframework.messaging.interceptors",0.018030868050138545,10,29,""
"org.axonframework.common.lock",0.017842209827590712,42,24,""
"org.axonframework.common.jpa",0.017586016419508858,16,6,""
"org.axonframework.serialization.upcasting",0.017523038291642576,11,5,""
"org.axonframework.eventhandling.async",0.01667426963981443,36,44,""
"org.axonframework.common.property",0.01664313216622326,23,15,""
"org.axonframework.modelling.saga.repository",0.016586841394331125,50,67,""
"org.axonframework.common.legacyjpa",0.016412926653098157,14,6,""
"org.axonframework.test.deadline",0.016335039462814813,10,26,""
"org.axonframework.commandhandling.distributed.commandfilter",0.0161681351981986,12,20,""
"org.axonframework.serialization.xml",0.01603502058957991,17,24,""
"org.axonframework.eventhandling.replay",0.015886599391332534,12,36,""
