"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_8c_Closeness_Stream.cypher"
"org.axonframework.common",0.8440191387559809,422,23,""
"org.axonframework.messaging",0.6328757875787578,543,77,""
"org.axonframework.eventhandling",0.5864261884904087,709,442,""
"org.axonframework.messaging.unitofwork",0.5371466768525592,172,59,""
"org.axonframework.serialization",0.5113636363636364,296,111,""
"org.axonframework.common.transaction",0.48687580025608196,85,6,""
"org.axonframework.messaging.annotation",0.4770183175033921,336,184,""
"org.axonframework.tracing",0.4348330241187384,129,66,""
"org.axonframework.common.stream",0.42074592074592077,17,5,""
"org.axonframework.commandhandling",0.4020154373927959,268,144,""
"org.axonframework.monitoring",0.3970214568040655,61,14,""
"org.axonframework.common.io",0.3953997809419496,10,0,""
"org.axonframework.lifecycle",0.38739669421487605,42,10,""
"org.axonframework.deadline",0.37380382775119614,56,68,""
"org.axonframework.queryhandling",0.3631844008264463,144,224,""
"org.axonframework.serialization.upcasting.event",0.3631844008264463,38,53,""
"org.axonframework.eventhandling.tokenstore",0.3611325115562404,47,19,""
"org.axonframework.eventhandling.async",0.3512112887112887,36,44,""
"org.axonframework.common.annotation",0.3509965969859018,22,3,""
"org.axonframework.eventhandling.replay",0.3492921013412817,12,36,""
"org.axonframework.messaging.correlation",0.33642344497607657,11,9,""
"org.axonframework.util",0.33119406500235515,3,6,""
"org.axonframework.messaging.interceptors",0.3277972027972028,10,29,""
"org.axonframework.common.property",0.2853754940711462,23,15,""
"org.axonframework.commandhandling.callbacks",0.2779150197628459,8,13,""
"org.axonframework.messaging.responsetypes",0.26089981447124305,36,30,""
"org.axonframework.serialization.upcasting",0.26046176046176045,11,5,""
"org.axonframework.queryhandling.registration",0.2556818181818182,9,13,""
"org.axonframework.common.jpa",0.13187799043062204,16,6,""
"org.axonframework.common.lock",0.12528409090909093,42,24,""
"org.axonframework.modelling.command",0.11296791443850267,209,219,""
"org.axonframework.serialization.xml",0.1118881118881119,17,24,""
"org.axonframework.eventsourcing.eventstore",0.10330578512396693,120,161,""
"org.axonframework.modelling.saga",0.10227272727272728,112,124,""
"org.axonframework.common.jdbc",0.10107655502392346,49,26,""
"org.axonframework.common.caching",0.08875921375921376,30,27,""
"org.axonframework.eventsourcing.snapshotting",0.08088235294117647,14,8,""
"org.axonframework.modelling.command.inspection",0.08001893939393939,80,157,""
"org.axonframework.modelling.saga.repository",0.06818181818181818,50,67,""
