"memberName","authority","hub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9c_Hyperlink_Induced_Topic_Search_HITS_Stream.cypher"
"org.axonframework.common",0.5284799290167902,0,422,23,""
"org.axonframework.messaging",0.40477059483582983,0.10048281633504699,543,77,""
"org.axonframework.eventhandling",0.3487519754955136,0.17783843839633143,709,442,""
"org.axonframework.messaging.unitofwork",0.30194704598318167,0.08117489740379916,172,59,""
"org.axonframework.serialization",0.22657666819724062,0.1164614510066397,296,111,""
"org.axonframework.common.transaction",0.2188815030089243,0,85,6,""
"org.axonframework.messaging.annotation",0.21161748379869585,0.11774537432636412,336,184,""
"org.axonframework.tracing",0.1595773282313084,0.1443679777417233,129,66,""
"org.axonframework.commandhandling",0.145853629394591,0.13438152897630262,268,144,""
"org.axonframework.lifecycle",0.1135048185664917,0.050620943215427525,42,10,""
"org.axonframework.modelling.command",0.10452916968924718,0.1766804815130603,209,219,""
"org.axonframework.monitoring",0.10308596645235568,0.0638321671656612,61,14,""
"org.axonframework.deadline",0.10283159181038337,0.14198763858864905,56,68,""
"org.axonframework.eventsourcing.eventstore",0.09726146506928098,0.16818735687803396,120,161,""
"org.axonframework.common.annotation",0.08681234231222394,0.03614679907538292,22,3,""
"org.axonframework.serialization.upcasting.event",0.08461580382814478,0.10366829484161087,38,53,""
"org.axonframework.modelling.command.inspection",0.07676950635995869,0.14835843005244087,80,157,""
"org.axonframework.common.io",0.07052516451382179,0,10,0,""
"org.axonframework.common.jdbc",0.06952316003342376,0.08448464345338928,49,26,""
"org.axonframework.common.lock",0.06822395330699328,0.03614679907538292,42,24,""
"org.axonframework.eventhandling.tokenstore",0.06764553931856988,0.07549794136864842,47,19,""
"org.axonframework.serialization.xml",0.0673219816277584,0.05646787403449193,17,24,""
"org.axonframework.queryhandling",0.06646240714081518,0.13762576919400304,144,224,""
"org.axonframework.common.stream",0.06334131388512065,0,17,5,""
"org.axonframework.modelling.saga",0.06070886316915279,0.12246366582578856,112,124,""
