"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_8c_Closeness_Stream.cypher"
"/axon-messaging-4.7.5.jar",1,5,0,""
"/axon-modelling-4.7.5.jar",0.8,4,1,""
"/axon-eventsourcing-4.7.5.jar",0.6,3,2,""
"/axon-disruptor-4.7.5.jar",0.2,1,3,""
"/axon-configuration-4.7.5.jar",0,0,4,""
"/axon-test-4.7.5.jar",0,0,3,""
