"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_4c_Article_Rank_Stream.cypher"
"org.axonframework.common",0.6740493431417279,422,23,""
"org.axonframework.messaging",0.5061066966507393,543,77,""
"org.axonframework.eventhandling",0.3011932702444297,709,442,""
"org.axonframework.serialization",0.28139885245940793,296,111,""
"org.axonframework.messaging.unitofwork",0.16152299604347942,172,59,""
"org.axonframework.messaging.annotation",0.12833423245569633,336,184,""
"org.axonframework.commandhandling",0.08565550213651026,268,144,""
"org.axonframework.modelling.saga",0.0797873294190752,112,124,""
"org.axonframework.eventhandling.tokenstore",0.05801777775843903,47,19,""
"org.axonframework.queryhandling",0.053627630541370215,144,224,""
"org.axonframework.tracing",0.05104892507778941,129,66,""
"org.axonframework.common.transaction",0.049469135274029234,85,6,""
"org.axonframework.modelling.command",0.047103500703129866,209,219,""
"org.axonframework.eventsourcing.eventstore",0.04175143047571799,120,161,""
"org.axonframework.common.annotation",0.03956975931712903,22,3,""
"org.axonframework.test",0.03799712205049377,16,8,""
"org.axonframework.deadline",0.03784051980584131,56,68,""
"org.axonframework.eventsourcing.eventstore.jdbc",0.037752353074359826,36,83,""
"org.axonframework.monitoring",0.03774108222576802,61,14,""
"org.axonframework.common.jdbc",0.036990849285592674,49,26,""
"org.axonframework.common.io",0.03591655572243111,10,0,""
"org.axonframework.messaging.deadletter",0.03589772159909724,86,60,""
"org.axonframework.util",0.033477379133321356,3,6,""
"org.axonframework.modelling.command.inspection",0.033233247259996226,80,157,""
"org.axonframework.commandhandling.distributed",0.03233686298788862,50,128,""
"org.axonframework.common.stream",0.030947510640241767,17,5,""
"org.axonframework.test.matchers",0.02923614327621975,51,42,""
"org.axonframework.serialization.upcasting.event",0.029222349077957854,38,53,""
"org.axonframework.eventhandling.tokenstore.jpa",0.028340646937207913,9,29,""
"org.axonframework.messaging.responsetypes",0.02791346163952448,36,30,""
"org.axonframework.modelling.saga.metamodel",0.027748638755642843,15,20,""
"org.axonframework.eventhandling.deadletter.jpa",0.02746972708188934,22,66,""
"org.axonframework.modelling.saga.repository.jpa",0.027319956833439577,12,29,""
"org.axonframework.eventsourcing",0.02715004537873474,113,211,""
"org.axonframework.messaging.correlation",0.026109859242235856,11,9,""
"org.axonframework.lifecycle",0.02581622996306821,42,10,""
"org.axonframework.commandhandling.callbacks",0.025495209201142024,8,13,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements",0.02527914866165086,30,28,""
"org.axonframework.eventhandling.scheduling",0.025148194378379115,16,2,""
"org.axonframework.common.lock",0.024997183545935463,42,24,""
"org.axonframework.common.jpa",0.024616880678309475,16,6,""
"org.axonframework.messaging.interceptors",0.024411757347519686,10,29,""
"org.axonframework.serialization.upcasting",0.02426735358138069,11,5,""
"org.axonframework.common.property",0.0231408337730964,23,15,""
"org.axonframework.test.deadline",0.023119908890338332,10,26,""
"org.axonframework.common.legacyjpa",0.023111488217672446,14,6,""
"org.axonframework.modelling.saga.repository",0.02305147242212233,50,67,""
"org.axonframework.eventhandling.async",0.023015153772727726,36,44,""
"org.axonframework.commandhandling.distributed.commandfilter",0.022599790249989277,12,20,""
"org.axonframework.serialization.xml",0.022568456827930915,17,24,""
"org.axonframework.eventhandling.replay",0.022110760634349778,12,36,""
"org.axonframework.commandhandling.gateway",0.02187718957184933,101,170,""
"org.axonframework.common.caching",0.02180504450329124,30,27,""
"org.axonframework.test.eventscheduler",0.021709437952399532,9,16,""
"org.axonframework.eventsourcing.snapshotting",0.02163447319151379,14,8,""
"org.axonframework.test.utils",0.021460218001057938,8,14,""
"org.axonframework.eventsourcing.eventstore.jpa",0.02145131724929993,9,45,""
"org.axonframework.eventhandling.deadletter",0.02133644267753431,9,42,""
"org.axonframework.modelling.saga.repository.inmemory",0.02130126164079337,5,7,""
"org.axonframework.eventhandling.pooled",0.02128052547105104,52,154,""
"org.axonframework.eventsourcing.conflictresolution",0.021231000893961023,15,32,""
"org.axonframework.queryhandling.registration",0.02091687999555318,9,13,""
"org.axonframework.disruptor.commandhandling",0.02072135340621838,55,185,""
"org.axonframework.common.digest",0.020698488772398806,1,1,""
"org.axonframework.eventhandling.gateway",0.02069339480297675,11,21,""
"org.axonframework.queryhandling.annotation",0.02060951899325185,4,28,""
"org.axonframework.eventhandling.tokenstore.inmemory",0.020553601786768586,2,9,""
"org.axonframework.config",0.02052564318352695,115,431,""
"org.axonframework.deadline.annotation",0.02052564318352695,6,15,""
"org.axonframework.deadline.jobrunr",0.02052564318352695,3,40,""
"org.axonframework.deadline.quartz",0.02052564318352695,5,56,""
"org.axonframework.eventhandling.deadletter.legacyjpa",0.02052564318352695,9,56,""
"org.axonframework.eventhandling.interceptors",0.02052564318352695,0,7,""
"org.axonframework.eventhandling.scheduling.java",0.02052564318352695,5,24,""
"org.axonframework.eventhandling.scheduling.jobrunr",0.02052564318352695,3,26,""
"org.axonframework.eventhandling.scheduling.quartz",0.02052564318352695,10,44,""
"org.axonframework.eventhandling.tokenstore.jdbc",0.02052564318352695,16,39,""
"org.axonframework.eventhandling.tokenstore.legacyjpa",0.02052564318352695,2,22,""
"org.axonframework.eventsourcing.eventstore.inmemory",0.02052564318352695,1,13,""
"org.axonframework.eventsourcing.eventstore.legacyjpa",0.02052564318352695,23,84,""
"org.axonframework.messaging.interceptors.legacyvalidation",0.02052564318352695,1,7,""
"org.axonframework.modelling.command.legacyjpa",0.02052564318352695,2,23,""
"org.axonframework.modelling.saga.repository.jdbc",0.02052564318352695,13,39,""
"org.axonframework.modelling.saga.repository.legacyjpa",0.02052564318352695,3,21,""
"org.axonframework.serialization.converters",0.02052564318352695,0,7,""
"org.axonframework.serialization.json",0.02052564318352695,7,33,""
"org.axonframework.test.aggregate",0.02052564318352695,31,181,""
"org.axonframework.test.saga",0.02052564318352695,43,149,""
"org.axonframework.tracing.attributes",0.02052564318352695,0,16,""
