"memberName","centrality","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_7c_Harmonic_Closeness_Stream.cypher"
"org.axonframework.messaging.Message",0.36142899061032857,189,3,""
"org.axonframework.serialization.Serializer",0.2774207746478873,78,3,""
"org.axonframework.messaging.MetaData",0.27557218309859155,67,2,""
"org.axonframework.serialization.SerializedObject",0.2702611502347418,47,1,""
"org.axonframework.common.Assert",0.258950927788956,55,,""
"org.axonframework.eventhandling.EventMessage",0.2181338028169014,133,1,""
"org.axonframework.serialization.SerializedType",0.21264042588866536,37,1,""
"org.axonframework.serialization.Converter",0.19242328973843056,13,2,""
"org.axonframework.messaging.MetaData$1",0.185007964453387,2,1,""
"org.axonframework.messaging.MetaData$MetaDataCollector",0.18456782360831656,1,2,""
"org.axonframework.common.AxonNonTransientException",0.1697707075788062,26,1,""
"org.axonframework.common.AxonConfigurationException",0.16740861837692822,76,1,""
"org.axonframework.serialization.SimpleSerializedObject",0.16576228202548626,23,4,""
"org.axonframework.common.AxonException",0.16559984909456743,21,,""
"org.axonframework.serialization.SimpleSerializedType",0.16043657780013412,9,2,""
"org.axonframework.common.BuilderUtils",0.13879946344735078,84,3,""
"org.axonframework.common.transaction.TransactionManager",0.13658443717862728,64,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.13402393527833661,54,11,""
"org.axonframework.commandhandling.CommandMessage",0.13103202548625084,103,1,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.12308643527833668,32,2,""
"org.axonframework.messaging.ResultMessage",0.11914403085177733,21,5,""
"org.axonframework.eventhandling.TrackingToken",0.11355633802816902,74,,""
"org.axonframework.messaging.unitofwork.RollbackConfiguration",0.1076179298010284,19,,""
"org.axonframework.common.transaction.Transaction",0.10480626816454285,5,,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",0.1004142913033758,10,1,""
"org.axonframework.messaging.unitofwork.ExecutionResult",0.09792015984797679,13,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",0.09778811759445565,11,5,""
"org.axonframework.messaging.unitofwork.UnitOfWork$Phase",0.0977734462329533,11,,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.09367664319248827,61,1,""
"org.axonframework.common.Registration",0.09216549295774651,38,,""
"org.axonframework.eventhandling.DomainEventMessage",0.09131455399061032,56,2,""
"org.axonframework.messaging.HandlerExecutionException",0.08820667057902977,4,1,""
"org.axonframework.messaging.RemoteExceptionDescription",0.08678354851330206,4,1,""
"org.axonframework.messaging.GenericMessage",0.08560949027498321,14,8,""
"org.axonframework.common.StringUtils",0.08388770120724347,2,,""
"org.axonframework.messaging.MessageHandler",0.08380281690140844,31,1,""
"org.axonframework.eventhandling.TrackedEventMessage",0.08320129107981221,48,2,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.07956279342723004,47,1,""
"org.axonframework.tracing.SpanFactory",0.07709800469483567,52,3,""
"org.axonframework.messaging.MessageDecorator",0.0756664989939638,5,4,""
"org.axonframework.messaging.MessageDispatchInterceptor",0.07508802816901411,33,1,""
"org.axonframework.common.ExceptionUtils",0.07480333389224235,6,1,""
"org.axonframework.eventhandling.GenericEventMessage",0.07433559691482226,31,6,""
"org.axonframework.messaging.annotation.ParameterResolver",0.07425176056338027,40,1,""
"org.axonframework.common.IdentifierFactory",0.07417002012072434,8,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$1",0.07344448636262015,4,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$2",0.07212406382740888,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$3",0.07212406382740888,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$4",0.07212406382740888,1,2,""
"org.axonframework.messaging.MessageHandlerInterceptor",0.0716549295774648,27,3,""
"org.axonframework.messaging.InterceptorChain",0.06969735077129442,21,,""
"org.axonframework.common.ObjectUtils",0.06531061368209258,16,,""
"org.axonframework.messaging.AbstractMessage",0.06451207243460765,2,2,""
"org.axonframework.messaging.MessageDispatchInterceptorSupport",0.06336561032863851,8,3,""
"org.axonframework.tracing.Span",0.0628080985915493,26,1,""
"org.axonframework.common.AxonTransientException",0.06219085345405768,13,1,""
"org.axonframework.serialization.SerializedObjectHolder",0.061626006036217325,1,5,""
"org.axonframework.messaging.ScopeDescriptor",0.05908157276995306,32,,""
"org.axonframework.messaging.annotation.HandlerDefinition",0.056338028169014086,33,2,""
"org.axonframework.common.ReflectionUtils",0.05632335680751175,27,4,""
"org.axonframework.commandhandling.CommandCallback",0.05616197183098591,34,3,""
"org.axonframework.eventhandling.EventBus",0.05595657276995305,30,3,""
"org.axonframework.common.DefaultIdentifierFactory",0.05571205007824727,1,1,""
"org.axonframework.commandhandling.CommandResultMessage",0.05543049966465461,25,2,""
"org.axonframework.messaging.GenericResultMessage",0.054022048960429246,6,8,""
"org.axonframework.monitoring.MessageMonitor",0.05384389671361503,34,2,""
"org.axonframework.tracing.SpanAttributesProvider",0.05293427230046948,11,1,""
"org.axonframework.serialization.CachingSupplier",0.052299211938296446,2,,""
"org.axonframework.common.annotation.AnnotationUtils",0.051615945674044275,19,1,""
"org.axonframework.commandhandling.CommandBus",0.04826877934272301,25,6,""
"org.axonframework.messaging.responsetypes.ResponseType",0.04822686116700203,19,,""
"org.axonframework.tracing.SpanScope",0.04760856807511737,11,,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream",0.04735915492957747,22,7,""
"org.axonframework.eventhandling.GenericDomainEventMessage",0.04711393360160966,15,6,""
"org.axonframework.eventhandling.Segment",0.04705105633802817,30,1,""
"org.axonframework.deadline.DeadlineMessage",0.047023809523809544,26,2,""
"org.axonframework.messaging.MessageHandlerInterceptorSupport",0.046464201877934264,6,3,""
"org.axonframework.modelling.saga.AssociationValue",0.04587734741784038,30,1,""
"org.axonframework.eventhandling.DomainEventData",0.044219483568075105,19,1,""
"org.axonframework.tracing.NoOpSpanFactory",0.043963782696177074,12,5,""
"org.axonframework.monitoring.MessageMonitor$MonitorCallback",0.042634976525821607,15,,""
"org.axonframework.messaging.IllegalPayloadAccessException",0.04197057344064386,3,1,""
"org.axonframework.modelling.command.Repository",0.041886737089201875,22,2,""
"org.axonframework.messaging.StreamableMessageSource",0.04175469483568075,15,3,""
"org.axonframework.common.stream.BlockingStream",0.04124119718309859,14,1,""
"org.axonframework.serialization.upcasting.event.EventUpcaster",0.041065140845070416,16,2,""
"org.axonframework.modelling.command.Aggregate",0.040830399061032856,22,1,""
"org.axonframework.serialization.upcasting.event.IntermediateEventRepresentation",0.03970070422535211,12,5,""
"org.axonframework.eventsourcing.eventstore.EventStore",0.03939260563380282,20,6,""
"org.axonframework.queryhandling.QueryMessage",0.039277330650570104,21,2,""
"org.axonframework.messaging.DefaultInterceptorChain",0.03911384976525821,11,5,""
"org.axonframework.common.TypeReflectionUtils",0.03893360160965794,3,1,""
"org.axonframework.messaging.annotation.HandlerEnhancerDefinition",0.038524899396378265,19,1,""
"org.axonframework.messaging.SubscribableMessageSource",0.03820422535211268,5,2,""
"org.axonframework.serialization.LazyDeserializingObject",0.03664906103286384,6,4,""
"org.axonframework.eventhandling.EventData",0.036605046948356805,6,1,""
"org.axonframework.common.MemberAccessibilityCallback",0.036439470154258885,1,,""
"org.axonframework.messaging.ScopeAware",0.03634096244131456,7,2,""
"org.axonframework.commandhandling.GenericCommandResultMessage",0.03587147887323943,14,4,""
"org.axonframework.lifecycle.Lifecycle$LifecycleRegistry",0.035211267605633804,16,1,""
"org.axonframework.messaging.annotation.ClasspathHandlerDefinition",0.03425762910798122,13,2,""
"org.axonframework.commandhandling.WrappedCommandCallback",0.03422828638497653,1,3,""
"org.axonframework.modelling.command.inspection.AggregateModel",0.03330399061032863,24,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",0.03287852112676056,4,8,""
"org.axonframework.messaging.annotation.ClasspathParameterResolverFactory",0.03279049295774647,12,2,""
"org.axonframework.serialization.upcasting.Upcaster",0.03277162977867204,6,,""
"org.axonframework.common.Priority",0.03269303319919517,12,,""
"org.axonframework.eventhandling.tokenstore.TokenStore",0.032643779342723,22,5,""
"org.axonframework.messaging.unitofwork.MessageProcessingContext",0.03170481220657277,3,5,""
"org.axonframework.eventsourcing.EventStreamUtils",0.03125,2,13,""
"org.axonframework.eventsourcing.eventstore.IteratorBackedDomainEventStream",0.030589788732394367,2,2,""
"org.axonframework.tracing.NoOpSpanFactory$NoOpSpan",0.030427355801475518,1,2,""
"org.axonframework.eventsourcing.eventstore.ConcatenatingDomainEventStream",0.030149647887323945,1,2,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream$1",0.030149647887323945,1,3,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream$2",0.030149647887323945,1,2,""
"org.axonframework.eventsourcing.eventstore.FilteringDomainEventStream",0.030149647887323945,1,2,""
"org.axonframework.common.TypeReflectionUtils$VarMap",0.03005428403755869,3,3,""
"org.axonframework.common.io.IOUtils",0.029813254527162974,10,,""
"org.axonframework.eventsourcing.AggregateFactory",0.029782863849765254,14,1,""
"org.axonframework.eventhandling.ListenerInvocationErrorHandler",0.029562793427230043,15,2,""
"org.axonframework.monitoring.NoOpMessageMonitor",0.029284037558685444,9,4,""
"org.axonframework.common.transaction.NoTransactionManager",0.02919600938967136,15,3,""
"org.axonframework.messaging.deadletter.DeadLetter",0.02915199530516432,20,3,""
"org.axonframework.messaging.Scope",0.02873071763916834,4,1,""
"org.axonframework.modelling.command.inspection.EntityModel",0.028653169014084504,10,2,""
"org.axonframework.eventhandling.GenericTrackedDomainEventMessage",0.02837860496311201,4,7,""
"org.axonframework.serialization.SerializedMessage",0.02837860496311201,4,9,""
"org.axonframework.commandhandling.GenericCommandMessage",0.028286384976525816,6,5,""
"org.axonframework.eventhandling.EventMessageHandler",0.028198356807511735,9,3,""
"org.axonframework.common.stream.StreamUtils",0.02803068410462777,2,2,""
"org.axonframework.messaging.unitofwork.DefaultUnitOfWork",0.02790492957746479,14,10,""
"org.axonframework.eventhandling.DomainEventSequenceAware",0.027420774647887326,3,,""
"org.axonframework.modelling.saga.AssociationValues",0.02709800469483568,12,1,""
"org.axonframework.eventhandling.TrackedEventData",0.02693452380952381,8,2,""
"org.axonframework.messaging.annotation.AnnotatedHandlerInspector",0.026701877934272304,7,11,""
"org.axonframework.lifecycle.Lifecycle$LifecycleHandler",0.02662852112676056,7,,""
"org.axonframework.lifecycle.Lifecycle",0.026511150234741782,12,2,""
"org.axonframework.modelling.command.RepositoryProvider",0.026335093896713613,21,1,""
"org.axonframework.queryhandling.SubscriptionQueryUpdateMessage",0.02592639168343394,10,2,""
"org.axonframework.eventhandling.EventHandlerInvoker",0.025762910798122065,12,2,""
"org.axonframework.serialization.SerializationException",0.02574614352783367,4,1,""
"org.axonframework.modelling.saga.repository.SagaStore",0.02538145539906103,15,3,""
"org.axonframework.messaging.annotation.MultiHandlerDefinition",0.025337441314553993,4,7,""
