"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_4c_Article_Rank_Stream.cypher"
"org.axonframework.common","common",0.6952276534947709,858,23,""
"org.axonframework.messaging","messaging",0.4917226773460996,8245,115,""
"org.axonframework.eventhandling","eventhandling",0.31238423640690455,4324,1545,""
"org.axonframework.serialization","serialization",0.23257040715059848,1057,170,""
"org.axonframework.messaging.unitofwork","unitofwork",0.1606590782524552,246,123,""
"org.axonframework.messaging.annotation","annotation",0.1324938362900986,1008,301,""
"org.axonframework.commandhandling","commandhandling",0.08332029428844195,1460,642,""
"org.axonframework.modelling.saga","saga",0.08175893066945479,242,386,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.059852504277679706,69,42,""
"org.axonframework.queryhandling","queryhandling",0.05319014012149828,175,1108,""
"org.axonframework.tracing","tracing",0.05247425417710958,173,122,""
"org.axonframework.common.transaction","transaction",0.050712770352199274,276,6,""
"org.axonframework.modelling.command","command",0.04714690902027907,213,631,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.04295566475111773,166,603,""
"org.axonframework.common.annotation","annotation",0.04093681181374418,22,3,""
"org.axonframework.test","test",0.038989400750189786,14,13,""
"org.axonframework.monitoring","monitoring",0.0388421089576217,189,21,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.03868524037699443,218,1340,""
"org.axonframework.deadline","deadline",0.038575115896654674,159,347,""
"org.axonframework.common.jdbc","jdbc",0.03790690071946693,49,41,""
"org.axonframework.messaging.deadletter","deadletter",0.03678477964836236,135,104,""
"org.axonframework.common.io","io",0.03560405560160678,10,0,""
"org.axonframework.modelling.command.inspection","inspection",0.03425947961675975,76,525,""
"org.axonframework.commandhandling.distributed","distributed",0.03313592970643243,50,603,""
"org.axonframework.util","util",0.03218008636641197,3,6,""
"org.axonframework.common.stream","stream",0.03214673393234253,29,5,""
"org.axonframework.test.matchers","matchers",0.030792982274676292,57,51,""
"org.axonframework.serialization.upcasting.event","event",0.030192824639442308,38,188,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.029040964335280983,9,119,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.028434327213513168,15,53,""
"org.axonframework.messaging.responsetypes","responsetypes",0.028365323735017028,78,65,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.028148523435352586,25,317,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.027995052258305977,12,86,""
"org.axonframework.eventsourcing","eventsourcing",0.027228744786166735,128,976,""
"org.axonframework.messaging.correlation","correlation",0.02661388136374404,25,14,""
"org.axonframework.lifecycle","lifecycle",0.026553122519845724,62,10,""
"org.axonframework.commandhandling.callbacks","callbacks",0.026066499954444267,8,39,""
"org.axonframework.common.lock","lock",0.026004935940628793,46,25,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.02590381427551118,30,80,""
"org.axonframework.eventhandling.scheduling","scheduling",0.025769624019428703,16,2,""
"org.axonframework.common.jpa","jpa",0.025271328504397374,16,6,""
"org.axonframework.messaging.interceptors","interceptors",0.02504943232416934,10,119,""
"org.axonframework.serialization.upcasting","upcasting",0.024898819205328177,11,5,""
"org.axonframework.common.property","property",0.023836501195842488,23,15,""
"org.axonframework.eventhandling.async","async",0.02368414103984853,41,76,""
"org.axonframework.common.legacyjpa","legacyjpa",0.02368258941130636,14,6,""
"org.axonframework.test.deadline","deadline",0.023662775226992953,9,138,""
"org.axonframework.modelling.saga.repository","repository",0.02362109058306909,72,199,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.023158247025515128,12,34,""
"org.axonframework.serialization.xml","xml",0.023128120760054886,17,28,""
"org.axonframework.eventhandling.replay","replay",0.022723977519851002,12,72,""
"org.axonframework.commandhandling.gateway","gateway",0.022417790374366448,101,447,""
"org.axonframework.common.caching","caching",0.022363319126687056,30,40,""
"org.axonframework.test.eventscheduler","eventscheduler",0.022245893493945155,9,38,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.0221710577284656,23,17,""
"org.axonframework.test.utils","utils",0.02199051514162358,8,70,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.02198139444600452,9,236,""
"org.axonframework.eventhandling.deadletter","deadletter",0.02186368124245389,9,275,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.021827630857452606,5,15,""
"org.axonframework.eventhandling.pooled","pooled",0.02180638228231346,52,1022,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.021740248639757903,15,99,""
"org.axonframework.queryhandling.registration","registration",0.021420891451294905,9,13,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.021233392680909163,50,1419,""
"org.axonframework.common.digest","digest",0.02120996304584244,1,1,""
"org.axonframework.eventhandling.gateway","gateway",0.021204743200838948,11,52,""
"org.axonframework.queryhandling.annotation","annotation",0.021118794760628303,4,199,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.021061495800487873,2,25,""
"org.axonframework.test.aggregate","aggregate",0.02103284632041766,19,859,""
"org.axonframework.deadline.annotation","annotation",0.02103284632041766,6,29,""
"org.axonframework.tracing.attributes","attributes",0.02103284632041766,0,43,""
"org.axonframework.config","config",0.02103284632041766,115,7942,""
"org.axonframework.serialization.converters","converters",0.02103284632041766,0,7,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.02103284632041766,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0.02103284632041766,0,28,""
"org.axonframework.eventhandling.scheduling.java","java",0.02103284632041766,5,76,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.02103284632041766,16,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.02103284632041766,13,133,""
"org.axonframework.deadline.jobrunr","jobrunr",0.02103284632041766,3,348,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.02103284632041766,3,198,""
"org.axonframework.serialization.json","json",0.02103284632041766,7,87,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.02103284632041766,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.02103284632041766,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.02103284632041766,2,106,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.02103284632041766,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.02103284632041766,3,81,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.02103284632041766,1,27,""
"org.axonframework.deadline.quartz","quartz",0.02103284632041766,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.02103284632041766,10,202,""
"org.axonframework.test.saga","saga",0.02103284632041766,43,1375,""
