"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_8c_Closeness_Stream.cypher"
"org.axonframework.messaging.Message",0.3048340782703602,189,3,""
"org.axonframework.messaging.MetaData",0.23867361395991918,67,2,""
"org.axonframework.serialization.SerializedObject",0.23788145539906103,47,1,""
"org.axonframework.serialization.Serializer",0.2354542839764916,78,3,""
"org.axonframework.common.Assert",0.19334058984151414,55,,""
"org.axonframework.serialization.SerializedType",0.18306942760906644,37,1,""
"org.axonframework.eventhandling.EventMessage",0.1776307526688795,133,1,""
"org.axonframework.serialization.Converter",0.1737768576424273,13,2,""
"org.axonframework.messaging.MetaData$1",0.17278441244892234,2,1,""
"org.axonframework.messaging.MetaData$MetaDataCollector",0.17271697122626467,1,2,""
"org.axonframework.serialization.SimpleSerializedType",0.14423651872229476,9,2,""
"org.axonframework.serialization.SimpleSerializedObject",0.14324077717764988,23,4,""
"org.axonframework.common.AxonException",0.14200313161472136,21,,""
"org.axonframework.common.AxonNonTransientException",0.13748624278870364,26,1,""
"org.axonframework.common.AxonConfigurationException",0.13471990479462137,76,1,""
"org.axonframework.common.BuilderUtils",0.10600405643319374,84,3,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.0984667555417394,54,11,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.09821662830496952,32,2,""
"org.axonframework.messaging.ResultMessage",0.09458369387308307,21,5,""
"org.axonframework.common.transaction.TransactionManager",0.09255803639038533,64,1,""
"org.axonframework.commandhandling.CommandMessage",0.09239464565168791,103,1,""
"org.axonframework.common.transaction.Transaction",0.08550659993837408,5,,""
"org.axonframework.messaging.unitofwork.RollbackConfiguration",0.08351390393643915,19,,""
"org.axonframework.eventhandling.TrackingToken",0.08283319807319756,74,,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",0.08071086491720918,10,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork$Phase",0.07896669114211334,11,,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",0.07894785934147934,11,5,""
"org.axonframework.messaging.unitofwork.ExecutionResult",0.07875341176023053,13,1,""
"org.axonframework.messaging.HandlerExecutionException",0.07581940239568251,4,1,""
"org.axonframework.messaging.RemoteExceptionDescription",0.07490064449013759,4,1,""
"org.axonframework.messaging.annotation.MessageHandlingMember",0.07463442125842876,61,1,""
"org.axonframework.common.Registration",0.0738676664302361,38,,""
"org.axonframework.common.StringUtils",0.07368922157654552,2,,""
"org.axonframework.messaging.GenericMessage",0.07231598908224508,14,8,""
"org.axonframework.eventhandling.DomainEventMessage",0.0697570591010176,56,2,""
"org.axonframework.messaging.MessageHandler",0.06726152368758004,31,1,""
"org.axonframework.messaging.MessageDecorator",0.06561285521347261,5,4,""
"org.axonframework.eventhandling.TrackedEventMessage",0.06470070422535211,48,2,""
"org.axonframework.common.ExceptionUtils",0.06408178276622988,6,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$1",0.06361326980023148,4,1,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$2",0.06351159701951721,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$3",0.06351159701951721,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$4",0.06351159701951721,1,2,""
"org.axonframework.common.IdentifierFactory",0.06295872787400077,8,1,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",0.0626028900676788,47,1,""
"org.axonframework.tracing.SpanFactory",0.062182689158205046,52,3,""
"org.axonframework.messaging.AbstractMessage",0.05874930063976259,2,2,""
"org.axonframework.messaging.MessageDispatchInterceptor",0.0573805515575203,33,1,""
"org.axonframework.messaging.MessageHandlerInterceptor",0.057335436736845186,27,3,""
"org.axonframework.messaging.annotation.ParameterResolver",0.05648438307104239,40,1,""
"org.axonframework.serialization.SerializedObjectHolder",0.05613175754195138,1,5,""
"org.axonframework.messaging.MessageDispatchInterceptorSupport",0.05508838613938715,8,3,""
"org.axonframework.messaging.InterceptorChain",0.054005602960830686,21,,""
"org.axonframework.eventhandling.GenericEventMessage",0.05367117166451273,31,6,""
"org.axonframework.common.ObjectUtils",0.05293573161884273,16,,""
"org.axonframework.tracing.Span",0.05142357210749158,26,1,""
"org.axonframework.common.DefaultIdentifierFactory",0.050572003936782156,1,1,""
"org.axonframework.common.AxonTransientException",0.04943833038718139,13,1,""
"org.axonframework.messaging.annotation.HandlerDefinition",0.04836712583191456,33,2,""
"org.axonframework.messaging.GenericResultMessage",0.046364804583125765,6,8,""
"org.axonframework.messaging.ScopeDescriptor",0.04563479004870343,32,,""
"org.axonframework.serialization.CachingSupplier",0.04525869872189434,2,,""
"org.axonframework.tracing.SpanAttributesProvider",0.045165394402035625,11,1,""
"org.axonframework.eventhandling.EventBus",0.04434639968324,30,3,""
"org.axonframework.commandhandling.CommandCallback",0.0437366416397216,34,3,""
"org.axonframework.monitoring.MessageMonitor",0.04357394366197183,34,2,""
"org.axonframework.messaging.MessageHandlerInterceptorSupport",0.04163449951043157,6,3,""
"org.axonframework.common.ReflectionUtils",0.04145512610547003,27,4,""
"org.axonframework.commandhandling.CommandBus",0.04121550109908003,25,6,""
"org.axonframework.commandhandling.CommandResultMessage",0.040676752824640144,25,2,""
"org.axonframework.tracing.SpanScope",0.03973813676451231,11,,""
"org.axonframework.common.annotation.AnnotationUtils",0.03953793515811852,19,1,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream",0.03789595812422427,22,7,""
"org.axonframework.messaging.IllegalPayloadAccessException",0.03708145096997077,3,1,""
"org.axonframework.messaging.responsetypes.ResponseType",0.036789452182709514,19,,""
"org.axonframework.eventhandling.GenericDomainEventMessage",0.03657692200634638,15,6,""
"org.axonframework.eventhandling.Segment",0.035941810657761,30,1,""
"org.axonframework.modelling.command.Repository",0.03546777352858875,22,2,""
"org.axonframework.monitoring.MessageMonitor$MonitorCallback",0.03508984944147645,15,,""
"org.axonframework.messaging.StreamableMessageSource",0.034405185904700236,15,3,""
"org.axonframework.modelling.saga.AssociationValue",0.034255785972114094,30,1,""
"org.axonframework.tracing.NoOpSpanFactory",0.03423594264817698,12,5,""
"org.axonframework.eventhandling.DomainEventData",0.033855588310223096,19,1,""
"org.axonframework.deadline.DeadlineMessage",0.03347515649452269,26,2,""
"org.axonframework.common.stream.BlockingStream",0.033261864918886254,14,1,""
"org.axonframework.messaging.SubscribableMessageSource",0.03316730869547771,5,2,""
"org.axonframework.messaging.DefaultInterceptorChain",0.03253533884466218,11,5,""
"org.axonframework.common.TypeReflectionUtils",0.032519928365604724,3,1,""
"org.axonframework.eventsourcing.eventstore.EventStore",0.0324583866837388,20,6,""
"org.axonframework.serialization.upcasting.event.IntermediateEventRepresentation",0.03214016016297285,12,5,""
"org.axonframework.modelling.command.Aggregate",0.03203294284940412,22,1,""
"org.axonframework.serialization.upcasting.event.EventUpcaster",0.03200272128856691,16,2,""
"org.axonframework.messaging.ScopeAware",0.031603080018572975,7,2,""
"org.axonframework.serialization.LazyDeserializingObject",0.03140647418816433,6,4,""
"org.axonframework.common.MemberAccessibilityCallback",0.03113133870142461,1,,""
"org.axonframework.eventhandling.EventData",0.030978381550564652,6,1,""
"org.axonframework.commandhandling.WrappedCommandCallback",0.030461563418451087,1,3,""
"org.axonframework.lifecycle.Lifecycle$LifecycleRegistry",0.03037628757620349,16,1,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",0.029250011469468276,4,8,""
"org.axonframework.messaging.unitofwork.MessageProcessingContext",0.028327298173901456,3,5,""
"org.axonframework.eventsourcing.EventStreamUtils",0.027861535409640942,2,13,""
"org.axonframework.queryhandling.QueryMessage",0.02777811976755639,21,2,""
"org.axonframework.commandhandling.GenericCommandResultMessage",0.027697785224357296,14,4,""
"org.axonframework.messaging.annotation.ClasspathHandlerDefinition",0.027607226272206103,13,2,""
"org.axonframework.eventsourcing.eventstore.IteratorBackedDomainEventStream",0.027098205672390505,2,2,""
"org.axonframework.eventsourcing.eventstore.ConcatenatingDomainEventStream",0.027024166859077964,1,2,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream$1",0.027024166859077964,1,3,""
"org.axonframework.eventsourcing.eventstore.DomainEventStream$2",0.027024166859077964,1,2,""
"org.axonframework.eventsourcing.eventstore.FilteringDomainEventStream",0.027024166859077964,1,2,""
"org.axonframework.modelling.command.inspection.AggregateModel",0.026801586216327087,24,1,""
"org.axonframework.serialization.upcasting.Upcaster",0.026696669166875017,6,,""
"org.axonframework.messaging.annotation.HandlerEnhancerDefinition",0.026662378114842903,19,1,""
