"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.014470481015575725,16,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.014470481015575725,13,133,""
"org.axonframework.deadline.jobrunr","jobrunr",0.014470481015575725,3,348,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.014470481015575725,3,198,""
"org.axonframework.serialization.json","json",0.014470481015575725,7,87,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.014470481015575725,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.014470481015575725,2,106,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.014470481015575725,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.014470481015575725,3,81,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.014470481015575725,23,375,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.014470481015575725,1,27,""
"org.axonframework.deadline.quartz","quartz",0.014470481015575725,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.014470481015575725,10,202,""
"org.axonframework.test.saga","saga",0.014470481015575725,43,1375,""
