"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: Community_Detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,23,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.test.aggregate,org.axonframework.test.eventscheduler,org.axonframework.modelling.command,org.axonframework.modelling.command.inspection,org.axonframework.modelling.command.legacyjpa",""
0.9,1,"org.axonframework.queryhandling.annotation",""
0.83,4,"org.axonframework.test.matchers,org.axonframework.test.deadline,org.axonframework.modelling.saga.repository.jpa,org.axonframework.eventhandling.tokenstore.inmemory",""
0.73,3,"org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.tokenstore.legacyjpa",""
0.7,2,"org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.tracing.attributes",""
0.67,8,"org.axonframework.eventsourcing.snapshotting,org.axonframework.commandhandling.callbacks,org.axonframework.common.digest,org.axonframework.deadline.annotation,org.axonframework.eventhandling.async,org.axonframework.eventhandling.replay,org.axonframework.messaging.interceptors,org.axonframework.messaging.responsetypes",""
0.62,1,"org.axonframework.monitoring",""
0.61,4,"org.axonframework.deadline.dbscheduler,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.deadletter.legacyjpa,org.axonframework.eventhandling.tokenstore",""
0.6,3,"org.axonframework.test,org.axonframework.serialization.upcasting.event,org.axonframework.serialization.xml",""
0.59,1,"org.axonframework.deadline",""
0.57,2,"org.axonframework.eventhandling.deadletter.jdbc,org.axonframework.messaging.deadletter",""
0.56,1,"org.axonframework.eventhandling.scheduling.jobrunr",""
0.53,3,"org.axonframework.common.jdbc,org.axonframework.deadline.jobrunr,org.axonframework.deadline.quartz",""
0.52,1,"org.axonframework.eventhandling.scheduling.java",""
0.5,4,"org.axonframework.common.io,org.axonframework.common.jpa,org.axonframework.common.legacyjpa,org.axonframework.eventhandling.scheduling.dbscheduler",""
0.49,1,"org.axonframework.tracing",""
0.47,2,"org.axonframework.modelling.saga,org.axonframework.modelling.saga.repository",""
0.46,1,"org.axonframework.util",""
0.44,2,"org.axonframework.commandhandling.gateway,org.axonframework.eventhandling.scheduling.quartz",""
0.4,4,"org.axonframework.test.saga,org.axonframework.common.annotation,org.axonframework.eventhandling.pooled,org.axonframework.eventhandling.scheduling",""
0.38,1,"org.axonframework.messaging.annotation",""
0.37,1,"org.axonframework.queryhandling",""
0.34,1,"org.axonframework.commandhandling",""
0.33,1,"org.axonframework.eventsourcing.eventstore.jdbc",""
0.31,1,"org.axonframework.commandhandling.distributed",""
0.29,1,"org.axonframework.lifecycle",""
0.26,1,"org.axonframework.messaging.unitofwork",""
0.24,1,"org.axonframework.eventsourcing.eventstore",""
0.21,1,"org.axonframework.serialization",""
0.2,1,"org.axonframework.eventhandling",""
0.17,1,"org.axonframework.messaging",""
0.16,1,"org.axonframework.common.transaction",""
0.14,1,"org.axonframework.common",""
0,9,"org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.test.server,org.axonframework.test.utils,org.axonframework.disruptor.commandhandling,org.axonframework.config,org.axonframework.common.caching,org.axonframework.serialization.converters,org.axonframework.serialization.upcasting",""
