"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-disruptor-4.10.0",1,""
"axon-messaging-4.10.0",64,""
"axon-server-connector-4.10.0",11,""
"axon-eventsourcing-4.10.0",9,""
"axon-configuration-4.10.0",1,""
"axon-modelling-4.10.0",10,""
"axon-tracing-opentelemetry-4.10.0",1,""
"axon-test-4.10.0",8,""
"axon-spring-boot-autoconfigure-4.10.0",9,""
