"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Overview/Effective_lines_of_method_code_per_type.cypher"
"axon-configuration-4.10.0","org.axonframework.config","EventProcessingModule",458,43,"<init>",4,"noTepCustomization",""
"axon-configuration-4.10.0","org.axonframework.config","DefaultConfigurer",431,50,"<init>",7,"invokeLifecycleHandlers",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","TrackingEventProcessor",378,64,"processBatch",21,"processBatch",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jdbc","JdbcTokenStore",312,26,"updateToken",9,"updateToken",""
"axon-test-4.10.0","org.axonframework.test.aggregate","AggregateTestFixture",306,24,"<init>",13,"ensureValuesEqual",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","Coordinator$CoordinationTask",261,77,"run",23,"run",""
"axon-test-4.10.0","org.axonframework.test.aggregate","Reporter",241,45,"appendEventOverview",11,"appendEventOverview",""
"axon-messaging-4.10.0","org.axonframework.queryhandling","SimpleQueryBus",233,36,"doQuery",11,"doQuery",""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection","AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",231,26,"inspectFieldsAndMethods",9,"prepareHandlers",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine",228,24,"<init>",7,"lambda$cleanGaps$37",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc","JdbcSequencedDeadLetterQueue",218,18,"processInitialAndSubsequent",6,"process",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.legacyjpa","JpaSequencedDeadLetterQueue",216,19,"enqueue",6,"process",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jpa","JpaSequencedDeadLetterQueue",214,18,"requeue",6,"process",""
"axon-test-4.10.0","org.axonframework.test.aggregate","ResultValidatorImpl",203,15,"expectExceptionDetails",7,"verifyPayloadEquality",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc","DefaultDeadLetterStatementFactory",187,19,"claimableSequencesStatement",2,"setTrackedEventFields",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query","AxonServerQueryBus",184,25,"query",4,"lambda$query$9",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector","AxonServerConfiguration",182,33,"<init>",3,"getNrOfNewPermits",""
"axon-configuration-4.10.0","org.axonframework.config","AggregateConfigurer",165,23,"lambda$new$28",5,"lambda$new$28",""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot.autoconfig","AxonAutoConfiguration",165,34,"buildSerializer",10,"buildSerializer",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","WorkPackage",163,24,"processEvents",7,"processEvents",""
"axon-test-4.10.0","org.axonframework.test.saga","SagaTestFixture",161,29,"<init>",5,"handleInSaga",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon","AxonServerEventStore$AxonIQEventStorageEngine",157,15,"map",9,"commit",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","JpaEventStorageEngine",155,25,"fetchTrackedEvents",8,"fetchTrackedEvents",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jpa","JpaEventStorageEngine",153,23,"fetchTrackedEvents",8,"fetchTrackedEvents",""
"axon-messaging-4.10.0","org.axonframework.deadline.dbscheduler","DbSchedulerDeadlineManager",150,18,"execute",5,"execute",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc","JdbcEventStorageEngine$Builder",150,23,"<init>",2,"lambda$assertPositive$1",""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection","AnnotatedAggregate",149,16,"handle",5,"doApply",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jdbc","JdbcSagaStore",140,38,"updateSaga",8,"updateSaga",""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter","InMemorySequencedDeadLetterQueue",137,33,"process",9,"process",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.legacyjpa","JpaTokenStore",136,19,"storeToken",5,"loadToken",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jpa","JpaTokenStore",133,19,"storeToken",5,"validateSegment",""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling","DisruptorCommandBus",128,32,"<init>",8,"doDispatch",""
"axon-messaging-4.10.0","org.axonframework.common","ReflectionUtils",127,10,"<clinit>",8,"explicitlyUnequal",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","AbstractEventBus",127,17,"publish",6,"lambda$null$11",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","PooledStreamingEventProcessor",126,34,"<init>",2,"mergeSegment",""
"axon-messaging-4.10.0","org.axonframework.queryhandling","SimpleQueryUpdateEmitter",126,11,"doEmit",6,"lambda$payloadMatchesQueryResponseType$13",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.legacyjpa","JpaSagaStore",124,20,"updateSaga",6,"updateSaga",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jpa","JpaSagaStore",122,20,"updateSaga",6,"updateSaga",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.dbscheduler","DbSchedulerEventScheduler",118,12,"start",4,"start",""
"axon-modelling-4.10.0","org.axonframework.modelling.command","AbstractRepository",118,15,"newInstance",5,"lambda$loadOrCreate$8",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc","DeadLetterSchema$Builder",117,24,"<init>",1,"access$400",""
"axon-test-4.10.0","org.axonframework.test.saga","FixtureExecutionResultImpl",112,11,"<init>",4,"lambda$expectNoScheduledDeadlineMatching$6",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","Coordinator",110,25,"<init>",6,"start",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc.statements","JdbcEventStorageEngineStatements",109,18,"appendEvents",2,"appendEvents",""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork","AbstractUnitOfWork",108,14,"getCorrelationData",5,"rollback",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","PooledStreamingEventProcessor$Builder",106,11,"<init>",1,"messageMonitor",""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation","AnnotatedHandlerInspector",104,14,"initialize",4,"initialize",""
"axon-modelling-4.10.0","org.axonframework.modelling.command","AggregateAnnotationCommandHandler",102,17,"lambda$initializeHandler$7",6,"lambda$initializeHandler$7",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query.subscription","SubscriptionMessageSerializer",101,21,"serialize",3,"serialize",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query","QueryProcessingTask",98,13,"<init>",4,"lambda$directQuery$2",""
"axon-messaging-4.10.0","org.axonframework.common.caching","WeakReferenceCache",92,13,"computeIfAbsent",6,"put",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jdbc","GenericSagaSqlSchema",92,9,"sql_storeAssocValue",2,"readAssociationValues",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","TrackingEventProcessor$WorkerLauncher",91,62,"run",17,"run",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","MultiStreamableMessageSource$MultiSourceBlockingStream",91,18,"nextAvailable",7,"hasNextAvailable",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector","ErrorCode",89,28,"<clinit>",2,"getQueryExecutionErrorCode",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon","AxonServerEventScheduler",89,20,"toEvent",10,"reschedule",""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling","DisruptorCommandBus$Builder",88,17,"<init>",3,"lambda$bufferSize$0",""
"axon-messaging-4.10.0","org.axonframework.deadline.quartz","QuartzDeadlineManager",88,13,"<init>",5,"lambda$cancelAllWithinScope$3",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.command","AxonServerCommandBus",88,24,"doDispatch",4,"doDispatch",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector","ServerConnectorConfigurerModule",86,19,"buildQueryBus",1,"lambda$configureModule$1",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.jobrunr","JobRunrEventScheduler",85,15,"schedule",40,"$deserializeLambda$",""
"axon-messaging-4.10.0","org.axonframework.deadline.jobrunr","JobRunrDeadlineManager",84,23,"execute",13,"$deserializeLambda$",""
"axon-test-4.10.0","org.axonframework.test.deadline","DeadlineManagerValidator",84,11,"assertTriggeredDeadlinesMatching",5,"assertScheduledDeadlineMatching",""
"axon-messaging-4.10.0","org.axonframework.common","TypeReflectionUtils",83,24,"getExactDirectSuperTypesOfParameterizedTypeOrClass",9,"getExactDirectSuperTypesOfParameterizedTypeOrClass",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","MergedTrackingToken",83,11,"unwrap",7,"unwrap",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.processor","EventProcessorControlService",83,11,"lambda$setLoadBalancingStrategies$4",3,"infoSupplier",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.util","EventCipher",82,24,"<init>",7,"<init>",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","ReplayToken",81,12,"advancedTo",7,"equals",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter","DeadLetteringEventHandlerInvoker",81,15,"handle",5,"invokeHandlers",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.gateway","CommandGatewayFactory",80,50,"createGateway",12,"createGateway",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore","EmbeddedEventStore$EventConsumer",80,21,"peekPrivateStream",7,"peekPrivateStream",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","EmbeddedEventStore$EventConsumer",80,21,"peekPrivateStream",7,"peekPrivateStream",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon","PersistentStreamConnection$SegmentConnection",77,40,"readMessagesFromSegment",17,"readMessagesFromSegment",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga","AbstractSagaManager",77,22,"handle",6,"handle",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","MultiSourceTrackingToken",76,13,"covers",6,"covers",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jpa","DeadLetterEventEntry",76,28,"equals",15,"equals",""
"axon-test-4.10.0","org.axonframework.test.deadline","StubDeadlineManager",75,9,"advanceTimeTo",4,"advanceToNextTrigger",""
"axon-messaging-4.10.0","org.axonframework.common.jdbc","JdbcUtils",74,15,"executeQuery",6,"executeQuery",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","GapAwareTrackingToken",74,10,"advanceTo",7,"covers",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc","JdbcSequencedDeadLetterQueue$Builder",74,10,"validate",3,"validate",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc","DeadLetterSchema",74,26,"<init>",1,"deadLetterFields",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jpa","JpaEventStorageEngine$Builder",74,6,"<init>",2,"lambda$lowestGlobalSequence$0",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","JpaEventStorageEngine$Builder",74,6,"<init>",2,"lambda$assertPositive$1",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository","AnnotatedSagaRepository",73,12,"doCreateInstance",3,"doLoad",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","TrackerStatus",72,19,"split",8,"equals",""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling","EventPublisher",71,14,"processPublication",7,"performCommit",""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation","AnnotatedMessageHandlingMember",71,23,"<init>",14,"handle",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon","PersistentStreamConnection",71,13,"<init>",2,"segmentClosed",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jpa","SQLErrorCodesResolver",71,16,"loadKeyViolationCodes",8,"loadKeyViolationCodes",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","SQLErrorCodesResolver",71,16,"loadKeyViolationCodes",8,"loadKeyViolationCodes",""
"axon-test-4.10.0","org.axonframework.test.server","AxonServerContainer",71,14,"equals",12,"equals",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.inmemory","InMemoryEventStorageEngine",70,9,"createTokenAt",3,"lambda$readEvents$5",""
"axon-modelling-4.10.0","org.axonframework.modelling.command","LockingRepository",70,13,"doLoadOrCreate",4,"doSave",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed","DistributedCommandBus",69,23,"dispatch",7,"dispatch",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.command","AxonServerCommandBus$Builder",69,10,"<init>",2,"lambda$new$1",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc","EventSchema$Builder",69,15,"<init>",1,"build",""
"axon-messaging-4.10.0","org.axonframework.common.annotation","AnnotationUtils",68,12,"collectAttributes",8,"collectAttributes",""
"axon-messaging-4.10.0","org.axonframework.deadline.quartz","DeadlineJob",68,44,"execute",11,"execute",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.legacyjpa","JpaDeadLetter",68,20,"equals",11,"equals",""
"axon-messaging-4.10.0","org.axonframework.commandhandling","SimpleCommandBus",67,12,"<init>",3,"lambda$subscribe$3",""
"axon-messaging-4.10.0","org.axonframework.eventhandling","Segment",67,10,"splitBalanced",6,"equals",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jpa","JpaDeadLetter",67,20,"equals",11,"equals",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","Coordinator$Builder",67,9,"<init>",1,"access$700",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore","EmbeddedEventStore$EventProducer",67,9,"lambda$fetchData$0",4,"trimCache",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","EmbeddedEventStore$EventProducer",67,9,"lambda$fetchData$0",4,"trimCache",""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork","BatchingUnitOfWork",66,32,"executeWithResult",11,"executeWithResult",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query","QuerySerializer",66,17,"serializeResponse",3,"serializeResponse",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query","AxonServerQueryBus$Builder",66,8,"<init>",1,"instructionAckSource",""
"axon-test-4.10.0","org.axonframework.test.server","AxonServerContainerUtils",66,15,"initCluster",6,"waitForContextsCondition",""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling","CommandHandlerInvoker$DisruptorRepository",65,19,"load",6,"load",""
"axon-messaging-4.10.0","org.axonframework.queryhandling","DefaultQueryGateway",64,8,"getSubscriptionQueryResult",3,"lambda$query$2",""
"axon-messaging-4.10.0","org.axonframework.messaging","MetaData",63,7,"mergedWith",4,"from",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing","EventSourcingRepository$Builder",63,7,"validate",2,"build",""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed","ConsistentHash",62,7,"<init>",4,"equals",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jpa","JpaSequencedDeadLetterQueue$Builder",62,9,"<init>",1,"maxSequences",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.legacyjpa","JpaSequencedDeadLetterQueue$Builder",62,9,"<init>",1,"access$200",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon","EventBuffer",62,15,"hasNextAvailable",8,"hasNextAvailable",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.axon","AxonServerEventStore$Builder",62,17,"buildStorageEngine",3,"buildStorageEngine",""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot.autoconfig","AxonTracingAutoConfiguration",62,7,"eventProcessorSpanFactory",1,"metadataSpanAttributesProvider",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.quartz","QuartzEventScheduler",61,12,"<init>",6,"cancelSchedule",""
"axon-test-4.10.0","org.axonframework.test.matchers","DeepEqualsMatcher",60,21,"matchingFields",8,"matchingFields",""
"axon-messaging-4.10.0","org.axonframework.deadline","SimpleDeadlineManager",59,8,"<init>",3,"lambda$null$1",""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter","GenericDeadLetter",59,11,"equals",10,"equals",""
"axon-configuration-4.10.0","org.axonframework.config","MessageMonitorFactoryBuilder",59,13,"getFactoryForType",7,"getFactoryForType",""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing","EventSourcedAggregate",58,7,"lambda$initializeState$0",6,"publish",""
"axon-modelling-4.10.0","org.axonframework.modelling.command","GenericJpaRepository$Builder",58,5,"<init>",1,"spanFactory",""
"axon-modelling-4.10.0","org.axonframework.modelling.command.legacyjpa","GenericJpaRepository$Builder",58,5,"<init>",1,"spanFactory",""
