"communityId","artifactName","packageCount","packageNames","Source Cypher File: Community_Detection/Which_package_community_spans_several_artifacts_and_how_are_the_packages_distributed.cypher"
0,"axon-messaging-4.10.0",2,"java,lifecycle",""
0,"axon-server-connector-4.10.0",11,"connector,util,heartbeat,source,checker,query,subscription,processor,command,axon",""
1,"axon-disruptor-4.10.0",1,"commandhandling",""
1,"axon-eventsourcing-4.10.0",2,"eventsourcing,conflictresolution",""
1,"axon-messaging-4.10.0",14,"commandhandling,callbacks,distributed,commandfilter,gateway,common,annotation,caching,digest,lock,property",""
1,"axon-modelling-4.10.0",3,"command,inspection,legacyjpa",""
3,"axon-modelling-4.10.0",1,"inmemory",""
3,"axon-test-4.10.0",7,"test,aggregate,matchers,saga,utils,deadline,eventscheduler",""
4,"axon-messaging-4.10.0",15,"deadline,dbscheduler,jobrunr,quartz,interceptors,replay,messaging,correlation,legacyvalidation,responsetypes,unitofwork,queryhandling,registration,tracing",""
4,"axon-tracing-opentelemetry-4.10.0",1,"opentelemetry",""
5,"axon-configuration-4.10.0",1,"config",""
5,"axon-eventsourcing-4.10.0",7,"eventstore,inmemory,jdbc,statements,jpa,legacyjpa,snapshotting",""
5,"axon-messaging-4.10.0",10,"io,stream,transaction,eventhandling,async,deadletter,gateway,pooled,monitoring,util",""
6,"axon-spring-boot-autoconfigure-4.10.0",1,"connection",""
6,"axon-test-4.10.0",1,"server",""
8,"axon-messaging-4.10.0",11,"scheduling,dbscheduler,jobrunr,quartz,serialization,converters,json,upcasting,event,xml,attributes",""
8,"axon-spring-boot-autoconfigure-4.10.0",8,"actuator,axonserver,springboot,util,legacyjpa,jpa,autoconfig",""
