"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.test.FixtureResourceParameterResolverFactory","FixtureResourceParameterResolverFactory",0,"4,7,80",0,"4,7,11,14",,0,0,4,62,,4,""
"org.axonframework.test.aggregate.StubAggregateLifecycle","StubAggregateLifecycle",2,"14,111,75",2,"14,163,5,8",,0,3,6,15,3,9,""
"org.axonframework.test.aggregate.StubAggregateLifecycleExtension","StubAggregateLifecycleExtension",2,"14,111,75",2,"14,163,5,8",,0,3,1,32,,1,""
"org.axonframework.test.aggregate.ResultValidatorImpl","ResultValidatorImpl",6,"26,139,139",5,"26,197,6,13",,0,5,9,72,1,18,""
"org.axonframework.test.aggregate.Reporter","Reporter",6,"23,139,139",5,"32,197,6,13",,0,10,3,59,1,2,""
"org.axonframework.test.matchers.FieldFilter","FieldFilter",2,"66,111,75",5,"139,197,6,13",,0,5,7,33,18,,""
"org.axonframework.test.deadline.DeadlineManagerValidator","DeadlineManagerValidator",6,"139,139,139",5,"139,197,6,13",,0,12,7,91,2,8,""
"org.axonframework.test.deadline.StubDeadlineManager","StubDeadlineManager",6,"25,139,139",5,"34,197,6,13",,0,11,10,89,5,14,""
"org.axonframework.test.matchers.Matchers","Matchers",6,"139,139,139",5,"139,197,6,13",,0,12,7,54,5,17,""
"org.axonframework.test.matchers.PayloadMatcher","PayloadMatcher",6,"26,139,139",5,"26,197,6,13",,0,5,3,88,2,1,""
"org.axonframework.test.matchers.MapEntryMatcher","MapEntryMatcher",6,"26,139,139",5,"26,197,6,13",,0,5,1,69,1,2,""
"org.axonframework.test.FixtureExecutionException","FixtureExecutionException",2,"66,111,75",5,"99,197,6,13",,0,5,5,45,7,1,""
"org.axonframework.test.aggregate.ResultValidator","ResultValidator",6,"26,139,139",5,"26,197,6,13",,0,5,5,3,3,3,""
"org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository","AggregateTestFixture$CreationalRepository",2,"66,111,75",5,"99,197,6,13",,0,5,9,97,2,9,""
"org.axonframework.test.aggregate.AggregateTestFixture$1","AggregateTestFixture$1",2,"66,111,75",5,"99,197,6,13",,0,5,5,39,5,1,""
"org.axonframework.test.aggregate.AggregateTestFixture","AggregateTestFixture",2,"66,111,75",5,"99,197,6,13",,0,5,10,65,4,64,""
"org.axonframework.test.aggregate.AggregateTestFixture$ComparationEntry","AggregateTestFixture$ComparationEntry",2,"66,111,75",5,"99,197,6,13",,0,5,1,92,1,,""
"org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository","AggregateTestFixture$InMemoryRepository",2,"111,111,75",2,"111,163,5,8",,0,5,10,70,1,15,""
"org.axonframework.test.aggregate.StubAggregateLifecycle$1","StubAggregateLifecycle$1",2,"14,111,75",2,"14,163,5,8",,0,3,4,95,1,3,""
"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore","AggregateTestFixture$RecordingEventStore",2,"66,111,75",8,"99,182,16,6",,0,5,10,77,1,16,""
"org.axonframework.test.AxonAssertionError","AxonAssertionError",6,"23,139,139",5,"32,197,6,13",,0,10,5,45,8,,""
"org.axonframework.test.aggregate.FixtureConfiguration","FixtureConfiguration",2,"66,111,75",5,"99,197,6,13",,0,5,10,22,1,17,""
"org.axonframework.test.aggregate.TestExecutor","TestExecutor",2,"66,111,75",5,"99,197,6,13",,0,5,3,57,2,1,""
"org.axonframework.test.aggregate.AggregateTestFixture$DefaultRepositoryProvider","AggregateTestFixture$DefaultRepositoryProvider",2,"66,111,75",5,"99,197,6,13",,0,5,5,50,1,5,""
"org.axonframework.test.aggregate.AggregateTestFixture$ExecutionExceptionAwareCallback","AggregateTestFixture$ExecutionExceptionAwareCallback",2,"66,111,75",5,"99,197,6,13",,0,5,5,76,1,5,""
"org.axonframework.test.aggregate.AggregateTestFixture$IdentifierValidatingRepository","AggregateTestFixture$IdentifierValidatingRepository",2,"66,111,75",2,"99,163,5,8",,0,5,8,60,1,8,""
"org.axonframework.test.matchers.IgnoreField","IgnoreField",2,"66,111,75",5,"99,197,6,13",,0,5,4,1,2,2,""
"org.axonframework.test.matchers.MatchAllFieldFilter","MatchAllFieldFilter",2,"66,111,75",5,"99,197,6,13",,0,5,2,0,1,1,""
