"localClusteringCoefficient","memberCount","memberNameExamples","Source Cypher File: Community_Detection/Community_Detection_10d_LocalClusteringCoefficient_Stream_Aggregated.cypher"
1,155,"org.axonframework.test.matchers.PayloadMatcher,org.axonframework.test.matchers.PayloadsMatcher,org.axonframework.test.matchers.MatchAllFieldFilter,org.axonframework.test.saga.SagaTestFixture$1,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$1,org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition$1,org.axonframework.modelling.command.inspection.AggregateMetaModelFactory,org.axonframework.modelling.command.TargetAggregateVersion,org.axonframework.modelling.command.ForwardNone",""
0.9,6,"org.axonframework.messaging.annotation.ClasspathHandlerEnhancerDefinition,org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterJdbcConverter,org.axonframework.eventhandling.pooled.WorkPackage$ProcessingEntry,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$1,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$1",""
0.87,2,"org.axonframework.queryhandling.DefaultQueryUpdateEmitterSpanFactory$Builder,org.axonframework.queryhandling.GenericSubscriptionQueryMessage",""
0.86,2,"org.axonframework.modelling.command.inspection.AnnotatedAggregate$LazyIdentifierDomainEventMessage,org.axonframework.config.MessageMonitorFactory",""
0.83,17,"org.axonframework.test.matchers.AllFieldsFilter,org.axonframework.test.saga.WhenAggregateEventPublisher,org.axonframework.test.saga.GivenAggregateEventPublisher,org.axonframework.modelling.saga.SagaInitializationPolicy,org.axonframework.eventhandling.DirectEventProcessingStrategy,org.axonframework.config.EventProcessingModule$ProcessingGroupSelector,org.axonframework.config.EventProcessingModule$InstanceProcessingGroupSelector,org.axonframework.config.EventProcessingModule$TypeProcessingGroupSelector,org.axonframework.config.EventProcessingModule$InstanceToTypeProcessingGroupSelectorAdapter",""
0.81,2,"org.axonframework.serialization.UnknownSerializedType,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventProducer",""
0.8,9,"org.axonframework.test.aggregate.AggregateTestFixture$DefaultRepositoryProvider,org.axonframework.test.saga.SagaTestFixture$StubAwareCommandGatewayFactory$Builder,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler$Builder,org.axonframework.queryhandling.DefaultQueryBusSpanFactory$Builder,org.axonframework.config.EventProcessingModule$1,org.axonframework.commandhandling.gateway.CommandGatewayFactory$CompositeCallback,org.axonframework.messaging.deadletter.ShouldEnqueue,org.axonframework.eventhandling.pooled.Coordinator$EventFilter,org.axonframework.eventhandling.pooled.WorkPackage$EventFilter",""
0.76,3,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Node,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventProducer,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$Node",""
0.73,3,"org.axonframework.commandhandling.DefaultCommandBusSpanFactory$Builder,org.axonframework.commandhandling.AsynchronousCommandBus,org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter",""
0.7,11,"org.axonframework.test.saga.ContinuedGivenState,org.axonframework.test.saga.RecordingListenerInvocationErrorHandler,org.axonframework.modelling.command.DefaultRepositorySpanFactory$Builder,org.axonframework.modelling.saga.DefaultSagaManagerSpanFactory$Builder,org.axonframework.eventhandling.DefaultEventProcessorSpanFactory$Builder,org.axonframework.eventhandling.DefaultEventBusSpanFactory$Builder,org.axonframework.eventsourcing.DefaultSnapshotterSpanFactory$Builder,org.axonframework.messaging.deadletter.SequencedDeadLetterProcessor,org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback",""
0.67,85,"org.axonframework.test.aggregate.StubAggregateLifecycle$1,org.axonframework.test.deadline.ScheduledDeadlineInfo,org.axonframework.test.deadline.DeadlineConsumer,org.axonframework.test.aggregate.TestExecutor,org.axonframework.test.matchers.IgnoreField,org.axonframework.test.saga.SagaTestFixture$ReturnResultFromStub,org.axonframework.test.eventscheduler.ScheduledItem,org.axonframework.test.utils.DefaultCallbackBehavior,org.axonframework.test.saga.SagaTestFixture$WrappingResourceInjector",""
0.62,1,"org.axonframework.eventhandling.MultiStreamableMessageSource$IdentifiedStreamableMessageSource",""
0.61,3,"org.axonframework.deadline.DefaultDeadlineManagerSpanFactory$Builder,org.axonframework.messaging.unitofwork.MessageProcessingContext,org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$EventConsumer",""
0.6,20,"org.axonframework.test.saga.WhenState,org.axonframework.test.eventscheduler.StubScheduleToken,org.axonframework.modelling.command.inspection.ChildEntity,org.axonframework.modelling.command.DefaultRepositorySpanFactory,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.eventsourcing.DefaultSnapshotterSpanFactory,org.axonframework.eventhandling.async.SequentialPerAggregatePolicy,org.axonframework.commandhandling.callbacks.NoOpCallback,org.axonframework.commandhandling.FailingDuplicateCommandHandlerResolver",""
0.58,1,"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$EventConsumer",""
0.57,6,"org.axonframework.config.ModuleConfiguration,org.axonframework.config.MessageMonitorFactoryBuilder,org.axonframework.commandhandling.MonitorAwareCallback,org.axonframework.eventhandling.deadletter.jdbc.DeadLetterStatementFactory,org.axonframework.eventhandling.pooled.ClaimTask,org.axonframework.eventhandling.pooled.SplitTask",""
0.56,3,"org.axonframework.messaging.deadletter.EnqueuePolicy,org.axonframework.eventhandling.GenericTrackedEventMessage,org.axonframework.queryhandling.GenericStreamingQueryMessage",""
0.55,1,"org.axonframework.eventhandling.GenericTrackedDomainEventMessage",""
0.54,1,"org.axonframework.queryhandling.QueryBusSpanFactory",""
0.53,17,"org.axonframework.test.aggregate.ResultValidator,org.axonframework.test.saga.SagaTestFixture$StubAwareCommandGatewayFactory,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateConstructorCommandHandler,org.axonframework.queryhandling.DefaultQueryUpdateEmitterSpanFactory,org.axonframework.queryhandling.LoggingQueryInvocationErrorHandler,org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore$Builder,org.axonframework.commandhandling.DefaultCommandBusSpanFactory,org.axonframework.commandhandling.callbacks.LoggingCallback,org.axonframework.common.caching.AbstractCacheAdapter",""
0.52,3,"org.axonframework.eventhandling.LoggingErrorHandler,org.axonframework.messaging.interceptors.CorrelationDataInterceptor,org.axonframework.messaging.annotation.AnnotatedHandlerInspector$ChainedMessageHandlerInterceptorMember",""
0.51,3,"org.axonframework.config.SagaConfiguration,org.axonframework.serialization.LazyDeserializingObject,org.axonframework.eventsourcing.eventstore.AbstractEventStore$Builder",""
0.5,64,"org.axonframework.test.matchers.EqualFieldsMatcher,org.axonframework.test.aggregate.AggregateTestFixture$1,org.axonframework.messaging.annotation.MultiHandlerEnhancerDefinition,org.axonframework.test.saga.RepositoryContentValidator,org.axonframework.modelling.saga.SagaCreationPolicy,org.axonframework.commandhandling.CommandMessageHandler,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.inspection.ForwardingCommandMessageHandlingMember,org.axonframework.modelling.command.inspection.AnnotatedChildEntity",""
0.49,3,"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback,org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler$Builder,org.axonframework.queryhandling.GenericQueryMessage",""
0.48,4,"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder,org.axonframework.eventhandling.TrackedDomainEventData,org.axonframework.messaging.interceptors.TransactionManagingInterceptor,org.axonframework.queryhandling.SubscriptionQueryResult",""
0.47,17,"org.axonframework.messaging.annotation.MultiHandlerDefinition,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.config.AggregateConfiguration,org.axonframework.eventsourcing.SnapshotterSpanFactory,org.axonframework.eventhandling.gateway.DefaultEventGateway$Builder,org.axonframework.commandhandling.DuplicateCommandHandlerResolution,org.axonframework.eventhandling.replay.ReplayContextParameterResolverFactory$ReplayContextParameterResolver,org.axonframework.commandhandling.distributed.AbstractRoutingStrategy,org.axonframework.commandhandling.gateway.CommandGatewayFactory$GatewayInvocationHandler",""
0.46,4,"org.axonframework.test.saga.FixtureExecutionResult,org.axonframework.eventhandling.pooled.MergeTask,org.axonframework.queryhandling.QueryResponseMessage,org.axonframework.eventsourcing.eventstore.SequenceEventStorageEngine",""
0.45,2,"org.axonframework.config.SagaConfigurer,org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$Builder",""
0.44,8,"org.axonframework.queryhandling.DefaultQueryBusSpanFactory,org.axonframework.eventhandling.EventBusSpanFactory,org.axonframework.messaging.MessageDecorator,org.axonframework.commandhandling.distributed.CommandBusConnector,org.axonframework.commandhandling.gateway.CommandGatewayFactory$GatewayInvocationHandler$Builder,org.axonframework.eventhandling.WrappedToken,org.axonframework.messaging.deadletter.GenericDeadLetter,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry",""
0.43,11,"org.axonframework.eventhandling.TrackingEventStream,org.axonframework.test.saga.SagaTestFixture$AggregateEventPublisherImpl,org.axonframework.modelling.saga.AssociationResolver,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AlwaysCreateAggregateCommandHandler,org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory$InspectedSagaModel,org.axonframework.modelling.saga.repository.CachingSagaStore,org.axonframework.queryhandling.DefaultQueryGateway$Builder,org.axonframework.serialization.xml.XStreamSerializer$Builder,org.axonframework.lifecycle.Lifecycle$LifecycleHandler",""
0.42,13,"org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCommandHandler,org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.eventhandling.DefaultEventProcessorSpanFactory,org.axonframework.eventhandling.EventProcessorSpanFactory,org.axonframework.eventsourcing.AggregateCacheEntry,org.axonframework.commandhandling.distributed.DispatchMessage,org.axonframework.commandhandling.gateway.AbstractCommandGateway$Builder,org.axonframework.eventhandling.TrackedEventData,org.axonframework.eventhandling.MultiStreamableMessageSource",""
0.41,2,"org.axonframework.queryhandling.SimpleQueryUpdateEmitter$Builder,org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder",""
0.4,28,"org.axonframework.test.utils.CallbackBehavior,org.axonframework.eventhandling.SimpleEventBus,org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember,org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition$MethodCommandHandlerInterceptorHandlingMember,org.axonframework.messaging.Scope,org.axonframework.common.lock.NullLockFactory,org.axonframework.modelling.command.LockAwareAggregate,org.axonframework.eventhandling.gateway.DefaultEventGateway,org.axonframework.eventhandling.TrackingTokenParameterResolverFactory",""
0.39,3,"org.axonframework.eventhandling.SimpleEventBus$Builder,org.axonframework.modelling.saga.DefaultSagaManagerSpanFactory,org.axonframework.commandhandling.distributed.UnresolvedRoutingKeyPolicy",""
0.38,15,"org.axonframework.messaging.annotation.MultiParameterResolverFactory,org.axonframework.eventsourcing.GenericAggregateFactory,org.axonframework.modelling.command.CommandTargetResolver,org.axonframework.commandhandling.gateway.DefaultCommandGateway$Builder,org.axonframework.modelling.command.inspection.AggregateMemberAnnotatedChildEntityDefinition,org.axonframework.modelling.command.AnnotationCommandTargetResolver$Builder,org.axonframework.modelling.saga.repository.LockingSagaRepository$Builder,org.axonframework.eventhandling.TrackingEventProcessorConfiguration,org.axonframework.eventhandling.SimpleEventHandlerInvoker",""
0.37,1,"org.axonframework.eventhandling.EventHandlerInvoker",""
0.36,13,"org.axonframework.test.deadline.DeadlineManagerValidator,org.axonframework.modelling.command.AggregateScopeDescriptor,org.axonframework.modelling.saga.SagaMethodMessageHandlingMember,org.axonframework.modelling.command.AggregateAnnotationCommandHandler$AggregateCreateOrUpdateCommandHandler,org.axonframework.config.Component,org.axonframework.deadline.DefaultDeadlineManagerSpanFactory,org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$Builder,org.axonframework.messaging.deadletter.Decisions,org.axonframework.serialization.AbstractXStreamSerializer$Builder",""
0.35,8,"org.axonframework.commandhandling.GenericCommandMessage,org.axonframework.modelling.command.LockingRepository$Builder,org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory,org.axonframework.eventsourcing.snapshotting.SnapshotFilter,org.axonframework.messaging.correlation.CorrelationDataProvider,org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine$Builder,org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler,org.axonframework.eventhandling.TrackerStatus",""
0.34,2,"org.axonframework.messaging.GenericResultMessage,org.axonframework.serialization.upcasting.event.InitialEventRepresentation",""
