"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-configuration-4.10.0","org.axonframework.config",9,41,162,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing",9,41,162,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore",9,30,162,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection",9,26,162,1,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.command",9,11,162,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jpa",9,7,162,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.legacyjpa",9,6,162,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting",9,6,162,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.correlation",9,4,162,1,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.event.util",9,3,162,1,""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.command",8,11,155,1,""
"axon-messaging-4.10.0","org.axonframework.util",8,3,155,1,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.gateway",7,34,152,1,""
"axon-messaging-4.10.0","org.axonframework.common",7,27,152,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection",7,26,152,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled",7,22,152,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter",7,19,152,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository",7,15,152,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork",7,14,152,1,""
"axon-messaging-4.10.0","org.axonframework.deadline",7,13,152,1,""
"axon-messaging-4.10.0","org.axonframework.serialization.upcasting.event",7,12,152,1,""
"axon-messaging-4.10.0","org.axonframework.lifecycle",7,9,152,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.interceptors",7,8,152,1,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.gateway",7,5,152,1,""
"axon-messaging-4.10.0","org.axonframework.util",7,3,152,1,""
"axon-test-4.10.0","org.axonframework.test.server",7,2,152,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation",2,54,131,1,""
"axon-messaging-4.10.0","org.axonframework.messaging",2,34,131,1,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection",2,26,131,1,""
"axon-messaging-4.10.0","org.axonframework.common",0,27,119,1,""
"axon-test-4.10.0","org.axonframework.test.matchers",0,24,119,1,""
"axon-tracing-opentelemetry-4.10.0","org.axonframework.tracing.opentelemetry",0,5,119,1,""
"axon-messaging-4.10.0","org.axonframework.common.transaction",0,4,119,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.correlation",0,4,119,1,""
"axon-messaging-4.10.0","org.axonframework.messaging.interceptors.legacyvalidation",0,2,119,1,""
"axon-messaging-4.10.0","org.axonframework.queryhandling",5,47,116,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing",5,41,116,1,""
"axon-test-4.10.0","org.axonframework.test.matchers",5,24,116,1,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jpa",5,6,116,1,""
