"artifactName","numberOfPackages","Source Cypher File: Overview/Number_of_packages_per_artifact.cypher"
"axon-configuration-4.9.0",1,""
"axon-modelling-4.9.0",10,""
"axon-disruptor-4.9.0",1,""
"axon-test-4.9.0",8,""
"axon-eventsourcing-4.9.0",9,""
"axon-messaging-4.9.0",64,""
