"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies"
"org.axonframework.common","common",0.7332338477835939,872,23
"org.axonframework.messaging","messaging",0.48971422800733727,8421,133
"org.axonframework.serialization","serialization",0.2743437923413838,1070,176
"org.axonframework.eventhandling","eventhandling",0.2634207222126054,4380,1551
"org.axonframework.messaging.unitofwork","unitofwork",0.14239536960787924,247,123
"org.axonframework.messaging.annotation","annotation",0.11255130545466364,1024,290
"org.axonframework.commandhandling","commandhandling",0.07325198908623586,1524,642
"org.axonframework.modelling.saga","saga",0.06362978543853127,242,386
"org.axonframework.queryhandling","queryhandling",0.046522816249990516,175,1108
"org.axonframework.eventhandling.tokenstore","tokenstore",0.044512781836676764,69,42
"org.axonframework.common.transaction","transaction",0.04228249681599742,272,6
"org.axonframework.tracing","tracing",0.04069662471533083,170,122
"org.axonframework.modelling.command","command",0.034466000960063616,244,710
"org.axonframework.common.annotation","annotation",0.03209232483037952,21,3
"org.axonframework.common.io","io",0.03172823836605769,10,0
"org.axonframework.eventsourcing.eventstore","eventstore",0.030169287233391535,169,603
"org.axonframework.test","test",0.02984435687205595,16,13
"org.axonframework.monitoring","monitoring",0.02953105545505688,189,21
"org.axonframework.deadline","deadline",0.028963993902045303,159,347
"org.axonframework.util","util",0.027953357012013052,3,6
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.027361764539187382,218,1340
"org.axonframework.common.jdbc","jdbc",0.02649334018037895,49,41
"org.axonframework.messaging.deadletter","deadletter",0.02582305670595219,135,104
"org.axonframework.commandhandling.distributed","distributed",0.025337947148991763,50,603
"org.axonframework.modelling.command.inspection","inspection",0.024195294308839647,77,649
"org.axonframework.common.stream","stream",0.023665624108682608,29,5
"org.axonframework.serialization.upcasting.event","event",0.02177937740166707,38,188
"org.axonframework.messaging.responsetypes","responsetypes",0.020954637343572082,78,65
"org.axonframework.test.matchers","matchers",0.020890523374109793,61,51
"org.axonframework.modelling.saga.metamodel","metamodel",0.020313812559586194,15,53
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.02015391720729576,9,119
"org.axonframework.messaging.correlation","correlation",0.01983935758850654,25,14
"org.axonframework.modelling.saga.repository.jpa","jpa",0.019532096665324267,12,86
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.01941622775501752,25,317
"org.axonframework.eventsourcing","eventsourcing",0.019165227396503143,134,976
"org.axonframework.lifecycle","lifecycle",0.018842567237210076,62,10
"org.axonframework.commandhandling.callbacks","callbacks",0.018315061447480192,8,39
"org.axonframework.eventhandling.scheduling","scheduling",0.01826704882541303,16,2
"org.axonframework.common.lock","lock",0.01799286486955088,46,25
"org.axonframework.messaging.interceptors","interceptors",0.01794448683256107,10,119
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.017942389000993982,30,80
"org.axonframework.common.jpa","jpa",0.01752658470723438,15,4
"org.axonframework.serialization.upcasting","upcasting",0.017437749842183076,11,5
"org.axonframework.common.property","property",0.0166563814005341,23,15
"org.axonframework.eventhandling.async","async",0.016596603070436953,41,76
"org.axonframework.modelling.saga.repository","repository",0.016504205820015463,72,199
"org.axonframework.common.legacyjpa","legacyjpa",0.01633115752129449,14,6
"org.axonframework.test.deadline","deadline",0.01625365836466673,10,138
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.01608758561639739,12,34
"org.axonframework.serialization.xml","xml",0.015955134184200987,17,28
"org.axonframework.eventhandling.replay","replay",0.01581105546780182,12,72
"org.axonframework.commandhandling.gateway","gateway",0.015365874975148224,101,447
"org.axonframework.common.caching","caching",0.015331276059516069,30,40
"org.axonframework.test.eventscheduler","eventscheduler",0.015247053317198436,9,38
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.015217608162252415,23,17
"org.axonframework.test.utils","utils",0.015068387174587805,8,70
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.015067141804412775,9,236
"org.axonframework.eventhandling.deadletter","deadletter",0.014972693819888583,9,275
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.01495419117728813,5,15
"org.axonframework.eventhandling.pooled","pooled",0.014933086600571988,52,1022
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.014909748326274027,15,99
"org.axonframework.queryhandling.registration","registration",0.014746797886621789,9,13
"org.axonframework.common.digest","digest",0.014539155512847889,1,1
"org.axonframework.disruptor.commandhandling","commandhandling",0.014537014407406025,55,1487
"org.axonframework.eventhandling.gateway","gateway",0.014517210797747726,11,52
"org.axonframework.queryhandling.annotation","annotation",0.014457799968772831,4,199
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.014418192749456236,2,25
"org.axonframework.test.aggregate","aggregate",0.014398389139797938,31,2223
"org.axonframework.deadline.annotation","annotation",0.014398389139797938,6,29
"org.axonframework.tracing.attributes","attributes",0.014398389139797938,0,43
"org.axonframework.config","config",0.014398389139797938,115,7942
"org.axonframework.serialization.converters","converters",0.014398389139797938,0,7
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.014398389139797938,1,75
"org.axonframework.eventhandling.interceptors","interceptors",0.014398389139797938,0,28
"org.axonframework.eventhandling.scheduling.java","java",0.014398389139797938,5,76
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.014398389139797938,16,195
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.014398389139797938,13,133
"org.axonframework.deadline.jobrunr","jobrunr",0.014398389139797938,3,348
