"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies"
"org.axonframework.common","common",0.6913599565254037,872,23
"org.axonframework.messaging","messaging",0.47396083999959554,8348,133
"org.axonframework.eventhandling","eventhandling",0.31103953944045776,4342,1557
"org.axonframework.serialization","serialization",0.2753118179319846,1073,155
"org.axonframework.messaging.unitofwork","unitofwork",0.16415785674031264,248,123
"org.axonframework.messaging.annotation","annotation",0.12975753545560828,1006,290
"org.axonframework.commandhandling","commandhandling",0.08836378431718384,1515,642
"org.axonframework.modelling.saga","saga",0.08139377483042887,242,386
"org.axonframework.eventhandling.tokenstore","tokenstore",0.05930533680593011,69,42
"org.axonframework.queryhandling","queryhandling",0.05692873257657076,175,1108
"org.axonframework.tracing","tracing",0.05245043603425134,173,122
"org.axonframework.common.transaction","transaction",0.05058398897973552,276,6
"org.axonframework.modelling.command","command",0.047983808845314356,241,827
"org.axonframework.eventsourcing.eventstore","eventstore",0.04271330232305752,166,603
"org.axonframework.deadline","deadline",0.039597094887115616,159,347
"org.axonframework.common.annotation","annotation",0.039285604108878436,21,3
"org.axonframework.test","test",0.03881526433197251,14,13
"org.axonframework.monitoring","monitoring",0.03877005363835585,189,21
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.03851246241509946,218,1340
"org.axonframework.common.io","io",0.038356920753399894,10,0
"org.axonframework.common.jdbc","jdbc",0.03773701890353359,49,41
"org.axonframework.util","util",0.03681719097609154,3,6
"org.axonframework.messaging.deadletter","deadletter",0.03662048961954353,135,104
"org.axonframework.modelling.command.inspection","inspection",0.03400392883388241,76,649
"org.axonframework.commandhandling.distributed","distributed",0.03298793635433277,50,603
"org.axonframework.common.stream","stream",0.03169998642798873,29,5
"org.axonframework.test.matchers","matchers",0.03065545311197137,57,51
"org.axonframework.serialization.upcasting.event","event",0.029860720386161187,38,188
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.02891126012301768,9,119
"org.axonframework.messaging.responsetypes","responsetypes",0.02877528057981554,73,60
"org.axonframework.modelling.saga.metamodel","metamodel",0.02830733239440569,15,53
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.028022805087421485,25,317
"org.axonframework.modelling.saga.repository.jpa","jpa",0.027870019351047375,12,86
"org.axonframework.eventsourcing","eventsourcing",0.02684260270814964,128,976
"org.axonframework.messaging.correlation","correlation",0.02661707908484031,25,14
"org.axonframework.lifecycle","lifecycle",0.026377990512865015,62,10
"org.axonframework.commandhandling.callbacks","callbacks",0.02602246502650494,8,39
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.025788121360274953,30,80
"org.axonframework.eventhandling.scheduling","scheduling",0.025654530431448195,16,2
"org.axonframework.common.lock","lock",0.025492858457282958,46,25
"org.axonframework.common.jpa","jpa",0.02511199558842756,16,6
"org.axonframework.messaging.interceptors","interceptors",0.024890759268697986,10,119
"org.axonframework.serialization.upcasting","upcasting",0.024762357745003898,11,5
"org.axonframework.common.property","property",0.023713159711762556,23,15
"org.axonframework.common.legacyjpa","legacyjpa",0.023576817042025328,14,6
"org.axonframework.test.deadline","deadline",0.023557091352816223,9,138
"org.axonframework.modelling.saga.repository","repository",0.023515592882940896,72,199
"org.axonframework.eventhandling.async","async",0.0235083989372076,41,76
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.02305481650051034,12,34
"org.axonframework.serialization.xml","xml",0.023024244672812832,17,28
"org.axonframework.eventhandling.replay","replay",0.022575844682172747,12,72
"org.axonframework.commandhandling.gateway","gateway",0.02231766691401501,101,447
"org.axonframework.common.caching","caching",0.02223455965889998,30,40
"org.axonframework.test.eventscheduler","eventscheduler",0.022146537768067274,9,38
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.022071456124163082,23,17
"org.axonframework.test.utils","utils",0.021892299999358367,8,70
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.021883220039047784,9,236
"org.axonframework.eventhandling.deadletter","deadletter",0.021766032572114,9,275
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.021730143197151306,5,15
"org.axonframework.eventhandling.pooled","pooled",0.021708989523464752,52,1022
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.021636278721365913,15,99
"org.axonframework.queryhandling.registration","registration",0.02135422814645993,9,13
"org.axonframework.disruptor.commandhandling","commandhandling",0.021138559036972315,55,1487
"org.axonframework.common.digest","digest",0.021115234044517487,1,1
"org.axonframework.eventhandling.gateway","gateway",0.021110037512647697,11,52
"org.axonframework.queryhandling.annotation","annotation",0.021024472939673827,4,199
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.020967429891024587,2,25
"org.axonframework.test.aggregate","aggregate",0.02093890836669996,19,859
"org.axonframework.deadline.annotation","annotation",0.02093890836669996,6,29
"org.axonframework.tracing.attributes","attributes",0.02093890836669996,0,43
"org.axonframework.config","config",0.02093890836669996,115,7942
"org.axonframework.serialization.converters","converters",0.02093890836669996,0,7
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.02093890836669996,1,75
"org.axonframework.eventhandling.interceptors","interceptors",0.02093890836669996,0,28
"org.axonframework.eventhandling.scheduling.java","java",0.02093890836669996,5,76
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.02093890836669996,16,195
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.02093890836669996,13,133
"org.axonframework.deadline.jobrunr","jobrunr",0.02093890836669996,3,348
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.02093890836669996,3,198
"org.axonframework.serialization.json","json",0.02093890836669996,7,87
