"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_6_Longest_paths_distribution_per_project.cypher"
"react-router-dom","react-router-6.28.0","react-router-6.28.0",false,false,false,1,1,1,1,1,1,1,"./server.tsx -> ./index.tsx","react-router-dom -> react-router-dom","react-router-6.28.0 -> react-router-6.28.0",""
"react-router-dom","react-router-6.28.0","react-router-6.28.0",true,false,false,2,1,1,1,1,1,1,"./server.tsx -> ./index.ts","react-router-dom -> react-router","react-router-6.28.0 -> react-router-6.28.0",""
