"externalModuleName","numberOfInternalModules","sumNumberOfUsedExternalDeclarations","minNumberOfUsedExternalDeclarations","maxNumberOfUsedExternalDeclarations","medNumberOfUsedExternalDeclarations","avgNumberOfUsedExternalDeclarations","stdNumberOfUsedExternalDeclarations","sumNumberOfInternalElements","minNumberOfInternalElements","maxNumberOfInternalElements","medNumberOfInternalElements","avgNumberOfInternalElements","stdNumberOfInternalElements","minNumberOfInternalElementsPercentage","maxNumberOfInternalElementsPercentage","medNumberOfInternalElementsPercentage","avgNumberOfInternalElementsPercentage","stdNumberOfInternalElementsPercentage","internalModuleExamples","Source Cypher File: External_Dependencies/External_module_usage_spread_for_Typescript.cypher"
"@types/react",4,37,1,27,4.5,9.25,12.120918557051139,34,1,24,4.5,8.5,10.535653752852738,25,600,112.5,212.5,263.39134382131846,"react-router,react-router-dom,server.tsx,react-router-native",""
"@types/react-native",1,10,10,10,10,10,0,5,5,5,5,5,0,125,125,125,125,0,"react-router-native",""
"@ungap/url-search-params",1,1,1,1,1,1,0,1,1,1,1,1,0,25,25,25,25,0,"react-router-native",""
