"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",4,35,108,162,4,58,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<FetchersContext> of module <react-router-dom> imports <React.createContext> from external namespace <@types>,<FetchersContext> of module <react-router-dom> imports <React.Context> from external namespace <@types>,<BrowserRouter> of module <react-router-dom> imports <React.useLayoutEffect> from external namespace <@types>",""
"@ungap",1,1,1,2,4,58,"<createSearchParams> of module <react-router-native> imports <url-search-params> from external namespace <@ungap>",""
