"relationshipType","nodesWithThatRelationshipType","nodesWithThatRelationshipTypePercent","Source Cypher File: Overview/Relationship_type_count.cypher"
"CONTAINS_CHANGE",72770,27.736380510971443,""
"MODIFIES",72770,27.736380510971443,""
"UPDATES",48771,18.589130327065938,""
"COMMITTED",19926,7.594820916059048,""
"CREATES",16781,6.396100059840755,""
"HAS_PARENT",10973,4.18237327671966,""
"DELETES",9959,3.7958858528069883,""
"RENAMES",2741,1.044735728742239,""
"HAS_NEW_NAME",1560,0.594596036788724,""
"ON_COMMIT",1076,0.41011880486196606,""
"DEPENDS_ON",962,0.3666675560197132,""
"HAS_KEY",668,0.2546090721633767,""
"HAS_VALUE",668,0.2546090721633767,""
"CONTAINS",589,0.22449811901830669,""
"OF_TYPE",329,0.12539877955351936,""
"EXPORTS",275,0.1048166090492943,""
"REFERENCES",196,0.0747056559042243,""
"DECLARES",185,0.07051299154225253,""
"DECLARES_DEV_DEPENDENCY",169,0.06441457065211177,""
"DECLARES_DEPENDENCY",161,0.061365360207041385,""
"HAS_MEMBER",99,0.03773397925774595,""
"HAS_TYPE_ARGUMENT",92,0.03506592011830936,""
"DECLARES_SCRIPT",91,0.03468476881267557,""
"RESOLVES_TO",80,0.030492104450703796,""
"RETURNS",80,0.030492104450703796,""
"HAS_PARAMETER",70,0.02668059139436582,""
"CONTAINS_VALUE",51,0.01943871658732367,""
"COPIES",43,0.01638950614225329,""
"INITIALIZED_WITH",32,0.012196841780281518,""
"COPY_OF",28,0.010672236557746328,""
"REQUIRES_CONCEPT",28,0.010672236557746328,""
"HAS_HEAD",26,0.009909933946478735,""
"USES",25,0.009528782640844936,""
"INCLUDES_CONCEPT",19,0.007241874807042151,""
"EXTENDS",7,0.002668059139436582,""
"CALLS",6,0.002286907833802785,""
"CONTAINS_PROJECT",6,0.002286907833802785,""
"DECLARES_ENGINE",6,0.002286907833802785,""
"HAS_ARGUMENT",6,0.002286907833802785,""
"HAS_CONFIG",6,0.002286907833802785,""
"HAS_NPM_PACKAGE",6,0.002286907833802785,""
"HAS_ROOT",6,0.002286907833802785,""
"MEMBER",6,0.002286907833802785,""
"PARENT",6,0.002286907833802785,""
"REFERENCED_PROJECTS",5,0.0019057565281689873,""
"CONSTRAINED_BY",4,0.0015246052225351898,""
