"dependencyName","usingPackageCount","dependencyVersionCount","packageNameExamples","dependencyVersionExamples","packageDirectory","Source Cypher File: External_Dependencies/Package_json_dependencies_occurrence.cypher"
"react-dom",24,3,"@remix-run/react-router,search-params,basic,ssr,custom-filter-link,modal,ssr-data-router,auth,lazy-loading-router-provider","^18.2.0,^18.2.0,^18.2.0,^18.2.0","react-router-6.27.0,react-router-6.27.0/examples/search-params,react-router-6.27.0/examples/route-objects,react-router-6.27.0/examples/ssr",""
"react",24,3,"@remix-run/react-router,search-params,basic,ssr,custom-filter-link,modal,ssr-data-router,auth,lazy-loading-router-provider","^18.2.0,^18.2.0,^18.2.0,^18.2.0","react-router-6.27.0,react-router-6.27.0/examples/search-params,react-router-6.27.0/examples/route-objects,react-router-6.27.0/examples/ssr",""
"react-router-dom",23,4,"search-params,basic,ssr,custom-filter-link,modal,ssr-data-router,auth,lazy-loading-router-provider,lazy-loading","^6.15.0,^6.15.0,^6.15.0,^6.15.0","react-router-6.27.0/examples/search-params,react-router-6.27.0/examples/route-objects,react-router-6.27.0/examples/ssr,react-router-6.27.0/examples/custom-filter-link",""
"history",4,2,"@remix-run/react-router,react-router-dom-v5-compat,ssr-data-router,tutorial","^5.3.0,^5.3.0,^5.3.0,^5.2.0","react-router-6.27.0,react-router-6.27.0/packages/react-router-dom-v5-compat,react-router-6.27.0/examples/ssr-data-router,react-router-6.27.0/tutorial",""
"@remix-run/router",4,2,"react-router,react-router-dom,react-router-dom-v5-compat,ssr-data-router","workspace:*,workspace:*,workspace:*,^1.8.0","react-router-6.27.0/packages/react-router,react-router-6.27.0/packages/react-router-dom,react-router-6.27.0/packages/react-router-dom-v5-compat,react-router-6.27.0/examples/ssr-data-router",""
"react-router",3,1,"react-router-dom,react-router-dom-v5-compat,react-router-native","workspace:*,workspace:*,workspace:*","react-router-6.27.0/packages/react-router-dom,react-router-6.27.0/packages/react-router-dom-v5-compat,react-router-6.27.0/packages/react-router-native",""
"express",3,1,"ssr,ssr-data-router,multi-app","^4.18.2,^4.18.2,^4.18.2","react-router-6.27.0/examples/ssr,react-router-6.27.0/examples/ssr-data-router,react-router-6.27.0/examples/multi-app",""
"compression",3,2,"ssr,ssr-data-router,multi-app","1.7.4,1.7.4,^1.7.4","react-router-6.27.0/examples/ssr,react-router-6.27.0/examples/ssr-data-router,react-router-6.27.0/examples/multi-app",""
"cross-env",3,1,"ssr,ssr-data-router,multi-app","^7.0.3,^7.0.3,^7.0.3","react-router-6.27.0/examples/ssr,react-router-6.27.0/examples/ssr-data-router,react-router-6.27.0/examples/multi-app",""
"@reach/dialog",2,1,"modal,modal-route-with-outlet","0.18.0,0.18.0","react-router-6.27.0/examples/modal,react-router-6.27.0/examples/modal-route-with-outlet",""
