"codeUnitName","shortCodeUnitName","propertyName","propertyValue","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.commandhandling","commandhandling","embeddingsFastRandomProjection","-0.25739428,0.21311292,0.27815545,-0.23563239,0.20605615,0.1086537,0.062142886,-0.031322863,-0.08999652,0.24993901,-0.29327333,0.33221203,-0.83944696,0.15384412,0.060307782,-0.13733515,-0.6538886,-0.10095675,0.1856057,0.17115074,-0.3808052,0.7782962,0.061376214,-0.6113358,0.08844659,0.53621864,-0.21799704,-0.35553688,-0.23282976,-0.0641215,-0.29431403,-0.017217092",""
"org.axonframework.commandhandling.callbacks","callbacks","embeddingsFastRandomProjection","-0.32252997,0.07670359,0.4066984,-0.22411601,0.1791549,0.23783316,-0.08535279,-0.23952945,-0.17705512,0.1959239,-0.23893508,0.1511668,-0.7241962,0.19301435,0.0005507469,-0.07486415,-0.56030166,-0.30422723,0.26628718,0.2606971,-0.23073089,0.9507346,0.02722714,-0.65651226,0.26501814,0.44414175,-0.16178413,-0.44818184,-0.27175993,0.07995502,-0.29264826,0.008466722",""
"org.axonframework.commandhandling.distributed","distributed","embeddingsFastRandomProjection","-0.27353466,0.24002409,0.25906807,-0.21505219,0.13953382,0.28477418,-0.1733475,-0.3030818,-0.107955776,0.2439159,-0.431729,0.16407502,-0.8187264,0.20265657,0.014743224,-0.053976156,-0.5295106,-0.31477872,0.18703607,0.1570377,-0.55270976,0.61470175,-0.043735012,-0.51852036,0.03541142,0.46042556,-0.14611697,-0.43257767,-0.08873231,-0.14398785,-0.24237227,-0.026202228",""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter","embeddingsFastRandomProjection","-0.35160837,0.0697652,0.20474033,-0.18003878,0.11337916,0.26493746,-0.16049358,-0.40082157,-0.22281475,0.16375177,-0.2758716,0.021169469,-0.8993361,0.24069709,-0.12709852,0.11265143,-0.42520502,-0.45971894,0.19869453,0.17954493,-0.33825365,0.63644,-0.075375475,-0.52421117,0.24868646,0.30887586,-0.07177475,-0.43069595,-0.22767699,-0.14704189,-0.2361942,0.0627425",""
"org.axonframework.commandhandling.gateway","gateway","embeddingsFastRandomProjection","-0.2869348,0.23395357,0.39839825,-0.13636321,0.23923028,0.34891996,-0.08104288,-0.2042153,-0.005005438,0.26094344,-0.16201341,0.15889563,-0.67006475,0.1853677,0.111690365,-0.078103416,-0.6153626,-0.17781171,0.23400745,0.31976408,-0.36845517,0.89595604,0.08793826,-0.59516394,0.057971407,0.47535676,-0.25537056,-0.4590723,-0.17092147,0.0377628,-0.3208987,0.021469913",""
"org.axonframework.common","common","embeddingsFastRandomProjection","-0.2135154,0.36618477,0.24454966,-0.2556041,0.09260814,0.044359248,-0.047524005,0.06594721,0.12698302,0.37451535,-0.30642435,0.27226287,-0.86506253,0.18127726,0.060650334,-0.31947058,-0.728547,-0.01641845,0.11223573,0.35918587,-0.65184987,0.68879354,-0.023819258,-0.22309661,-0.32073653,0.5506127,-0.15278487,-0.43342388,-0.0377768,-0.037997626,-0.27315098,0.06547536",""
"org.axonframework.common.annotation","annotation","embeddingsFastRandomProjection","-0.26289776,0.36005148,0.3405621,-0.4354464,0.20540756,-0.054976672,0.005194269,0.052554555,-0.1320908,0.3710521,-0.16142172,0.34284395,-0.8094695,0.0033018216,-0.021812856,-0.29046986,-0.48169577,-0.079083785,0.0912033,0.31193778,-0.2951662,0.7957216,0.2587037,-0.4326137,0.009618608,0.5143004,-0.12248298,-0.6146654,0.2520917,-0.1218759,-0.46626025,-0.024749255",""
"org.axonframework.common.caching","caching","embeddingsFastRandomProjection","-0.16692159,0.4304612,0.2382859,-0.26223916,0.06200983,0.031272657,-0.14785509,0.1355739,-0.30697477,0.34835607,-0.12330867,0.26863676,-0.7954768,-0.017953083,0.05354502,-0.13150272,-0.5271243,0.024038667,0.06420201,0.33564,-0.28720835,0.79304546,0.18260401,-0.30028993,-0.040404357,0.6408263,-0.141227,-0.48746848,0.032710724,-0.16197422,-0.56424373,0.013905771",""
"org.axonframework.common.digest","digest","embeddingsFastRandomProjection","-0.2759878,0.38306218,0.33421728,-0.21846947,0.1558002,0.07822805,-0.1441296,-0.09816237,-0.042117536,0.24358717,-0.3181644,0.27421248,-0.898782,0.24219085,0.0334118,-0.15912333,-0.5887349,-0.27380478,0.12183188,0.24393508,-0.59731007,0.7295879,-0.12766802,-0.3686077,-0.19392776,0.42488045,-0.059650056,-0.33666068,-0.22919594,-0.089738354,-0.29819763,-0.05220165",""
"org.axonframework.common.io","io","embeddingsFastRandomProjection","-0.28717595,0.37799627,0.25952515,0.049936898,-0.108479016,0.15199059,0.10208088,0.025506826,0.3561056,0.20989148,-0.121411085,0.10022523,-0.9409261,0.16671833,0.2438205,-0.20492049,-0.855678,-0.11058592,0.009236057,0.14935693,-0.6497624,0.6142662,0.19836141,-0.07245501,-0.5982381,0.2899788,-0.1884951,-0.12804127,-0.13334164,-0.10636778,-0.3733569,0.04313293",""
