"externalNamespaceName","numberOfExternalCallerModules","numberOfExternalCallerElements","numberOfExternalDeclarationCalls","numberOfExternalDeclarationCallsWeighted","allModules","allInternalElements","exampleStories","Source Cypher File: External_Dependencies/External_namespace_usage_overall_for_Typescript.cypher"
"@types",4,36,110,164,4,57,"<mapRouteProperties> of module <react-router> imports <React.createElement> from external namespace <@types>,<RouterProvider> of module <react-router-dom> imports <React.useMemo> from external namespace <@types>,<RouterProvider> of module <react-router-dom> imports <React.MutableRefObject.current> from external namespace <@types>,<RouterProvider> of module <react-router-dom> imports <React.useState> from external namespace <@types>",""
"@ungap",1,1,1,2,4,57,"<createSearchParams> of module <react-router-native> imports <default> from external namespace <@ungap>",""
