"projectName","fullQualifiedModuleName","moduleName","abstractness","numberAbstractTypes","numberTypes","Source Cypher File: Metrics/Calculate_and_set_Abstractness_for_Typescript.cypher"
"custom-filter-link","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/custom-filter-link/src/snkrs.ts","snkrs",0,0,4,""
"tutorial","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/tutorial/src/data.js","data",0,0,3,""
"modal","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal/src/images.ts","images",0,0,2,""
"modal-route-with-outlet","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal-route-with-outlet/src/images.ts","images",0,0,2,""
"auth-router-provider","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/auth.ts","auth",0,0,1,""
"auth","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth/src/auth.ts","auth",0,0,1,""
"tutorial","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/tutorial/src/App.jsx","App",0,0,1,""
"custom-filter-link","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/custom-filter-link/src/vite-env.d.ts","vite-env",0,0,0,""
"modal","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal/src/vite-env.d.ts","vite-env",0,0,0,""
"ssr-data-router","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/ssr-data-router/src/vite-env.d.ts","vite-env",0,0,0,""
"auth-router-provider","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/main.tsx","main",0,0,0,""
"auth-router-provider","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/vite-env.d.ts","vite-env",0,0,0,""
"lazy-loading-router-provider","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/lazy-loading-router-provider/src/main.tsx","main",0,0,0,""
