"fullQualifiedModuleName","sourceName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentAbstractTypes","outgoingDependentAbstractTypeWeight","outgoingDependentModules","outgoingDependentPackages","Source Cypher File: Metrics/Get_Outgoing_Typescript_Module_Dependencies.cypher"
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/index.tsx","react-router-dom",312,218770,0,0,4,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/server.tsx","server",78,34788,0,0,2,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-native/index.tsx","react-router-native",48,25768,0,0,4,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router/index.ts","react-router",34,12325,0,0,3,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/lazy-loading/src/pages/About.tsx","About",1,576,0,0,1,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/tutorial/src/App.jsx","App",1,81,0,0,1,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/auth.ts","auth",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth/src/auth.ts","auth",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/basic-data-router/src/main.tsx","main",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/basic-data-router/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/basic/src/vite-env.d.ts","vite-env",0,0,0,0,0,0,""
