"externalSecondLevelPackageName","numberOfExternalCallerPackages","numberOfExternalCallerTypes","numberOfExternalTypeCalls","numberOfExternalTypeCallsWeighted","allPackages","allTypes","tenExternalTypeNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_overall.cypher"
"javax.annotation",63,310,342,1602,93,1224,"Nonnull,Nullable,PreDestroy",""
"org.slf4j",53,117,208,608,93,1224,"Logger,LoggerFactory",""
"com.fasterxml",14,30,85,196,93,1224,"JsonProperty,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonGetter,JsonIgnore,JsonTypeInfo$As,JsonProcessingException,ObjectWriter",""
"javax.persistence",13,24,78,340,93,1224,"LockModeType,EntityManager,MappedSuperclass,Column,Basic,Id,Lob,Entity,Index",""
"jakarta.persistence",8,22,69,328,93,1224,"EntityManager,LockModeType,EntityNotFoundException,TypedQuery,EntityManagerFactory,Query,Column,Id,Entity",""
"org.hamcrest",5,27,61,498,93,1224,"Matcher,CoreMatchers,Description,StringDescription,TypeSafeMatcher,BaseMatcher,Matchers",""
"com.github",2,6,19,120,93,1224,"Task,Scheduler,Tasks$OneTimeTaskBuilder,TaskWithDataDescriptor,ExecutionContext,SchedulerState,TaskInstance,ScheduledExecution,TaskInstanceId",""
"com.thoughtworks",2,8,31,135,93,1224,"UnmarshallingContext,MarshallingContext,Mapper,MapConverter,HierarchicalStreamReader,HierarchicalStreamWriter,XStream,CannotResolveClassException,CollectionConverter",""
"org.jobrunr",2,4,8,39,93,1224,"JobId,JobScheduler,JobBuilder",""
"org.junit",2,4,8,18,93,1224,"Description,Statement,TestRule,BeforeEachCallback,AfterEachCallback,ExtensionContext,Assertions",""
"org.quartz",2,9,40,234,93,1224,"GroupMatcher,TriggerBuilder,JobDetail,JobDataMap,SchedulerContext,JobBuilder,Trigger,Scheduler,JobKey",""
"reactor.core",2,18,36,159,93,1224,"Flux,Mono,Sinks$EmitResult,Sinks$Many,Disposable,FluxSink,MonoSink,ConnectableFlux,Sinks",""
"com.google",1,1,4,9,93,1224,"JsonElement,JsonArray,JsonParser,JsonObject",""
"com.lmax",1,7,14,51,93,1224,"ExceptionHandler,Disruptor,RingBuffer,BlockingWaitStrategy,WaitStrategy,ProducerType,EventHandler,LifecycleAware,EventHandlerGroup",""
"jakarta.validation",1,2,5,22,93,1224,"ConstraintViolation,Validation,ValidatorFactory,Validator",""
"javax.cache",1,2,12,59,93,1224,"Cache,CacheEntryListenerConfiguration,CacheEntryListenerException,CacheEntryEvent,CacheEntryRemovedListener,CacheEntryEventFilter,CacheEntryCreatedListener,Factory,CacheEntryExpiredListener",""
"javax.validation",1,2,5,22,93,1224,"ConstraintViolation,Validator,Validation,ValidatorFactory",""
"net.sf",1,2,8,72,93,1224,"Ehcache,RegisteredEventListeners,Element,CacheEventListener,CacheException",""
"nu.xom",1,3,5,16,93,1224,"Document,Builder,ParsingException",""
"org.dom4j",1,3,4,15,93,1224,"Document,STAXEventReader",""
"org.ehcache",1,3,10,49,93,1224,"CacheEventListener,EventType,CacheRuntimeConfiguration,Ehcache,EventOrdering,EventFiring,CacheEvent",""
"org.testcontainers",1,3,13,47,93,1224,"DockerImageName,Wait,GenericContainer,ContainerLaunchException,HttpWaitStrategy,MountableFile",""
