"artifact","all","public","min","max","average","percentile25","percentile50","percentile75","percentile90","Source Cypher File: Visibility/Global_relative_visibility_statistics_for_types.cypher"
"axon-configuration-4.8.0",39,26,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,""
"axon-disruptor-4.8.0",22,9,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,""
"axon-eventsourcing-4.8.0",130,95,0.5,1,0.7691585594811401,0.6129032258064516,0.7857142857142857,1,1,""
"axon-messaging-4.8.0",762,623,0.1,1,0.866240726378283,0.75,0.9736842105263157,1,1,""
"axon-modelling-4.8.0",150,129,0.5,1,0.8058726567550096,0.7374999999999999,0.8131868131868132,0.8955882352941177,1,""
"axon-test-4.8.0",87,65,0.47368421052631576,1,0.7810855263157894,0.65,0.775,0.96875,1,""
