"p.fqn","p.name","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_outgoing_incoming_Dependencies.cypher"
"org.axonframework.common","common",0.0515695067264574,0.04559270516717325,0.0,0.013333333333333334,0.14285714285714285,23,423,15,314,0,0,1,74,1,6,""
"org.axonframework.common.transaction","transaction",0.06593406593406594,0.056338028169014086,0.0,0.04,0.2,6,85,4,67,0,0,1,24,1,4,""
"org.axonframework.eventhandling.scheduling","scheduling",0.1111111111111111,0.16666666666666666,0.0,0.25,0.25,2,16,2,10,0,0,2,6,1,3,""
"org.axonframework.common.annotation","annotation",0.12,0.12,0.0,0.16666666666666666,0.25,3,22,3,22,0,0,2,10,1,3,""
"org.axonframework.messaging","messaging",0.12419354838709677,0.10144927536231885,0.0,0.10714285714285714,0.14285714285714285,77,543,35,310,0,0,6,50,1,6,""
"org.axonframework.monitoring","monitoring",0.18666666666666668,0.15217391304347827,0.0,0.23076923076923078,0.2,14,61,7,39,0,0,3,10,1,4,""
"org.axonframework.lifecycle","lifecycle",0.19230769230769232,0.25925925925925924,0.0,0.21428571428571427,0.25,10,42,7,20,0,0,3,11,1,3,""
"org.axonframework.common.stream","stream",0.22727272727272727,0.16666666666666666,0.0,0.125,0.25,5,17,3,15,0,0,1,7,1,3,""
"org.axonframework.messaging.unitofwork","unitofwork",0.2554112554112554,0.19801980198019803,0.0,0.1282051282051282,0.14285714285714285,59,172,20,81,0,0,5,34,1,6,""
"org.axonframework.common.jpa","jpa",0.2727272727272727,0.25,0.0,0.3,0.2,6,16,5,15,0,0,3,7,1,4,""
"org.axonframework.serialization","serialization",0.2727272727272727,0.26744186046511625,0.0,0.23076923076923078,0.2,111,296,46,126,0,0,9,30,1,4,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.2878787878787879,0.34210526315789475,0.0,0.3333333333333333,0.3333333333333333,19,47,13,25,0,0,4,8,1,2,""
"org.axonframework.common.legacyjpa","legacyjpa",0.3,0.2777777777777778,0.0,0.3333333333333333,0.25,6,14,5,13,0,0,3,6,1,3,""
"org.axonframework.serialization.upcasting","upcasting",0.3125,0.08333333333333333,0.0,0.3333333333333333,0.5,5,11,1,11,0,0,1,2,1,1,""
"org.axonframework.test","test",0.3333333333333333,0.3181818181818182,0.0,0.4,0.6666666666666666,8,16,7,15,0,0,4,6,2,1,""
"org.axonframework.tracing","tracing",0.3384615384615385,0.29347826086956524,0.0,0.36,0.2,66,129,27,65,0,0,9,16,1,4,""
"org.axonframework.common.jdbc","jdbc",0.3466666666666667,0.4186046511627907,0.0,0.3333333333333333,0.2,26,49,18,25,0,0,4,8,1,4,""
"org.axonframework.commandhandling","commandhandling",0.34951456310679613,0.3626943005181347,0.0,0.3333333333333333,0.14285714285714285,144,268,70,123,0,0,9,18,1,6,""
"org.axonframework.messaging.annotation","annotation",0.35384615384615387,0.3101851851851852,0.0,0.21875,0.14285714285714285,184,336,67,149,0,0,7,25,1,6,""
"org.axonframework.common.lock","lock",0.36363636363636365,0.36363636363636365,0.0,0.2222222222222222,0.2,24,42,12,21,0,0,2,7,1,4,""
