"artifactName","fullQualifiedPackageName","packageName","distance","abstractness","instability","typesInPackage","Source Cypher File: Metrics/Calculate_distance_between_abstractness_and_instability.cypher"
"axon-test-4.7.6","org.axonframework.test.server","server",1.0,0.0,0.0,2,""
"axon-messaging-4.7.6","org.axonframework.common.io","io",1.0,0.0,0.0,1,""
"axon-messaging-4.7.6","org.axonframework.common.digest","digest",0.5,0.0,0.5,1,""
"axon-eventsourcing-4.7.6","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.48275862068965525,1.0,0.4827586206896552,15,""
"axon-messaging-4.7.6","org.axonframework.monitoring","monitoring",0.48,0.3333333333333333,0.18666666666666668,6,""
"axon-messaging-4.7.6","org.axonframework.common.jpa","jpa",0.4772727272727273,0.25,0.2727272727272727,4,""
"axon-test-4.7.6","org.axonframework.test","test",0.4666666666666667,0.2,0.3333333333333333,5,""
"axon-messaging-4.7.6","org.axonframework.messaging.unitofwork","unitofwork",0.4588744588744589,0.2857142857142857,0.2554112554112554,14,""
"axon-messaging-4.7.6","org.axonframework.common.lock","lock",0.4545454545454546,0.18181818181818182,0.36363636363636365,11,""
"axon-messaging-4.7.6","org.axonframework.common.legacyjpa","legacyjpa",0.44999999999999996,0.25,0.3,4,""
"axon-messaging-4.7.6","org.axonframework.tracing","tracing",0.4393162393162393,0.2222222222222222,0.3384615384615385,18,""
"axon-messaging-4.7.6","org.axonframework.common.transaction","transaction",0.4340659340659341,0.5,0.06593406593406594,4,""
"axon-messaging-4.7.6","org.axonframework.serialization","serialization",0.4331550802139037,0.29411764705882354,0.2727272727272727,34,""
"axon-messaging-4.7.6","org.axonframework.eventhandling.tokenstore","tokenstore",0.42640692640692635,0.2857142857142857,0.2878787878787879,7,""
"axon-test-4.7.6","org.axonframework.test.matchers","matchers",0.4233870967741935,0.125,0.45161290322580644,24,""
"axon-modelling-4.7.6","org.axonframework.modelling.saga.repository.inmemory","inmemory",0.41666666666666663,0.0,0.5833333333333334,2,""
"axon-messaging-4.7.6","org.axonframework.serialization.xml","xml",0.41463414634146345,0.0,0.5853658536585366,7,""
"axon-messaging-4.7.6","org.axonframework.commandhandling.callbacks","callbacks",0.38095238095238093,0.0,0.6190476190476191,4,""
"axon-messaging-4.7.6","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.375,0.0,0.625,7,""
"axon-messaging-4.7.6","org.axonframework.messaging.annotation","annotation",0.3683760683760684,0.2777777777777778,0.35384615384615387,54,""
"axon-messaging-4.7.6","org.axonframework.util","util",0.33333333333333337,0.0,0.6666666666666666,3,""
"axon-messaging-4.7.6","org.axonframework.eventhandling.async","async",0.31666666666666665,0.13333333333333333,0.55,15,""
"axon-messaging-4.7.6","org.axonframework.common","common",0.30557335041639966,0.6428571428571429,0.0515695067264574,28,""
"axon-eventsourcing-4.7.6","org.axonframework.eventsourcing.snapshotting","snapshotting",0.303030303030303,0.3333333333333333,0.36363636363636365,3,""
