"fileDistanceAsFewestChangeDirectoryCommands","numberOfDependencies","numberOfDependencyUsers","numberOfDependencyProviders","examples","Source Cypher File: Internal_Dependencies/Set_file_distance_as_shortest_contains_path_for_dependencies.cypher"
0,2601,1026,1160,"/axon-spring-boot-autoconfigure-4.10.2.jar uses /axon-server-connector-4.10.2.jar,/org/axonframework/axonserver/connector/command uses /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/query uses /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/heartbeat uses /org/axonframework/axonserver/connector/util",""
1,90,82,38,"/org/axonframework/axonserver/connector/util uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/query uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/processor uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/heartbeat uses /org/axonframework/axonserver/connector",""
2,2503,760,472,"/org/axonframework/axonserver/connector/query/subscription uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/event/axon uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/heartbeat/source uses /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/event/util uses /org/axonframework/axonserver/connector",""
4,2595,449,541,"/org/axonframework/springboot/service/connection uses /org/axonframework/axonserver/connector,/org/axonframework/actuator/axonserver uses /org/axonframework/axonserver/connector,/org/axonframework/springboot/autoconfig uses /org/axonframework/axonserver/connector,/org/axonframework/springboot/autoconfig uses /org/axonframework/axonserver/connector/query",""
