"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_8c_Closeness_Stream.cypher"
"org.axonframework.messaging.Message",0.3044621185051934,193,3,""
"org.axonframework.messaging.MetaData",0.2394919333936297,74,2,""
"org.axonframework.serialization.SerializedObject",0.23881425223882094,54,1,""
"org.axonframework.serialization.Serializer",0.2372679426172639,90,3,""
"org.axonframework.common.Assert",0.19445514621142648,56,,""
"org.axonframework.serialization.SerializedType",0.1838178930705334,41,1,""
"org.axonframework.eventhandling.EventMessage",0.18099297131078296,143,1,""
"org.axonframework.serialization.Converter",0.17445658910073178,13,2,""
"org.axonframework.messaging.MetaData$1",0.17291537982369812,2,1,""
"org.axonframework.messaging.MetaData$MetaDataCollector",0.17284910332702366,1,2,""
"org.axonframework.common.AxonException",0.14572157340630526,24,,""
"org.axonframework.serialization.SimpleSerializedType",0.14452898609054027,9,2,""
"org.axonframework.serialization.SimpleSerializedObject",0.14397245061927796,27,4,""
"org.axonframework.common.AxonNonTransientException",0.1375953820983391,26,1,""
"org.axonframework.common.AxonConfigurationException",0.13640694772293305,78,1,""
"org.axonframework.common.BuilderUtils",0.10993468470924336,90,3,""
"org.axonframework.messaging.unitofwork.UnitOfWork",0.09855227642820497,56,11,""
"org.axonframework.messaging.unitofwork.CurrentUnitOfWork",0.09839150599357493,32,2,""
"org.axonframework.common.transaction.TransactionManager",0.0943819723906067,72,1,""
"org.axonframework.messaging.ResultMessage",0.09434040236088019,23,5,""
"org.axonframework.commandhandling.CommandMessage",0.0895565848637521,103,1,""
"org.axonframework.common.transaction.Transaction",0.08683722188030363,5,,""
"org.axonframework.messaging.unitofwork.RollbackConfiguration",0.08332973555168763,19,,""
"org.axonframework.eventhandling.TrackingToken",0.08304686198149713,76,,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",0.08063363293604703,10,1,""
"org.axonframework.messaging.unitofwork.UnitOfWork$Phase",0.07895213399459614,11,,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType",0.07894041334125125,11,5,""
"org.axonframework.messaging.unitofwork.ExecutionResult",0.07884946541983073,14,1,""
"org.axonframework.common.StringUtils",0.07624269252863854,2,,""
