"fullQualifiedPackageName","packageName","spread","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_6c_Cost_effective_Lazy_Forward_CELF_Stream.cypher"
"org.axonframework.config","config",8.95,115,7974,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",2.460000000000001,218,1340,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",2.08,23,375,""
"org.axonframework.test.saga","saga",1.9000000000000004,43,1375,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",1.7300000000000004,3,81,""
