"memberName","authority","hub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9c_Hyperlink_Induced_Topic_Search_HITS_Stream.cypher"
"org.axonframework.common",0.5261070995979086,0,443,23,""
"org.axonframework.messaging",0.4082332592819373,0.09749073320742739,570,77,""
"org.axonframework.eventhandling",0.34338437055744325,0.17379443563429084,730,442,""
"org.axonframework.messaging.unitofwork",0.30288764744913615,0.0798880245602481,177,59,""
"org.axonframework.serialization",0.24261151312909524,0.11094099925699757,324,111,""
"org.axonframework.common.transaction",0.24144735529807337,0,95,6,""
"org.axonframework.messaging.annotation",0.19506612671083276,0.11296345656100343,342,184,""
"org.axonframework.tracing",0.1675643516516643,0.13735730664949103,139,66,""
"org.axonframework.lifecycle",0.1369409608105996,0.04769045089931655,48,10,""
"org.axonframework.commandhandling",0.13473171891995264,0.13046927948462697,268,144,""
"org.axonframework.deadline",0.10535697673673151,0.14062758037347295,64,68,""
"org.axonframework.monitoring",0.09714364201612197,0.06178697625323779,60,14,""
"org.axonframework.modelling.command",0.09642704562174963,0.16756599909539066,209,219,""
"org.axonframework.eventsourcing.eventstore",0.09000140490250358,0.16302772956233452,120,161,""
"org.axonframework.common.annotation",0.08071696373904423,0.034790926626017724,22,3,""
"org.axonframework.serialization.upcasting.event",0.07905201986907012,0.10097987643048853,38,53,""
"org.axonframework.common.jdbc",0.07316545445905531,0.09778329554834925,65,36,""
"org.axonframework.modelling.command.inspection",0.0706089081285114,0.1402537355855431,80,157,""
"org.axonframework.common.io",0.06606139173863916,0,10,0,""
"org.axonframework.serialization.xml",0.06326272931718802,0.05520315142378358,17,24,""
"org.axonframework.eventhandling.tokenstore",0.06321869348271998,0.07354223754363952,47,19,""
"org.axonframework.common.lock",0.06276310830597388,0.034790926626017724,42,24,""
"org.axonframework.eventhandling.scheduling",0.06263867909225705,0.034790926626017724,20,2,""
"org.axonframework.queryhandling",0.061344887663068004,0.13331674047564143,151,232,""
"org.axonframework.common.stream",0.05926061404575169,0,17,5,""
"org.axonframework.common.jpa",0.056248882927461046,0.05075759430383725,16,6,""
"org.axonframework.modelling.saga",0.05588570406719543,0.11687769555878015,112,125,""
"org.axonframework.eventsourcing.snapshotting",0.05493756114381588,0.07354223754363952,14,8,""
"org.axonframework.messaging.deadletter",0.05227637052492084,0.09471615214382856,107,61,""
"org.axonframework.eventsourcing",0.05114725504477035,0.19086351310885702,113,211,""
"org.axonframework.common.caching",0.047455132469383765,0.034790926626017724,37,35,""
"org.axonframework.messaging.interceptors",0.04689985173584005,0.11281720045083884,10,29,""
"org.axonframework.modelling.saga.repository",0.043105710193343236,0.07956343254298258,50,69,""
"org.axonframework.test",0.03749356930096037,0.07468650052653661,16,8,""
"org.axonframework.commandhandling.callbacks",0.034502114085310405,0.008909671340158342,8,13,""
"org.axonframework.common.legacyjpa",0.033589882422437586,0.05075759430383725,14,6,""
"org.axonframework.common.property",0.03335754577786147,0.034790926626017724,23,15,""
"org.axonframework.util",0.032425963669541646,0.08017123471775868,3,6,""
"org.axonframework.messaging.correlation",0.03227602456043158,0.02699604962722007,11,9,""
