"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.common.property","property",0.01591057911897558,23,15,""
"org.axonframework.modelling.saga.repository","repository",0.01589214268626988,72,231,""
"org.axonframework.common.legacyjpa","legacyjpa",0.015731709457293963,14,6,""
"org.axonframework.test.deadline","deadline",0.015654696840195218,10,138,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.01550595939890922,12,34,""
"org.axonframework.serialization.xml","xml",0.015366007467428963,17,28,""
"org.axonframework.eventhandling.replay","replay",0.01525411946483505,12,72,""
"org.axonframework.commandhandling.gateway","gateway",0.01479798632279933,97,443,""
"org.axonframework.common.caching","caching",0.014739237045032062,37,49,""
"org.axonframework.test.eventscheduler","eventscheduler",0.014685186068996624,9,38,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.01465456378960165,23,17,""
"org.axonframework.test.utils","utils",0.014513103929983739,8,70,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.0145091665825508,9,236,""
"org.axonframework.eventhandling.pooled","pooled",0.014450597219999394,52,1022,""
"org.axonframework.eventhandling.deadletter","deadletter",0.014412997135398493,9,386,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.014402842368024527,5,15,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.014360050416634107,15,99,""
"org.axonframework.queryhandling.registration","registration",0.014206809368930517,9,13,""
"org.axonframework.deadline.jobrunr","jobrunr",0.014170042742592669,5,433,""
"org.axonframework.common.digest","digest",0.014154866237010783,2,1,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.013999396204788576,55,1487,""
"org.axonframework.eventhandling.gateway","gateway",0.013980596162488125,11,52,""
"org.axonframework.queryhandling.annotation","annotation",0.013924196035586773,4,199,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.013886595950985871,2,25,""
"org.axonframework.test.aggregate","aggregate",0.01386779590868542,31,2223,""
"org.axonframework.deadline.annotation","annotation",0.01386779590868542,6,29,""
"org.axonframework.tracing.attributes","attributes",0.01386779590868542,0,43,""
"org.axonframework.config","config",0.01386779590868542,115,7974,""
"org.axonframework.serialization.converters","converters",0.01386779590868542,0,7,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0.01386779590868542,6,503,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.01386779590868542,6,213,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.01386779590868542,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0.01386779590868542,0,28,""
"org.axonframework.eventhandling.scheduling.java","java",0.01386779590868542,5,76,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.01386779590868542,34,581,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.01386779590868542,16,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0.01386779590868542,16,136,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.01386779590868542,3,209,""
"org.axonframework.serialization.json","json",0.01386779590868542,7,87,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.01386779590868542,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.01386779590868542,2,106,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.01386779590868542,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.01386779590868542,3,81,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.01386779590868542,23,375,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.01386779590868542,1,27,""
"org.axonframework.deadline.quartz","quartz",0.01386779590868542,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.01386779590868542,10,202,""
"org.axonframework.test.saga","saga",0.01386779590868542,43,1375,""
"org.axonframework.test.server","server",0.01386779590868542,1,2,""
