"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.common","common",0.7348135960897788,917,23,""
"org.axonframework.messaging","messaging",0.4882264017724356,8829,133,""
"org.axonframework.serialization","serialization",0.27965838284028177,1240,176,""
"org.axonframework.eventhandling","eventhandling",0.2585085700532311,4937,1557,""
"org.axonframework.messaging.unitofwork","unitofwork",0.14275998377210283,258,123,""
"org.axonframework.messaging.annotation","annotation",0.11148821459365578,1056,301,""
"org.axonframework.commandhandling","commandhandling",0.06976708675516932,1539,642,""
"org.axonframework.modelling.saga","saga",0.05966946609808273,242,398,""
"org.axonframework.common.transaction","transaction",0.05006146293676703,310,6,""
"org.axonframework.queryhandling","queryhandling",0.045467688846355166,182,1116,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.043027585366258184,69,42,""
"org.axonframework.tracing","tracing",0.0411784908219004,187,122,""
"org.axonframework.modelling.command","command",0.0331535554952051,254,827,""
"org.axonframework.common.annotation","annotation",0.03204391430228754,22,3,""
"org.axonframework.common.io","io",0.031138021528815212,10,0,""
"org.axonframework.deadline","deadline",0.030311099204979382,188,347,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.029053191951104566,169,603,""
"org.axonframework.common.jdbc","jdbc",0.02892543583821092,65,56,""
"org.axonframework.test","test",0.02874456622259713,16,13,""
"org.axonframework.monitoring","monitoring",0.02832150227448745,188,21,""
"org.axonframework.util","util",0.027633825855013155,3,6,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.026353459588207912,218,1340,""
"org.axonframework.messaging.deadletter","deadletter",0.026332650165851828,198,105,""
"org.axonframework.commandhandling.distributed","distributed",0.02441184808960959,50,752,""
"org.axonframework.modelling.command.inspection","inspection",0.023037234303879828,84,781,""
"org.axonframework.common.stream","stream",0.022961059609858666,29,5,""
"org.axonframework.serialization.upcasting.event","event",0.02107698869166114,38,188,""
"org.axonframework.messaging.responsetypes","responsetypes",0.020246140587409298,78,65,""
"org.axonframework.test.matchers","matchers",0.020120689319127725,61,51,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.02007880381120382,15,67,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.019409858798599806,9,119,""
"org.axonframework.messaging.correlation","correlation",0.01929367798318053,25,14,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.018810952887378555,12,86,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.018725008847556648,25,317,""
"org.axonframework.lifecycle","lifecycle",0.018672308143365308,71,10,""
"org.axonframework.eventsourcing","eventsourcing",0.01844920328311198,134,976,""
"org.axonframework.eventhandling.scheduling","scheduling",0.018187566761322847,20,2,""
"org.axonframework.messaging.interceptors","interceptors",0.01735165063419876,10,119,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.01728119627578829,30,80,""
"org.axonframework.commandhandling.callbacks","callbacks",0.017222376441703956,8,39,""
"org.axonframework.common.lock","lock",0.01707062276500327,46,25,""
"org.axonframework.common.jpa","jpa",0.016859378514964773,16,6,""
"org.axonframework.serialization.upcasting","upcasting",0.01680913669396182,11,5,""
"org.axonframework.eventhandling.async","async",0.016022481412111662,41,76,""
