"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_8b_Closeness_Stream.cypher"
"org.axonframework.common","common",0.8502415458937198,917,23,""
"org.axonframework.messaging","messaging",0.6358695652173914,8829,133,""
"org.axonframework.eventhandling","eventhandling",0.5852250865717583,4937,1557,""
"org.axonframework.messaging.unitofwork","unitofwork",0.5376458112407211,258,123,""
"org.axonframework.serialization","serialization",0.5166440217391304,1240,176,""
"org.axonframework.common.transaction","transaction",0.49870781392520525,310,6,""
"org.axonframework.messaging.annotation","annotation",0.472360248447205,1056,301,""
"org.axonframework.tracing","tracing",0.4379498992225741,187,122,""
"org.axonframework.common.stream","stream",0.4187466451959206,29,5,""
"org.axonframework.commandhandling","commandhandling",0.40079051383399206,1539,642,""
"org.axonframework.common.io","io",0.39440091001011124,10,0,""
"org.axonframework.lifecycle","lifecycle",0.39363354037267084,71,10,""
"org.axonframework.monitoring","monitoring",0.39363354037267084,188,21,""
"org.axonframework.deadline","deadline",0.37574110671936756,188,347,""
"org.axonframework.queryhandling","queryhandling",0.3633540372670807,182,1116,""
"org.axonframework.serialization.upcasting.event","event",0.3613684960798289,38,188,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.3594045368620038,69,42,""
"org.axonframework.eventhandling.async","async",0.3498964803312629,41,76,""
"org.axonframework.eventhandling.replay","replay",0.3480549199084668,12,72,""
"org.axonframework.common.annotation","annotation",0.3461069210292813,22,3,""
"org.axonframework.messaging.correlation","correlation",0.33568748620613553,25,14,""
"org.axonframework.util","util",0.3323137426261743,3,6,""
"org.axonframework.messaging.interceptors","interceptors",0.3241687979539642,10,119,""
"org.axonframework.common.property","property",0.2826539855072464,23,15,""
"org.axonframework.commandhandling.callbacks","callbacks",0.27669637984355105,8,39,""
"org.axonframework.messaging.responsetypes","responsetypes",0.26035604245121535,78,65,""
"org.axonframework.serialization.upcasting","upcasting",0.2589196813806837,11,5,""
