"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Internal_Dependencies/Annotated_language_elements.cypher"
"javax.annotation.Nonnull","Parameter",1501,"void <init>(java.util.function.Supplier,java.lang.String,java.util.function.Function),void update(java.util.function.Function),void onStart(int,org.axonframework.lifecycle.Lifecycle$LifecycleHandler),void onShutdown(int,org.axonframework.lifecycle.Lifecycle$LifecycleHandler),java.util.List findModules(java.lang.Class),org.axonframework.config.AggregateConfiguration aggregateConfiguration(java.lang.Class),org.axonframework.modelling.command.Repository repository(java.lang.Class),org.axonframework.eventsourcing.AggregateFactory aggregateFactory(java.lang.Class),java.lang.Object getComponent(java.lang.Class)",""
"java.lang.Deprecated","Method",96,"org.axonframework.config.Configurer registerCommandHandler(int,java.util.function.Function),org.axonframework.config.Configurer registerQueryHandler(int,java.util.function.Function),int phase(),void start(),void shutdown(),org.axonframework.eventhandling.EventProcessor eventProcessor(),org.axonframework.modelling.command.AbstractRepository$Builder spanFactory(org.axonframework.tracing.SpanFactory),java.lang.String routingKey(),org.axonframework.modelling.command.GenericJpaRepository$Builder spanFactory(org.axonframework.tracing.SpanFactory)",""
"javax.annotation.Nullable","Parameter",61,"java.lang.Object create(java.lang.Object),org.axonframework.modelling.command.Aggregate load(java.lang.String,java.lang.Long),java.lang.Object handle(org.axonframework.messaging.Message,java.lang.Object),java.util.stream.Stream readEvents(org.axonframework.eventhandling.TrackingToken,boolean),void <init>(java.lang.Object),void <init>(org.axonframework.messaging.Message,java.lang.Throwable),void <init>(org.axonframework.commandhandling.CommandCallback,org.axonframework.monitoring.MessageMonitor$MonitorCallback),java.lang.String schedule(java.time.Instant,java.lang.String,java.lang.Object),java.lang.String schedule(java.time.Instant,java.lang.String,java.lang.Object,org.axonframework.messaging.ScopeDescriptor)",""
"java.lang.FunctionalInterface","Interface",54,"org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration,org.axonframework.config.EventProcessingConfigurer$EventProcessorBuilder,org.axonframework.config.EventProcessingConfigurer$PooledStreamingProcessorConfiguration,org.axonframework.config.LifecycleHandlerInspector$LifecycleRegistration,org.axonframework.config.LifecycleHandler,org.axonframework.config.MessageMonitorFactory,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.command.LockAwareAggregate$LockSupplier,org.axonframework.modelling.command.RepositoryProvider",""
"java.lang.annotation.Target","Annotation",40,"org.axonframework.config.ProcessingGroup,org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.TargetAggregateIdentifier",""
"java.lang.annotation.Retention","Annotation",40,"org.axonframework.config.ProcessingGroup,org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.TargetAggregateIdentifier",""
"javax.persistence.Basic","Field",39,"java.lang.String sagaType,java.lang.String revision,java.lang.String sagaId,java.lang.String associationKey,java.lang.String associationValue,java.lang.String type,java.lang.String aggregateIdentifier,long sequenceNumber,java.lang.String timeStamp",""
"javax.annotation.Nonnull","Method",37,"java.lang.Object create(java.lang.Object),java.lang.String getIdentifier(),java.lang.Object getIdentifierValue(),org.axonframework.messaging.annotation.MessageHandlingMember wrapHandler(org.axonframework.messaging.annotation.MessageHandlingMember),org.axonframework.common.Registration registerDispatchInterceptor(org.axonframework.messaging.MessageDispatchInterceptor),org.axonframework.common.Registration subscribe(java.util.function.Consumer),java.lang.String schedule(java.time.Instant,java.lang.String,java.lang.Object,org.axonframework.messaging.ScopeDescriptor),java.lang.String schedule(java.time.Duration,java.lang.String,java.lang.Object,org.axonframework.messaging.ScopeDescriptor),org.axonframework.common.Registration registerHandlerInterceptor(org.axonframework.messaging.MessageHandlerInterceptor)",""
"jakarta.persistence.Basic","Field",33,"java.lang.String sagaId,java.lang.String associationKey,java.lang.String associationValue,java.lang.String sagaType,java.lang.String revision,java.lang.String type,java.lang.String aggregateIdentifier,long sequenceNumber,java.lang.String timeStamp",""
"com.fasterxml.jackson.annotation.JsonProperty","Parameter",32,"void <init>(java.lang.String,java.lang.Object),void <init>(org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.commandhandling.distributed.CommandMessageFilter),void <init>(java.util.Set),void <init>(org.axonframework.commandhandling.distributed.CommandMessageFilter),void <init>(long,java.util.Collection),void <init>(long),void <init>(org.axonframework.eventhandling.TrackingToken,org.axonframework.eventhandling.TrackingToken),void <init>(java.util.Map),void <init>(org.axonframework.eventhandling.TrackingToken,org.axonframework.eventhandling.TrackingToken,java.lang.Object)",""
