"fullQualifiedDependentTypeName","dependentTypeName","dependentTypeLabels","numberOfUsingPackages","Source Cypher File: Internal_Dependencies/List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.common.BuilderUtils","BuilderUtils","Type,File,Java,ByteCode,Class,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation10,TypeLouvainCommunity6,TypeLeidenCommunity7,TypeKCoreDecomposition10,TypeMaximumKCut51",44,""
"org.axonframework.common.AxonConfigurationException","AxonConfigurationException","Type,File,Java,ByteCode,Class,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation10,TypeLouvainCommunity2,TypeLeidenCommunity3,TypeKCoreDecomposition10,TypeMaximumKCut0",37,""
"org.axonframework.messaging.Message","Message","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation3,TypeLouvainCommunity1,TypeLeidenCommunity2,TypeKCoreDecomposition10,TypeMaximumKCut8",34,""
"org.axonframework.messaging.MetaData","MetaData","Type,File,Java,ByteCode,Class,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation3,TypeLouvainCommunity1,TypeLeidenCommunity9,TypeKCoreDecomposition10,TypeMaximumKCut0",33,""
"org.axonframework.eventhandling.EventMessage","EventMessage","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation2,TypeLouvainCommunity4,TypeLeidenCommunity1,TypeKCoreDecomposition10,TypeMaximumKCut1",32,""
"org.axonframework.messaging.unitofwork.UnitOfWork","UnitOfWork","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation2,TypeLouvainCommunity1,TypeLeidenCommunity1,TypeKCoreDecomposition10,TypeMaximumKCut86",31,""
"org.axonframework.serialization.Serializer","Serializer","Type,File,Java,ByteCode,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation30,TypeLouvainCommunity9,TypeLeidenCommunity9,TypeKCoreDecomposition10,TypeMaximumKCut32",29,""
"org.axonframework.common.Assert","Assert","Type,File,Java,ByteCode,Class,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation6,TypeLouvainCommunity4,TypeLeidenCommunity5,TypeKCoreDecomposition10,TypeMaximumKCut77",27,""
"org.axonframework.common.transaction.TransactionManager","TransactionManager","Type,File,Java,ByteCode,Interface,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation10,TypeLouvainCommunity7,TypeLeidenCommunity8,TypeKCoreDecomposition10,TypeMaximumKCut94",27,""
"org.axonframework.serialization.SerializedObject","SerializedObject","Type,File,Java,ByteCode,GenericDeclaration,Interface,TopCentralityPageRank,TopCentralityArticleRank,TopCentralityBetweenness,TopCentralityHarmonic,TopCentralityCloseness,TopCentralityHyperlinkInducedTopicSearchAuthority,TypeWeaklyConnectedComponent0,TypeLabelPropagation27,TypeLouvainCommunity9,TypeLeidenCommunity9,TypeKCoreDecomposition10,TypeMaximumKCut72",25,""
