"projectPath","modulePath","moduleName","exportedElements","allElements","relativeVisibility","Source Cypher File: Visibility/Relative_visibility_exported_elements_to_all_elements_per_module_for_Typescript.cypher"
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router","index.ts","react-router",14,14,1,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/modal","src/images.ts","images",2,2,1,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/modal-route-with-outlet","src/images.ts","images",2,2,1,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth","src/auth.ts","auth",1,1,1,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/tutorial","src/App.jsx","App",1,1,1,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router-native","index.tsx","react-router-native",26,30,0.8666666666666667,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/custom-filter-link","src/snkrs.ts","snkrs",4,5,0.8,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/data-router","src/todos.ts","todos",7,9,0.7777777777777778,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/tutorial","src/data.js","data",3,4,0.75,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router-dom","index.tsx","react-router-dom",70,138,0.5072463768115942,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/auth-router-provider","src/auth.ts","auth",1,2,0.5,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/packages/react-router-dom","server.tsx","server",12,32,0.375,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/lazy-loading","src/pages/About.tsx","About",0,1,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/examples/modal-route-with-outlet","src/main.tsx","main",0,1,0,""
"/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.1/source/react-router-6.28.1/react-router-6.28.1/tutorial","src/main.jsx","main",0,1,0,""
