"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-messaging-4.10.1","org.axonframework.messaging","messaging",0.01322461966789301,0.08793969849246232,0.18072289156626506,0.08955223880597014,0,133,9924,35,363,15,68,6,61,0,8,""
"axon-messaging-4.10.1","org.axonframework.common.transaction","transaction",0.016042780748663103,0.043010752688172046,0,0.030303030303030304,0,6,368,4,89,0,5,1,32,0,5,""
"axon-messaging-4.10.1","org.axonframework.common","common",0.02135561745589601,0.03926701570680628,0,0.011494252873563218,0,23,1054,15,367,0,16,1,86,0,8,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling","scheduling",0.07407407407407407,0.1111111111111111,0,0.18181818181818182,0,2,25,2,16,0,2,2,9,0,4,""
"axon-messaging-4.10.1","org.axonframework.lifecycle","lifecycle",0.09009009009009009,0.18421052631578946,0,0.125,0,10,101,7,31,0,3,3,21,0,4,""
"axon-messaging-4.10.1","org.axonframework.monitoring","monitoring",0.09545454545454546,0.14583333333333334,0.3333333333333333,0.21428571428571427,0,21,199,7,41,3,6,3,11,0,4,""
"axon-messaging-4.10.1","org.axonframework.serialization","serialization",0.0961223375204806,0.2081447963800905,0.30434782608695654,0.1836734693877551,0,176,1655,46,175,7,16,9,40,0,5,""
"axon-messaging-4.10.1","org.axonframework.common.annotation","annotation",0.12,0.12,0,0.16666666666666666,0,3,22,3,22,0,0,2,10,0,2,""
"axon-messaging-4.10.1","org.axonframework.common.stream","stream",0.13157894736842105,0.15,0,0.1111111111111111,0,5,33,3,17,0,2,1,8,0,3,""
"axon-messaging-4.10.1","org.axonframework.tracing","tracing",0.16116248348745046,0.19852941176470587,0.48,0.2727272727272727,0,122,635,27,109,12,13,9,24,0,6,""
"axon-messaging-4.10.1","org.axonframework.eventhandling","eventhandling",0.2102502017756255,0.32719836400818,0.5,0.23529411764705882,0,1563,5871,160,329,57,57,16,52,0,6,""
"axon-messaging-4.10.1","org.axonframework.messaging.annotation","annotation",0.21811594202898552,0.3031674208144796,0.40625,0.21212121212121213,0,301,1079,67,154,13,19,7,26,0,6,""
"axon-messaging-4.10.1","org.axonframework.common.jpa","jpa",0.24,0.21739130434782608,1,0.25,0,6,19,5,18,2,0,3,9,0,4,""
"axon-messaging-4.10.1","org.axonframework.common.legacyjpa","legacyjpa",0.2608695652173913,0.23809523809523808,1,0.2727272727272727,0,6,17,5,16,2,0,3,8,0,3,""
"axon-messaging-4.10.1","org.axonframework.commandhandling","commandhandling",0.2663839629915189,0.35071090047393366,0.6,0.3,0,691,1903,74,137,30,20,9,21,0,7,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot","springboot",0.27380952380952384,0.4418604651162791,0,0.3333333333333333,1,23,61,19,24,0,0,2,4,1,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.correlation","correlation",0.30434782608695654,0.2,0.4,0.2857142857142857,0,14,32,3,12,2,3,2,5,0,2,""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting","upcasting",0.3125,0.08333333333333333,0,0.3333333333333333,0,5,11,1,11,0,1,1,2,0,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.unitofwork","unitofwork",0.3219895287958115,0.1941747572815534,0.5833333333333334,0.11904761904761904,0,123,259,20,83,7,5,5,37,0,6,""
"axon-messaging-4.10.1","org.axonframework.messaging.deadletter","deadletter",0.3322475570032573,0.3709677419354839,0.5,0.35714285714285715,0,102,205,23,39,8,8,5,9,0,2,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.util","util",0.3333333333333333,0.25,0,0.3333333333333333,0,3,6,2,6,0,0,2,4,0,0,""
"axon-messaging-4.10.1","org.axonframework.common.digest","digest",0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,1,2,1,2,0,0,1,2,0,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore","tokenstore",0.336,0.28888888888888886,0.5714285714285714,0.25,0,42,83,13,32,4,3,4,12,0,3,""
"axon-messaging-4.10.1","org.axonframework.common.lock","lock",0.352112676056338,0.36363636363636365,0.5,0.2222222222222222,0,25,46,12,21,2,2,2,7,0,3,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.snapshotting","snapshotting",0.3695652173913043,0.3333333333333333,0.6666666666666666,0.36363636363636365,0.3333333333333333,17,29,7,14,4,2,4,7,1,2,""
"axon-messaging-4.10.1","org.axonframework.messaging.responsetypes","responsetypes",0.37790697674418605,0.38636363636363635,0.6,0.5,0,65,107,17,27,6,4,6,6,0,1,""
"axon-messaging-4.10.1","org.axonframework.common.property","property",0.38461538461538464,0.36363636363636365,1,0.2857142857142857,0,15,24,8,14,1,0,2,5,0,1,""
"axon-test-4.10.1","org.axonframework.test.server","server",0.4,0.4,0,0.5,0.5,2,3,2,3,0,0,2,2,1,1,""
"axon-messaging-4.10.1","org.axonframework.common.jdbc","jdbc",0.43410852713178294,0.38596491228070173,1,0.29411764705882354,0,56,73,22,35,8,0,5,12,0,5,""
"axon-test-4.10.1","org.axonframework.test","test",0.4482758620689655,0.3181818181818182,1,0.4,1,13,16,7,15,3,0,4,6,1,0,""
"axon-test-4.10.1","org.axonframework.test.matchers","matchers",0.45535714285714285,0.5208333333333334,0.6666666666666666,0.6,1,51,61,25,23,4,2,6,4,1,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util.jpa","jpa",0.5,0.5,1,0.5,0,1,1,1,1,1,0,1,1,0,0,""
