"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-configuration-4.10.1","org.axonframework.config","config",595,1831,201,13,45,3,""
"axon-messaging-4.10.1","org.axonframework.eventhandling","eventhandling",585,2113,106,51,20,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","connector",415,1508,149,3,30,3,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing","eventsourcing",380,1319,95,10,22,1,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","autoconfig",364,1155,230,0,62,6,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot","springboot",323,981,203,0,58,7,""
"axon-test-4.10.1","org.axonframework.test","test",273,791,99,4,17,2,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore","eventstore",245,914,58,6,19,2,""
"axon-modelling-4.10.1","org.axonframework.modelling.command","command",231,764,63,9,14,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter","deadletter",207,990,57,4,10,0,""
"axon-messaging-4.10.1","org.axonframework.commandhandling","commandhandling",196,485,67,21,13,0,""
"axon-messaging-4.10.1","org.axonframework.deadline","deadline",190,611,48,9,11,0,""
"axon-messaging-4.10.1","org.axonframework.messaging","messaging",188,493,27,56,8,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","query",180,697,72,0,12,1,""
"axon-messaging-4.10.1","org.axonframework.queryhandling","queryhandling",177,614,51,13,9,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event","event",166,544,73,2,22,3,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","axon",166,551,74,2,23,3,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga","saga",155,474,58,9,15,0,""
"axon-test-4.10.1","org.axonframework.test.aggregate","aggregate",149,548,74,1,15,3,""
"axon-disruptor-4.10.1","org.axonframework.disruptor.commandhandling","commandhandling",130,436,62,0,13,2,""
"axon-modelling-4.10.1","org.axonframework.modelling.command.inspection","inspection",119,416,51,3,9,1,""
"axon-test-4.10.1","org.axonframework.test.saga","saga",111,387,60,2,16,2,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.pooled","pooled",106,456,35,1,11,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository","repository",103,441,34,5,12,1,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.distributed","distributed",93,248,48,3,10,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling","scheduling",88,291,22,0,9,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.command","command",83,277,53,0,10,1,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.gateway","gateway",82,202,22,1,9,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.annotation","annotation",76,200,20,14,6,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jdbc","jdbc",70,358,36,1,7,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore","tokenstore",69,345,22,3,7,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",62,228,38,0,14,1,""
"axon-messaging-4.10.1","org.axonframework.deadline.quartz","quartz",52,180,36,0,9,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jpa","jpa",52,250,30,2,7,0,""
"axon-messaging-4.10.1","org.axonframework.deadline.dbscheduler","dbscheduler",51,192,34,0,8,0,""
"axon-messaging-4.10.1","org.axonframework.serialization","serialization",50,127,24,4,8,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query.subscription","subscription",49,207,33,0,10,1,""
