"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements.cypher"
"javax.annotation.Nonnull","Parameter",1615,"org.axonframework.test.aggregate.ResultValidatorImpl.onResult(0),org.axonframework.test.aggregate.ResultValidatorImpl.onResult(1),org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository.load(0),org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository.newInstance(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.newInstance(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.load(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.loadOrCreate(0),org.axonframework.test.aggregate.AggregateTestFixture$InMemoryRepository.loadOrCreate(1),org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.readEvents(0)",""
"java.lang.Deprecated","Method",130,"org.axonframework.test.aggregate.ResultValidator.expectDeadlinesMetMatching,org.axonframework.test.aggregate.ResultValidator.expectDeadlinesMet,org.axonframework.test.aggregate.Reporter.reportWrongEvent,org.axonframework.test.aggregate.AggregateTestFixture.whenThenTimeElapses,org.axonframework.test.aggregate.AggregateTestFixture.whenThenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.andThenTimeElapses,org.axonframework.test.aggregate.TestExecutor.whenThenTimeElapses,org.axonframework.test.aggregate.TestExecutor.andThenTimeAdvancesTo,org.axonframework.test.aggregate.TestExecutor.whenThenTimeAdvancesTo",""
"org.springframework.context.annotation.Bean","Method",110,"org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerCommandBus,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.queryBus,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.eventStore,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerEventStoreFactory,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule",""
"org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",76,"org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.queryBus,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.eventStore,org.axonframework.springboot.autoconfig.AxonServerBusAutoConfiguration.axonServerEventStoreFactory,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.entityManagerProvider,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.tokenStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.sagaStore,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.persistenceExceptionResolver,org.axonframework.springboot.autoconfig.legacyjpa.JpaJavaxAutoConfiguration.deadLetterQueueProviderConfigurerModule,org.axonframework.springboot.autoconfig.MicrometerMetricsAutoConfiguration.meterRegistry",""
"java.lang.FunctionalInterface","Interface",64,"org.axonframework.test.matchers.FieldFilter,org.axonframework.test.deadline.DeadlineConsumer,org.axonframework.test.eventscheduler.EventConsumer,org.axonframework.modelling.command.CreationPolicyAggregateFactory,org.axonframework.modelling.command.LockAwareAggregate$LockSupplier,org.axonframework.modelling.command.RepositoryProvider,org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration,org.axonframework.config.EventProcessingConfigurer$EventProcessorBuilder,org.axonframework.config.EventProcessingConfigurer$PooledStreamingProcessorConfiguration",""
"javax.annotation.Nullable","Parameter",61,"org.axonframework.modelling.command.CreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create(0),org.axonframework.modelling.command.Repository.load(1),org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.handle(1),org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition$EndSageMessageHandlingMember.handle(1),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2)",""
"javax.annotation.Nonnull","Method",50,"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.subscribe,org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.schedule,org.axonframework.test.deadline.StubDeadlineManager.registerDispatchInterceptor,org.axonframework.test.deadline.StubDeadlineManager.registerHandlerInterceptor,org.axonframework.modelling.command.CreationPolicyAggregateFactory.create,org.axonframework.modelling.command.NoArgumentConstructorCreationPolicyAggregateFactory.create,org.axonframework.modelling.command.VersionedAggregateIdentifier.getIdentifier,org.axonframework.modelling.command.VersionedAggregateIdentifier.getIdentifierValue",""
"java.lang.Deprecated","Class",43,"org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.test.server.AxonServerSEContainer,org.axonframework.test.server.AxonServerEEContainer,org.axonframework.test.utils.AutowiredResourceInjector,org.axonframework.modelling.command.legacyjpa.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore,org.axonframework.axonserver.connector.util.GrpcBufferingInterceptor,org.axonframework.axonserver.connector.util.TokenAddingInterceptor",""
"java.lang.annotation.Retention","Annotation",43,"org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.TargetAggregateVersion",""
"java.lang.annotation.Target","Annotation",43,"org.axonframework.modelling.command.AggregateIdentifier,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.AggregateVersion,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.command.TargetAggregateIdentifier,org.axonframework.modelling.command.TargetAggregateVersion",""
