"packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Set_Incoming_Package_Dependencies.cypher"
"org.axonframework.messaging",8344,32781,306,64,50,6,"",""
"org.axonframework.eventhandling",4329,27236,277,52,44,5,"",""
"org.axonframework.commandhandling",1533,7481,121,18,18,6,"",""
"org.axonframework.serialization",1066,5563,124,15,30,4,"",""
"org.axonframework.messaging.annotation",1017,5095,147,18,25,6,"",""
"org.axonframework.common",862,2018,311,12,74,6,"",""
"org.axonframework.common.transaction",275,1059,66,5,24,4,"",""
"org.axonframework.modelling.command",251,987,74,8,10,5,"",""
"org.axonframework.messaging.unitofwork",247,1359,79,5,33,6,"",""
"org.axonframework.modelling.saga",228,1404,55,11,10,3,"",""
"org.axonframework.eventsourcing.eventstore.jdbc",218,1404,26,14,2,1,"",""
"org.axonframework.monitoring",183,608,38,6,10,4,"",""
"org.axonframework.tracing",169,662,64,4,16,4,"",""
"org.axonframework.eventsourcing.eventstore",168,811,59,5,10,4,"",""
"org.axonframework.deadline",159,1331,32,8,11,4,"",""
"org.axonframework.queryhandling",155,729,46,10,9,2,"",""
"org.axonframework.messaging.deadletter",135,978,28,7,5,2,"",""
"org.axonframework.eventsourcing",134,657,41,6,5,4,"",""
"org.axonframework.config",115,1483,34,0,1,1,"",""
"org.axonframework.commandhandling.gateway",98,403,34,1,3,3,"",""
"org.axonframework.modelling.command.inspection",78,347,42,4,7,5,"",""
"org.axonframework.messaging.responsetypes",74,385,20,4,4,1,"",""
"org.axonframework.eventhandling.tokenstore",69,375,25,3,8,2,"",""
"org.axonframework.modelling.saga.repository",66,244,26,5,6,2,"",""
"org.axonframework.lifecycle",62,186,20,3,11,3,"",""
"org.axonframework.test.matchers",58,241,22,2,4,1,"",""
"org.axonframework.disruptor.commandhandling",55,269,21,0,2,2,"",""
"org.axonframework.eventhandling.pooled",52,424,15,1,2,2,"",""
"org.axonframework.commandhandling.distributed",50,289,24,1,2,1,"",""
"org.axonframework.common.jdbc",49,269,25,0,8,4,"",""
"org.axonframework.common.lock",46,226,21,2,7,4,"",""
"org.axonframework.eventhandling.async",41,130,18,2,3,2,"",""
"org.axonframework.serialization.upcasting.event",38,146,23,3,8,3,"",""
"org.axonframework.test.aggregate",31,263,14,0,1,1,"",""
"org.axonframework.common.caching",30,174,19,0,5,5,"",""
"org.axonframework.eventsourcing.eventstore.jdbc.statements",30,99,5,0,2,1,"",""
"org.axonframework.common.stream",29,143,15,2,7,3,"",""
"org.axonframework.test.saga",27,129,14,0,1,1,"",""
"org.axonframework.eventhandling.deadletter.jpa",25,294,11,2,2,1,"",""
"org.axonframework.messaging.correlation",25,68,10,3,4,2,"",""
"org.axonframework.common.property",23,50,13,0,5,2,"",""
"org.axonframework.eventsourcing.eventstore.legacyjpa",23,171,9,0,1,1,"",""
"org.axonframework.eventsourcing.snapshotting",23,84,11,2,6,2,"",""
"org.axonframework.common.annotation",21,29,21,0,10,3,"",""
"org.axonframework.serialization.xml",17,32,10,0,8,4,"",""
"org.axonframework.common.jpa",16,92,15,0,7,4,"",""
"org.axonframework.eventhandling.scheduling",16,44,10,2,6,3,"",""
"org.axonframework.eventhandling.tokenstore.jdbc",16,141,9,0,1,1,"",""
"org.axonframework.eventsourcing.conflictresolution",15,46,7,0,2,1,"",""
"org.axonframework.modelling.saga.metamodel",15,51,9,1,3,1,"",""
"org.axonframework.test",15,108,14,0,6,1,"",""
"org.axonframework.common.legacyjpa",14,70,13,0,6,3,"",""
"org.axonframework.modelling.saga.repository.jdbc",13,73,6,0,1,1,"",""
"org.axonframework.commandhandling.distributed.commandfilter",12,22,6,1,2,1,"",""
"org.axonframework.eventhandling.replay",12,30,8,0,2,1,"",""
"org.axonframework.modelling.saga.repository.jpa",12,72,5,0,4,2,"",""
"org.axonframework.eventhandling.gateway",11,41,5,1,2,2,"",""
"org.axonframework.serialization.upcasting",11,26,11,1,2,1,"",""
"org.axonframework.common.io",10,21,10,0,8,2,"",""
