"p.fqn","p.name","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Calculate_and_set_Instability_outgoing_incoming_Dependencies.cypher"
"org.axonframework.messaging","messaging",0.014180171591992374,0.09281437125748503,0.1794871794871795,0.10909090909090909,0.14285714285714285,119,8273,31,303,14,64,6,49,1,6,""
"org.axonframework.common.transaction","transaction",0.02158273381294964,0.05714285714285714,0,0.04,0.2,6,272,4,66,0,5,1,24,1,4,""
"org.axonframework.common","common",0.021788990825688075,0.040625,0,0.013333333333333334,0.14285714285714285,19,853,13,307,0,12,1,74,1,6,""
"org.axonframework.monitoring","monitoring",0.10294117647058823,0.15555555555555556,0.3333333333333333,0.23076923076923078,0.2,21,183,7,38,3,6,3,10,1,4,""
"org.axonframework.eventhandling.scheduling","scheduling",0.1111111111111111,0.16666666666666666,0,0.25,0.25,2,16,2,10,0,2,2,6,1,3,""
"org.axonframework.common.annotation","annotation",0.12,0.12,0,0.16666666666666666,0.25,3,22,3,22,0,0,2,10,1,3,""
"org.axonframework.lifecycle","lifecycle",0.1388888888888889,0.25925925925925924,0,0.21428571428571427,0.25,10,62,7,20,0,3,3,11,1,3,""
"org.axonframework.common.stream","stream",0.14705882352941177,0.16666666666666666,0,0.125,0.25,5,29,3,15,0,2,1,7,1,3,""
"org.axonframework.serialization","serialization",0.14728033472803348,0.2754491017964072,0.3181818181818182,0.23684210526315788,0.2,176,1019,46,121,7,15,9,29,1,4,""
"org.axonframework.eventhandling.tokenstore","tokenstore",0.1686746987951807,0.24242424242424243,0.4,0.3333333333333333,0.3333333333333333,14,69,8,25,2,3,4,8,1,2,""
