"moduleName","modulePath","fullQualifiedModuleName","numberOfModuleElements","languageElement","numberOfElements","Source Cypher File: Overview/Number_of_elements_per_module_for_Typescript.cypher"
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/index.tsx",124,"Variable",10,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/index.tsx",124,"Interface",20,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/index.tsx",124,"Function",34,""
"react-router-dom","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/index.tsx",124,"TypeAlias",6,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-native/index.tsx",34,"Interface",4,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-native/index.tsx",34,"TypeAlias",6,""
"react-router-native","index.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-native/index.tsx",34,"Function",14,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router/index.ts",14,"Function",4,""
"react-router","index.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router/index.ts",14,"TypeAlias",10,""
"server","server.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/server.tsx",12,"Function",8,""
"server","server.tsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/packages/react-router-dom/server.tsx",12,"Interface",4,""
"todos","src/todos.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/data-router/src/todos.ts",7,"Variable",1,""
"todos","src/todos.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/data-router/src/todos.ts",7,"Function",5,""
"todos","src/todos.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/data-router/src/todos.ts",7,"Interface",1,""
"snkrs","src/snkrs.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/custom-filter-link/src/snkrs.ts",4,"Variable",2,""
"snkrs","src/snkrs.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/custom-filter-link/src/snkrs.ts",4,"Function",2,""
"data","src/data.js","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/tutorial/src/data.js",3,"Function",3,""
"images","src/images.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal/src/images.ts",2,"Function",1,""
"images","src/images.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal/src/images.ts",2,"Variable",1,""
"images","src/images.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal-route-with-outlet/src/images.ts",2,"Function",1,""
"images","src/images.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/modal-route-with-outlet/src/images.ts",2,"Variable",1,""
"App","src/App.jsx","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/tutorial/src/App.jsx",1,"Function",1,""
"auth","src/auth.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth-router-provider/src/auth.ts",1,"Variable",1,""
"auth","src/auth.ts","/home/runner/work/code-graph-analysis-pipeline/code-graph-analysis-pipeline/temp/react-router-6.28.2/source/react-router-6.28.2/react-router-6.28.2/examples/auth/src/auth.ts",1,"Variable",1,""
