"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.slf4j",9,66,1,38,3,7.333333333333335,11.821590417536889,25,100,60,68.34245230078564,28.735690540824297,141,1,78,8,15.666666666666666,24.06761309311748,2.2988505747126435,36.36363636363637,10.526315789473683,13.268050741742302,10.242570046847865,"axon-test-4.10.0,axon-modelling-4.10.0,axon-configuration-4.10.0,axon-server-connector-4.10.0",""
"jakarta.persistence",4,8,1,3,2,2,0.816496580927726,4.6875,22.22222222222222,15.555555555555555,14.505208333333332,8.116902769194516,17,3,8,3,4.25,2.5,1.0165184243964422,4.054054054054054,2.089358010410642,2.3123221248179453,1.2737689659671716,"axon-modelling-4.10.0,axon-spring-boot-autoconfigure-4.10.0,axon-messaging-4.10.0,axon-eventsourcing-4.10.0",""
"javax.persistence",4,11,2,4,2.5,2.75,0.9574271077563381,6.25,30,22.22222222222222,20.17361111111111,9.980288571951407,17,3,8,3,4.25,2.5,1.0165184243964422,4.054054054054054,2.089358010410642,2.3123221248179453,1.2737689659671716,"axon-modelling-4.10.0,axon-spring-boot-autoconfigure-4.10.0,axon-messaging-4.10.0,axon-eventsourcing-4.10.0",""
"com.fasterxml",2,5,1,4,2.5,2.5,2.1213203435596424,6.25,11.11111111111111,8.680555555555555,8.680555555555555,3.437324630767939,15,3,12,7.5,7.5,6.363961030678928,1.5247776365946635,4.054054054054054,2.789415845324359,2.789415845324359,1.7884685062807524,"axon-spring-boot-autoconfigure-4.10.0,axon-messaging-4.10.0",""
"com.github",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,7,1,6,3.5,3.5,3.5355339059327378,0.7623888182973317,1.3513513513513513,1.0568700848243415,1.0568700848243415,0.4164594009873034,"axon-spring-boot-autoconfigure-4.10.0,axon-messaging-4.10.0",""
"com.google",2,4,1,3,2,2,1.4142135623730951,12.5,27.272727272727273,19.886363636363637,19.886363636363637,10.445895631164907,9,1,8,4.5,4.5,4.949747468305833,1.1494252873563218,6.106870229007634,3.628147758181978,3.628147758181978,3.505442935600591,"axon-test-4.10.0,axon-server-connector-4.10.0",""
"com.thoughtworks",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,10,2,8,5,5,4.242640687119285,1.0165184243964422,2.7027027027027026,1.8596105635495723,1.8596105635495723,1.1923123375205014,"axon-spring-boot-autoconfigure-4.10.0,axon-messaging-4.10.0",""
"io.axoniq",2,9,1,8,4.5,4.5,4.949747468305833,11.11111111111111,72.72727272727273,41.919191919191924,41.919191919191924,43.56920570947415,67,2,65,33.5,33.5,44.54772721475249,2.7027027027027026,49.61832061068703,26.160511656694865,26.160511656694865,33.17435156629274,"axon-server-connector-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"org.jobrunr",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,5,1,4,2.5,2.5,2.1213203435596424,0.5082592121982211,1.3513513513513513,0.9298052817747862,0.9298052817747862,0.5961561687602507,"axon-spring-boot-autoconfigure-4.10.0,axon-messaging-4.10.0",""
"org.reactivestreams",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,9.090909090909092,6.107954545454546,6.107954545454546,4.21853477412429,17,4,13,8.5,8.5,6.363961030678928,1.6518424396442186,3.053435114503817,2.352638777074018,2.352638777074018,0.9910756848546138,"axon-server-connector-4.10.0,axon-messaging-4.10.0",""
"reactor.core",2,5,2,3,2.5,2.5,0.7071067811865476,3.125,27.272727272727273,15.198863636363637,15.198863636363637,17.07502170478879,28,10,18,14,14,5.656854249492381,2.287166454891995,7.633587786259542,4.960377120575769,4.960377120575769,3.7804907784904023,"axon-server-connector-4.10.0,axon-messaging-4.10.0",""
"AggregateEventPublisherImpl",1,1,1,1,1,1,0,12.5,12.5,12.5,12.5,0,1,1,1,1,1,0,1.1494252873563218,1.1494252873563218,1.1494252873563218,1.1494252873563218,0,"axon-test-4.10.0",""
"WeakValue",1,1,1,1,1,1,0,100,100,100,100,0,1,1,1,1,1,0,4.545454545454546,4.545454545454546,4.545454545454546,4.545454545454546,0,"axon-disruptor-4.10.0",""
"com.codahale",1,1,1,1,1,1,0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,1,1,1,1,1,0,1.3513513513513513,1.3513513513513513,1.3513513513513513,1.3513513513513513,0,"axon-spring-boot-autoconfigure-4.10.0",""
"com.lmax",1,1,1,1,1,1,0,100,100,100,100,0,7,7,7,7,7,0,31.81818181818182,31.81818181818182,31.81818181818182,31.81818181818182,0,"axon-disruptor-4.10.0",""
"io.grpc",1,5,5,5,5,5,0,45.45454545454546,45.45454545454546,45.45454545454546,45.45454545454546,0,18,18,18,18,18,0,13.740458015267176,13.740458015267176,13.740458015267176,13.740458015267176,0,"axon-server-connector-4.10.0",""
"io.micrometer",1,1,1,1,1,1,0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,1,1,1,1,1,0,1.3513513513513513,1.3513513513513513,1.3513513513513513,1.3513513513513513,0,"axon-spring-boot-autoconfigure-4.10.0",""
"io.opentelemetry",1,1,1,1,1,1,0,100,100,100,100,0,5,5,5,5,5,0,100,100,100,100,0,"axon-tracing-opentelemetry-4.10.0",""
"jakarta.validation",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,2,2,2,2,2,0,0.25412960609911056,0.25412960609911056,0.25412960609911056,0.25412960609911056,0,"axon-messaging-4.10.0",""
"javax.cache",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,2,2,2,2,2,0,0.25412960609911056,0.25412960609911056,0.25412960609911056,0.25412960609911056,0,"axon-messaging-4.10.0",""
"javax.validation",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,2,2,2,2,2,0,0.25412960609911056,0.25412960609911056,0.25412960609911056,0.25412960609911056,0,"axon-messaging-4.10.0",""
"net.sf",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,2,2,2,2,2,0,0.25412960609911056,0.25412960609911056,0.25412960609911056,0.25412960609911056,0,"axon-messaging-4.10.0",""
"nu.xom",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.38119440914866587,0.38119440914866587,0.38119440914866587,0.38119440914866587,0,"axon-messaging-4.10.0",""
"org.axonframework",1,2,2,2,2,2,0,22.22222222222222,22.22222222222222,22.22222222222222,22.22222222222222,0,7,7,7,7,7,0,9.45945945945946,9.45945945945946,9.45945945945946,9.45945945945946,0,"axon-spring-boot-autoconfigure-4.10.0",""
"org.dom4j",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.38119440914866587,0.38119440914866587,0.38119440914866587,0.38119440914866587,0,"axon-messaging-4.10.0",""
"org.ehcache",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.38119440914866587,0.38119440914866587,0.38119440914866587,0.38119440914866587,0,"axon-messaging-4.10.0",""
"org.hamcrest",1,5,5,5,5,5,0,62.5,62.5,62.5,62.5,0,27,27,27,27,27,0,31.034482758620687,31.034482758620687,31.034482758620687,31.034482758620687,0,"axon-test-4.10.0",""
