"pom.artifactId","pom.name","scope","dependency.optional","dependentArtifact.group","dependentArtifact.name","Source Cypher File: External_Dependencies/Maven_POMs_and_their_declared_dependencies.cypher"
"axon-configuration","pom","test",false,"javax.inject","javax.inject",""
"axon-configuration","pom","test",false,"org.quartz-scheduler","quartz",""
"axon-configuration","pom","default",false,"org.axonframework","axon-messaging",""
"axon-configuration","pom","test",false,"${project.groupId}","axon-messaging",""
"axon-configuration","pom","test",false,"jakarta.persistence","jakarta.persistence-api",""
"axon-configuration","pom","default",false,"${project.groupId}","axon-disruptor",""
"axon-configuration","pom","test",true,"io.projectreactor","reactor-core",""
"axon-configuration","pom","test",false,"org.hsqldb","hsqldb",""
"axon-configuration","pom","default",false,"${project.groupId}","axon-eventsourcing",""
"axon-configuration","pom","test",false,"org.hibernate","hibernate-core-jakarta",""
"axon-configuration","pom","provided",false,"com.google.code.findbugs","jsr305",""
"axon-configuration","pom","default",true,"jakarta.annotation","jakarta.annotation-api",""
"axon-configuration","pom","default",false,"org.axonframework","axon-modelling",""
"axon-disruptor","pom","default",false,"${project.groupId}","axon-eventsourcing",""
"axon-disruptor","pom","default",false,"com.lmax","disruptor",""
"axon-disruptor","pom","provided",false,"com.google.code.findbugs","jsr305",""
"axon-eventsourcing","pom","default",true,"javax.validation","validation-api",""
"axon-eventsourcing","pom","test",false,"org.hibernate","hibernate-validator",""
"axon-eventsourcing","pom","default",false,"org.axonframework","axon-messaging",""
"axon-eventsourcing","pom","test",false,"org.springframework","spring-tx",""
"axon-eventsourcing","pom","test",false,"org.ehcache","ehcache",""
"axon-eventsourcing","pom","test",false,"com.mysql","mysql-connector-j",""
"axon-eventsourcing","pom","test",false,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-eventsourcing","pom","test",false,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-eventsourcing","pom","test",false,"com.fasterxml.jackson.core","jackson-databind",""
"axon-eventsourcing","pom","provided",false,"com.google.code.findbugs","jsr305",""
"axon-eventsourcing","pom","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-eventsourcing","pom","test",false,"org.hibernate","hibernate-core",""
"axon-eventsourcing","pom","default",true,"javax.annotation","javax.annotation-api",""
"axon-eventsourcing","pom","default",true,"jakarta.annotation","jakarta.annotation-api",""
"axon-eventsourcing","pom","test",false,"org.springframework","spring-test",""
"axon-eventsourcing","pom","test",false,"org.hsqldb","hsqldb",""
"axon-eventsourcing","pom","test",false,"org.testcontainers","junit-jupiter",""
"axon-eventsourcing","pom","test",false,"org.springframework","spring-orm",""
"axon-eventsourcing","pom","default",true,"javax.persistence","javax.persistence-api",""
"axon-eventsourcing","pom","test",false,"org.springframework.security","spring-security-config",""
"axon-eventsourcing","pom","test",false,"org.springframework","spring-context-support",""
"axon-eventsourcing","pom","test",false,"org.axonframework","axon-messaging",""
"axon-eventsourcing","pom","default",false,"${project.groupId}","axon-modelling",""
"axon-eventsourcing","pom","test",false,"org.testcontainers","mysql",""
"axon-eventsourcing","pom","test",false,"javax.el","javax.el-api",""
"axon-messaging","pom","provided",false,"com.google.code.findbugs","jsr305",""
"axon-messaging","pom","default",true,"com.fasterxml.jackson.core","jackson-databind",""
"axon-messaging","pom","default",true,"javax.validation","validation-api",""
"axon-messaging","pom","default",true,"org.ehcache","ehcache",""
"axon-messaging","pom","default",true,"net.sf.ehcache","ehcache",""
"axon-messaging","pom","test",false,"org.hamcrest","hamcrest",""
"axon-messaging","pom","test",false,"org.springframework","spring-tx",""
"axon-messaging","pom","default",true,"org.hibernate","hibernate-core",""
"axon-messaging","pom","test",false,"org.hibernate","hibernate-validator",""
"axon-messaging","pom","default",false,"com.thoughtworks.xstream","xstream",""
"axon-messaging","pom","default",true,"jakarta.validation","jakarta.validation-api",""
"axon-messaging","pom","default",true,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-messaging","pom","test",false,"commons-io","commons-io",""
"axon-messaging","pom","test",false,"javax.el","javax.el-api",""
"axon-messaging","pom","default",true,"com.github.kagkarlsson","db-scheduler",""
"axon-messaging","pom","test",false,"com.google.code.gson","gson",""
"axon-messaging","pom","test",false,"com.fasterxml.jackson.module","jackson-module-parameter-names",""
"axon-messaging","pom","test",false,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-messaging","pom","default",true,"javax.persistence","javax.persistence-api",""
"axon-messaging","pom","test",false,"org.awaitility","awaitility",""
"axon-messaging","pom","test",false,"org.springframework","spring-context-support",""
"axon-messaging","pom","test",false,"org.springframework","spring-orm",""
"axon-messaging","pom","default",true,"org.dom4j","dom4j",""
"axon-messaging","pom","test",false,"org.springframework.security","spring-security-config",""
"axon-messaging","pom","test",false,"org.hsqldb","hsqldb",""
"axon-messaging","pom","default",true,"xom","xom",""
"axon-messaging","pom","default",true,"org.jobrunr","jobrunr",""
"axon-messaging","pom","default",true,"io.projectreactor","reactor-core",""
"axon-messaging","pom","default",true,"org.quartz-scheduler","quartz",""
"axon-messaging","pom","default",true,"javax.cache","cache-api",""
"axon-messaging","pom","test",false,"io.projectreactor","reactor-test",""
"axon-messaging","pom","default",false,"org.slf4j","slf4j-api",""
"axon-messaging","pom","test",false,"org.springframework","spring-test",""
"axon-messaging","pom","default",false,"org.reactivestreams","reactive-streams",""
"axon-messaging","pom","test",false,"javax.inject","javax.inject",""
"axon-messaging","pom","test",false,"org.glassfish.web","el-impl",""
"axon-messaging","pom","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-modelling","pom","test",false,"org.hibernate","hibernate-validator",""
"axon-modelling","pom","test",false,"org.springframework","spring-context-support",""
"axon-modelling","pom","test",false,"org.springframework.security","spring-security-config",""
"axon-modelling","pom","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-modelling","pom","test",false,"javax.el","javax.el-api",""
"axon-modelling","pom","test",false,"org.springframework","spring-tx",""
"axon-modelling","pom","test",false,"org.hibernate","hibernate-core",""
"axon-modelling","pom","default",true,"javax.persistence","javax.persistence-api",""
"axon-modelling","pom","provided",false,"com.google.code.findbugs","jsr305",""
"axon-modelling","pom","default",false,"org.slf4j","slf4j-api",""
"axon-modelling","pom","test",false,"org.postgresql","postgresql",""
"axon-modelling","pom","test",false,"org.springframework","spring-test",""
"axon-modelling","pom","test",true,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-modelling","pom","test",false,"c3p0","c3p0",""
"axon-modelling","pom","test",false,"org.hsqldb","hsqldb",""
"axon-modelling","pom","default",false,"${project.groupId}","axon-messaging",""
"axon-modelling","pom","default",true,"com.fasterxml.jackson.core","jackson-databind",""
"axon-modelling","pom","default",true,"net.sf.ehcache","ehcache",""
"axon-modelling","pom","test",true,"javax.inject","javax.inject",""
"axon-modelling","pom","default",true,"javax.validation","validation-api",""
"axon-modelling","pom","default",true,"javax.cache","cache-api",""
"axon-modelling","pom","default",true,"org.ehcache","ehcache",""
"axon-modelling","pom","test",false,"org.glassfish.web","el-impl",""
"axon-modelling","pom","default",true,"org.quartz-scheduler","quartz",""
"axon-modelling","pom","test",false,"${project.groupId}","axon-messaging",""
"axon-modelling","pom","test",false,"com.mysql","mysql-connector-j",""
"axon-modelling","pom","test",false,"org.springframework","spring-orm",""
"axon-server-connector","pom","test",false,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-server-connector","pom","test",false,"com.fasterxml.jackson.core","jackson-databind",""
"axon-server-connector","pom","default",true,"io.projectreactor","reactor-core",""
"axon-server-connector","pom","test",false,"io.projectreactor","reactor-test",""
"axon-server-connector","pom","test",false,"org.awaitility","awaitility",""
"axon-server-connector","pom","default",true,"org.springframework.boot","spring-boot-configuration-processor",""
"axon-server-connector","pom","test",false,"org.testcontainers","junit-jupiter",""
"axon-server-connector","pom","default",true,"org.axonframework","axon-configuration",""
"axon-server-connector","pom","default",true,"org.springframework","spring-context",""
"axon-server-connector","pom","test",false,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-server-connector","pom","default",false,"io.axoniq","axonserver-connector-java",""
"axon-server-connector","pom","test",false,"org.testcontainers","testcontainers",""
"axon-server-connector","pom","default",true,"org.springframework.boot","spring-boot-starter",""
"axon-server-connector","pom","test",false,"org.axonframework","axon-test",""
"axon-server-connector","pom","test",false,"org.axonframework","axon-messaging",""
"axon-spring-boot-autoconfigure","pom","default",false,"org.axonframework","axon-server-connector",""
"axon-spring-boot-autoconfigure","pom","default",true,"com.fasterxml.jackson.core","jackson-databind",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.axonframework","axon-tracing-opentelemetry",""
"axon-spring-boot-autoconfigure","pom","default",true,"com.thoughtworks.xstream","xstream",""
"axon-spring-boot-autoconfigure","pom","default",true,"javax.persistence","javax.persistence-api",""
"axon-spring-boot-autoconfigure","pom","test",false,"org.springframework","spring-orm",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.springframework.boot","spring-boot-starter-data-jpa",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.axonframework","axon-test",""
"axon-spring-boot-autoconfigure","pom","test",false,"org.hsqldb","hsqldb",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.springframework.boot","spring-boot-actuator",""
"axon-spring-boot-autoconfigure","pom","default",true,"javax.annotation","javax.annotation-api",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.springframework.boot","spring-boot-starter",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.springframework.boot","spring-boot-autoconfigure-processor",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.axonframework","axon-spring-boot3-dummy",""
"axon-spring-boot-autoconfigure","pom","test",false,"com.lmax","disruptor",""
"axon-spring-boot-autoconfigure","pom","default",false,"org.axonframework","axon-spring",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.springframework.boot","spring-boot-configuration-processor",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.axonframework","axon-micrometer",""
"axon-spring-boot-autoconfigure","pom","default",true,"jakarta.annotation","jakarta.annotation-api",""
"axon-spring-boot-autoconfigure","pom","test",false,"org.awaitility","awaitility",""
"axon-spring-boot-autoconfigure","pom","default",true,"com.github.kagkarlsson","db-scheduler",""
"axon-spring-boot-autoconfigure","pom","default",true,"jakarta.persistence","jakarta.persistence-api",""
"axon-spring-boot-autoconfigure","pom","test",false,"org.springframework.boot","spring-boot-starter-test",""
"axon-spring-boot-autoconfigure","pom","test",true,"io.projectreactor","reactor-core",""
"axon-spring-boot-autoconfigure","pom","test",false,"com.fasterxml.jackson.datatype","jackson-datatype-jsr310",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.jobrunr","jobrunr",""
"axon-spring-boot-autoconfigure","pom","default",true,"org.axonframework","axon-metrics",""
"axon-spring-boot-autoconfigure","pom","default",true,"com.fasterxml.jackson.dataformat","jackson-dataformat-cbor",""
"axon-test","pom","default",false,"${project.groupId}","axon-eventsourcing",""
"axon-test","pom","default",false,"org.junit.jupiter","junit-jupiter",""
"axon-test","pom","test",false,"javax.inject","javax.inject",""
"axon-test","pom","provided",false,"com.google.code.findbugs","jsr305",""
