"externalPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_package_usage_spread.cypher"
"org.slf4j",9,66,1,38,3,7.333333333333332,11.821590417536889,25,100,60,68.34245230078564,28.7356905408243,141,1,78,8,15.666666666666666,24.06761309311748,2.2988505747126435,36.36363636363637,10.526315789473683,13.268050741742302,10.242570046847865,"axon-server-connector-4.10.0,axon-modelling-4.10.0,axon-tracing-opentelemetry-4.10.0,axon-eventsourcing-4.10.0",""
"jakarta.persistence",4,8,1,3,2,2,0.816496580927726,4.6875,22.22222222222222,15.555555555555555,14.505208333333332,8.116902769194517,17,3,8,3,4.25,2.5,1.0165184243964422,4.054054054054054,2.089358010410642,2.3123221248179453,1.2737689659671716,"axon-modelling-4.10.0,axon-eventsourcing-4.10.0,axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"javax.persistence",4,11,2,4,2.5,2.75,0.9574271077563381,6.25,30,22.22222222222222,20.17361111111111,9.980288571951407,17,3,8,3,4.25,2.5,1.0165184243964422,4.054054054054054,2.089358010410642,2.3123221248179453,1.2737689659671716,"axon-modelling-4.10.0,axon-eventsourcing-4.10.0,axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"com.fasterxml.jackson.databind",2,2,1,1,1,1,0,1.5625,11.11111111111111,6.336805555555555,6.336805555555555,6.75188766757988,9,2,7,4.5,4.5,3.5355339059327378,0.889453621346887,2.7027027027027026,1.7960781620247948,1.796078162024795,1.282160721406975,"axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"com.github.kagkarlsson.scheduler",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,5,1,4,2.5,2.5,2.1213203435596424,0.5082592121982211,1.3513513513513513,0.9298052817747862,0.9298052817747862,0.5961561687602508,"axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"com.github.kagkarlsson.scheduler.task",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,5,1,4,2.5,2.5,2.1213203435596424,0.5082592121982211,1.3513513513513513,0.9298052817747862,0.9298052817747862,0.5961561687602508,"axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"com.thoughtworks.xstream",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,6,2,4,3,3,1.4142135623730951,0.5082592121982211,2.7027027027027026,1.6054809574504618,1.605480957450462,1.5517058730663957,"axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"io.axoniq.axonserver.connector.event",2,2,1,1,1,1,0,9.090909090909092,11.11111111111111,10.1010101010101,10.1010101010101,1.428498547851611,13,2,11,6.5,6.5,6.363961030678928,2.7027027027027026,8.396946564885496,5.549824633794099,5.549824633794099,4.02643844867933,"axon-server-connector-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"io.axoniq.axonserver.connector.impl",2,4,1,3,2,2,1.4142135623730951,11.11111111111111,27.272727272727273,19.19191919191919,19.19191919191919,11.427988382812888,5,1,4,2.5,2.5,2.1213203435596424,1.3513513513513513,3.053435114503817,2.202393232927584,2.202393232927584,1.2035549710726259,"axon-server-connector-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
"org.jobrunr.scheduling",2,3,1,2,1.5,1.5,0.7071067811865476,3.125,11.11111111111111,7.118055555555555,7.118055555555555,5.647033321975901,5,1,4,2.5,2.5,2.1213203435596424,0.5082592121982211,1.3513513513513513,0.9298052817747862,0.9298052817747862,0.5961561687602508,"axon-messaging-4.10.0,axon-spring-boot-autoconfigure-4.10.0",""
