"artifactName","numberOfTypesInArtifact","numberOfExternalTypesInArtifact","numberOfExternalPackagesInArtifact","externalTypeRate","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","top5ExternalPackages","someExternalTypes","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_sorted_top.cypher"
"axon-disruptor-4.10.0",22,13,5,59.09090909090909,33,93,5,"org.slf4j,com.lmax.disruptor,javax.annotation,com.lmax.disruptor.dsl","Logger,LoggerFactory,RingBuffer,EventHandler,LifecycleAware,BlockingWaitStrategy,WaitStrategy,ExceptionHandler,Nonnull",""
"axon-test-4.10.0",87,28,13,32.183908045977006,99,500,13,"org.hamcrest,javax.annotation,org.testcontainers.utility,org.slf4j","Matcher,Description,StringDescription,BaseMatcher,Matchers,TypeSafeMatcher,CoreMatchers,Nonnull,DockerImageName",""
"axon-modelling-4.10.0",156,35,5,22.435897435897438,99,356,5,"javax.annotation,javax.persistence,jakarta.persistence,org.slf4j","Nonnull,Nullable,Entity,Lob,Column,Id,Basic,MappedSuperclass,EntityManager",""
"axon-messaging-4.10.0",787,154,42,19.567979669631512,747,2971,42,"javax.annotation,org.slf4j,com.fasterxml.jackson.annotation,javax.persistence","Nonnull,Nullable,Logger,LoggerFactory,JsonCreator,JsonTypeInfo,JsonTypeInfo$Id,JsonProperty,JsonIgnore",""
"axon-eventsourcing-4.10.0",133,25,4,18.796992481203006,74,238,4,"javax.annotation,org.slf4j,javax.persistence,jakarta.persistence","Nonnull,Nullable,PreDestroy,Logger,LoggerFactory,IdClass,Id,MappedSuperclass,EntityManager",""
"axon-configuration-4.10.0",41,4,2,9.75609756097561,24,137,2,"javax.annotation,org.slf4j","Nonnull,Nullable,LoggerFactory,Logger",""
